set;number;no_foil;foil
mat;1;false;false
mat;2;false;false
mat;3;false;false
mat;4;false;false
mat;5;false;false
mat;6;false;false
mat;7;false;false
mat;8;false;false
mat;9;false;false
mat;10;false;false
mat;11;false;false
mat;12;false;false
mat;13;false;false
mat;14;false;false
mat;15;false;false
mat;16;false;false
mat;17;false;false
mat;18;false;false
mat;19;false;false
mat;20;false;false
mat;21;false;false
mat;22;false;false
mat;23;false;false
mat;24;false;false
mat;25;false;false
mat;26;false;false
mat;27;false;false
mat;28;false;false
mat;29;false;false
mat;30;false;false
mat;31;false;false
mat;32;false;false
mat;33;false;false
mat;34;false;false
mat;35;false;false
mat;36;false;false
mat;37;false;false
mat;38;false;false
mat;39;false;false
mat;40;false;false
mat;41;false;false
mat;42;false;false
mat;43;false;false
mat;44;false;false
mat;45;false;false
mat;46;false;false
mat;47;false;false
mat;48;false;false
mat;49;false;false
mat;50;false;false
mat;51;false;false
mat;52;false;false
mat;53;false;false
mat;54;false;false
mat;55;false;false
mat;56;false;false
mat;57;false;false
mat;58;false;false
mat;59;false;false
mat;60;false;false
mat;61;false;false
mat;62;false;false
mat;63;false;false
mat;64;false;false
mat;65;false;false
mat;66;false;false
mat;67;false;false
mat;68;false;false
mat;69;false;false
mat;70;false;false
mat;71;false;false
mat;72;false;false
mat;73;false;false
mat;74;false;false
mat;75;false;false
mat;76;false;false
mat;77;false;false
mat;78;false;false
mat;79;false;false
mat;80;false;false
mat;81;false;false
mat;82;false;false
mat;83;false;false
mat;84;false;false
mat;85;false;false
mat;86;false;false
mat;87;false;false
mat;88;false;false
mat;89;false;false
mat;90;false;false
mat;91;false;false
mat;92;false;false
mat;93;false;false
mat;94;false;false
mat;95;false;false
mat;96;false;false
mat;97;false;false
mat;98;false;false
mat;99;false;false
mat;100;false;false
mat;101;false;false
mat;102;false;false
mat;103;false;false
mat;104;false;false
mat;105;false;false
mat;106;false;false
mat;107;false;false
mat;108;false;false
mat;109;false;false
mat;110;false;false
mat;111;false;false
mat;112;false;false
mat;113;false;false
mat;114;false;false
mat;115;false;false
mat;116;false;false
mat;117;false;false
mat;118;false;false
mat;119;false;false
mat;120;false;false
mat;121;false;false
mat;122;false;false
mat;123;false;false
mat;124;false;false
mat;125;false;false
mat;126;false;false
mat;127;false;false
mat;128;false;false
mat;129;false;false
mat;130;false;false
mat;131;false;false
mat;132;false;false
mat;133;false;false
mat;134;false;false
mat;135;false;false
mat;136;false;false
mat;137;false;false
mat;138;false;false
mat;139;false;false
mat;140;false;false
mat;141;false;false
mat;142;false;false
mat;143;false;false
mat;144;false;false
mat;145;false;false
mat;146;false;false
mat;147;false;false
mat;148;false;false
mat;149;false;false
mat;150;false;false
mat;151;false;false
mat;152;false;false
mat;153;false;false
mat;154;false;false
mat;155;false;false
mat;156;false;false
mat;157;false;false
mat;158;false;false
mat;159;false;false
mat;160;false;false
mat;161;false;false
mat;162;false;false
mat;163;false;false
mat;164;false;false
mat;165;false;false
mat;166;false;false
mat;167;false;false
mat;168;false;false
mat;169;false;false
mat;170;false;false
mat;171;false;false
mat;172;false;false
mat;173;false;false
mat;174;false;false
mat;175;false;false
mat;176;false;false
mat;177;false;false
mat;178;false;false
mat;179;false;false
mat;180;false;false
mat;181;false;false
mat;182;false;false
mat;183;false;false
mat;184;false;false
mat;185;false;false
mat;186;false;false
mat;187;false;false
mat;188;false;false
mat;189;false;false
mat;190;false;false
mat;191;false;false
mat;192;false;false
mat;193;false;false
mat;194;false;false
mat;195;false;false
mat;196;false;false
mat;197;false;false
mat;198;false;false
mat;199;false;false
mat;200;false;false
mat;201;false;false
mat;202;false;false
mat;203;false;false
mat;204;false;false
mat;205;false;false
mat;206;false;false
mat;207;false;false
mat;208;false;false
mat;209;false;false
mat;210;false;false
mat;211;false;false
mat;212;false;false
mat;213;false;false
mat;214;false;false
mat;215;false;false
mat;216;false;false
mat;217;false;false
mat;218;false;false
mat;219;false;false
mat;220;false;false
mat;221;false;false
mat;222;false;false
mat;223;false;false
mat;224;false;false
mat;225;false;false
mat;226;false;false
mat;227;false;false
mat;228;false;false
mat;229;false;false
mat;230;false;false
