set;number;no_foil;foil
mbs;1;false;false
mbs;2;false;false
mbs;3;false;false
mbs;4;false;false
mbs;5;false;false
mbs;6;false;false
mbs;7;false;false
mbs;8;false;false
mbs;9;false;false
mbs;10;false;false
mbs;11;false;false
mbs;12;false;false
mbs;13;false;false
mbs;14;false;false
mbs;15;false;false
mbs;16;false;false
mbs;17;false;false
mbs;18;false;false
mbs;19;false;false
mbs;20;false;false
mbs;21;false;false
mbs;22;false;false
mbs;23;false;false
mbs;24;false;false
mbs;25;false;false
mbs;26;false;false
mbs;27;false;false
mbs;28;false;false
mbs;29;false;false
mbs;30;false;false
mbs;31;false;false
mbs;32;false;false
mbs;33;false;false
mbs;34;false;false
mbs;35;false;false
mbs;36;false;false
mbs;37;false;false
mbs;38;false;false
mbs;39;false;false
mbs;40;false;false
mbs;41;false;false
mbs;42;false;false
mbs;43;false;false
mbs;44;false;false
mbs;45;false;false
mbs;46;false;false
mbs;47;false;false
mbs;48;false;false
mbs;49;false;false
mbs;50;false;false
mbs;51;false;false
mbs;52;false;false
mbs;53;false;false
mbs;54;false;false
mbs;55;false;false
mbs;56;false;false
mbs;57;false;false
mbs;58;false;false
mbs;59;false;false
mbs;60;false;false
mbs;61;false;false
mbs;62;false;false
mbs;63;false;false
mbs;64;false;false
mbs;65;false;false
mbs;66;false;false
mbs;67;false;false
mbs;68;false;false
mbs;69;false;false
mbs;70;false;false
mbs;71;false;false
mbs;72;false;false
mbs;73;false;false
mbs;74;false;false
mbs;75;false;false
mbs;76;false;false
mbs;77;false;false
mbs;78;false;false
mbs;79;false;false
mbs;80;false;false
mbs;81;false;false
mbs;82;false;false
mbs;83;false;false
mbs;84;false;false
mbs;85;false;false
mbs;86;false;false
mbs;87;false;false
mbs;88;false;false
mbs;89;false;false
mbs;90;false;false
mbs;91;false;false
mbs;92;false;false
mbs;93;false;false
mbs;94;false;false
mbs;95;false;false
mbs;96;false;false
mbs;97;false;false
mbs;98;false;false
mbs;99;false;false
mbs;100;false;false
mbs;101;false;false
mbs;102;false;false
mbs;103;false;false
mbs;104;false;false
mbs;105;false;false
mbs;106;false;false
mbs;107;false;false
mbs;108;false;false
mbs;109;false;false
mbs;110;false;false
mbs;111;false;false
mbs;112;false;false
mbs;113;false;false
mbs;114;false;false
mbs;115;false;false
mbs;116;false;false
mbs;117;false;false
mbs;118;false;false
mbs;119;false;false
mbs;120;false;false
mbs;121;false;false
mbs;122;false;false
mbs;123;false;false
mbs;124;false;false
mbs;125;false;false
mbs;126;false;false
mbs;127;false;false
mbs;128;false;false
mbs;129;false;false
mbs;130;false;false
mbs;131;false;false
mbs;132;false;false
mbs;133;false;false
mbs;134;false;false
mbs;135;false;false
mbs;136;false;false
mbs;137;false;false
mbs;138;false;false
mbs;139;false;false
mbs;140;false;false
mbs;141;false;false
mbs;142;false;false
mbs;143;false;false
mbs;144;false;false
mbs;145;false;false
mbs;146;false;false
mbs;147;false;false
mbs;148;false;false
mbs;149;false;false
mbs;150;false;false
mbs;151;false;false
mbs;152;false;false
mbs;153;false;false
mbs;154;false;false
mbs;155;false;false
