set;number;no_foil;foil
md1;1;false;false
md1;2;false;false
md1;3;false;false
md1;4;false;false
md1;5;false;false
md1;6;false;false
md1;7;false;false
md1;8;false;false
md1;9;false;false
md1;10;false;false
md1;11;false;false
md1;12;false;false
md1;13;false;false
md1;14;false;false
md1;15;false;false
md1;16;false;false
md1;17;false;false
md1;18;false;false
md1;19;false;false
md1;20;false;false
md1;21;false;false
md1;22;false;false
md1;23;false;false
md1;24;false;false
md1;25;false;false
md1;26;false;false
