set;number;no_foil;foil
me2;1;false;false
me2;2;false;false
me2;3;false;false
me2;4;false;false
me2;5;false;false
me2;6;false;false
me2;7;false;false
me2;8;false;false
me2;9;false;false
me2;10;false;false
me2;11;false;false
me2;12;false;false
me2;13;false;false
me2;14;false;false
me2;15;false;false
me2;16;false;false
me2;17;false;false
me2;18;false;false
me2;19;false;false
me2;20;false;false
me2;21;false;false
me2;22;false;false
me2;23;false;false
me2;24;false;false
me2;25;false;false
me2;26;false;false
me2;27;false;false
me2;28;false;false
me2;29;false;false
me2;30;false;false
me2;31;false;false
me2;32;false;false
me2;33;false;false
me2;34;false;false
me2;35;false;false
me2;36;false;false
me2;37;false;false
me2;38;false;false
me2;39;false;false
me2;40;false;false
me2;41;false;false
me2;42;false;false
me2;43;false;false
me2;44;false;false
me2;45;false;false
me2;46;false;false
me2;47;false;false
me2;48;false;false
me2;49;false;false
me2;50;false;false
me2;51;false;false
me2;52;false;false
me2;53;false;false
me2;54;false;false
me2;55;false;false
me2;56;false;false
me2;57;false;false
me2;58;false;false
me2;59;false;false
me2;60;false;false
me2;61;false;false
me2;62;false;false
me2;63;false;false
me2;64;false;false
me2;65;false;false
me2;66;false;false
me2;67;false;false
me2;68;false;false
me2;69;false;false
me2;70;false;false
me2;71;false;false
me2;72;false;false
me2;73;false;false
me2;74;false;false
me2;75;false;false
me2;76;false;false
me2;77;false;false
me2;78;false;false
me2;79;false;false
me2;80;false;false
me2;81;false;false
me2;82;false;false
me2;83;false;false
me2;84;false;false
me2;85;false;false
me2;86;false;false
me2;87;false;false
me2;88;false;false
me2;89;false;false
me2;90;false;false
me2;91;false;false
me2;92;false;false
me2;93;false;false
me2;94;false;false
me2;95;false;false
me2;96;false;false
me2;97;false;false
me2;98;false;false
me2;99;false;false
me2;100;false;false
me2;101;false;false
me2;102;false;false
me2;103;false;false
me2;104;false;false
me2;105;false;false
me2;106;false;false
me2;107;false;false
me2;108;false;false
me2;109;false;false
me2;110;false;false
me2;111;false;false
me2;112;false;false
me2;113;false;false
me2;114;false;false
me2;115;false;false
me2;116;false;false
me2;117;false;false
me2;118;false;false
me2;119;false;false
me2;120;false;false
me2;121;false;false
me2;122;false;false
me2;123;false;false
me2;124;false;false
me2;125;false;false
me2;126;false;false
me2;127;false;false
me2;128;false;false
me2;129;false;false
me2;130;false;false
me2;131;false;false
me2;132;false;false
me2;133;false;false
me2;134;false;false
me2;135;false;false
me2;136;false;false
me2;137;false;false
me2;138;false;false
me2;139;false;false
me2;140;false;false
me2;141;false;false
me2;142;false;false
me2;143;false;false
me2;144;false;false
me2;145;false;false
me2;146;false;false
me2;147;false;false
me2;148;false;false
me2;149;false;false
me2;150;false;false
me2;151;false;false
me2;152;false;false
me2;153;false;false
me2;154;false;false
me2;155;false;false
me2;156;false;false
me2;157;false;false
me2;158;false;false
me2;159;false;false
me2;160;false;false
me2;161;false;false
me2;162;false;false
me2;163;false;false
me2;164;false;false
me2;165;false;false
me2;166;false;false
me2;167;false;false
me2;168;false;false
me2;169;false;false
me2;170;false;false
me2;171;false;false
me2;172;false;false
me2;173;false;false
me2;174;false;false
me2;175;false;false
me2;176;false;false
me2;177;false;false
me2;178;false;false
me2;179;false;false
me2;180;false;false
me2;181;false;false
me2;182;false;false
me2;183;false;false
me2;184;false;false
me2;185;false;false
me2;186;false;false
me2;187;false;false
me2;188;false;false
me2;189;false;false
me2;190;false;false
me2;191;false;false
me2;192;false;false
me2;193;false;false
me2;194;false;false
me2;195;false;false
me2;196;false;false
me2;197;false;false
me2;198;false;false
me2;199;false;false
me2;200;false;false
me2;201;false;false
me2;202;false;false
me2;203;false;false
me2;204;false;false
me2;205;false;false
me2;206;false;false
me2;207;false;false
me2;208;false;false
me2;209;false;false
me2;210;false;false
me2;211;false;false
me2;212;false;false
me2;213;false;false
me2;214;false;false
me2;215;false;false
me2;216;false;false
me2;217;false;false
me2;218;false;false
me2;219;false;false
me2;220;false;false
me2;221;false;false
me2;222;false;false
me2;223;false;false
me2;224;false;false
me2;225;false;false
me2;226;false;false
me2;227;false;false
me2;228;false;false
me2;229;false;false
me2;230;false;false
me2;231;false;false
me2;232;false;false
me2;233;false;false
me2;234;false;false
me2;235;false;false
me2;236;false;false
me2;237;false;false
me2;238;false;false
me2;239;false;false
me2;240;false;false
me2;241;false;false
me2;242;false;false
me2;243;false;false
me2;244;false;false
me2;245;false;false
