set;number;no_foil;foil
med;GR1;false;false
med;GR2;false;false
med;GR3;false;false
med;GR4;false;false
med;GR5;false;false
med;GR6;false;false
med;GR7;false;false
med;GR8;false;false
med;RA1;false;false
med;RA2;false;false
med;RA3;false;false
med;RA4;false;false
med;RA5;false;false
med;RA6;false;false
med;RA7;false;false
med;RA8;false;false
med;WS1;false;false
med;WS2;false;false
med;WS3;false;false
med;WS4;false;false
med;WS5;false;false
med;WS6;false;false
med;WS7;false;false
med;WS8;false;false
