set;number;no_foil;foil
mh2;1;false;false
mh2;2;false;false
mh2;3;false;false
mh2;4;false;false
mh2;5;false;false
mh2;6;false;false
mh2;7;false;false
mh2;8;false;false
mh2;9;false;false
mh2;10;false;false
mh2;11;false;false
mh2;12;false;false
mh2;13;false;false
mh2;14;false;false
mh2;15;false;false
mh2;16;false;false
mh2;17;false;false
mh2;18;false;false
mh2;19;false;false
mh2;20;false;false
mh2;21;false;false
mh2;22;false;false
mh2;23;false;false
mh2;24;false;false
mh2;25;false;false
mh2;26;false;false
mh2;27;false;false
mh2;28;false;false
mh2;29;false;false
mh2;30;false;false
mh2;31;false;false
mh2;32;false;false
mh2;33;false;false
mh2;34;false;false
mh2;35;false;false
mh2;36;false;false
mh2;37;false;false
mh2;38;false;false
mh2;39;false;false
mh2;40;false;false
mh2;41;false;false
mh2;42;false;false
mh2;43;false;false
mh2;44;false;false
mh2;45;false;false
mh2;46;false;false
mh2;47;false;false
mh2;48;false;false
mh2;49;false;false
mh2;50;false;false
mh2;51;false;false
mh2;52;false;false
mh2;53;false;false
mh2;54;false;false
mh2;55;false;false
mh2;56;false;false
mh2;57;false;false
mh2;58;false;false
mh2;59;false;false
mh2;60;false;false
mh2;61;false;false
mh2;62;false;false
mh2;63;false;false
mh2;64;false;false
mh2;65;false;false
mh2;66;false;false
mh2;67;false;false
mh2;68;false;false
mh2;69;false;false
mh2;70;false;false
mh2;71;false;false
mh2;72;false;false
mh2;73;false;false
mh2;74;false;false
mh2;75;false;false
mh2;76;false;false
mh2;77;false;false
mh2;78;false;false
mh2;79;false;false
mh2;80;false;false
mh2;81;false;false
mh2;82;false;false
mh2;83;false;false
mh2;84;false;false
mh2;85;false;false
mh2;86;false;false
mh2;87;false;false
mh2;88;false;false
mh2;89;false;false
mh2;90;false;false
mh2;91;false;false
mh2;92;false;false
mh2;93;false;false
mh2;94;false;false
mh2;95;false;false
mh2;96;false;false
mh2;97;false;false
mh2;98;false;false
mh2;99;false;false
mh2;100;false;false
mh2;101;false;false
mh2;102;false;false
mh2;103;false;false
mh2;104;false;false
mh2;105;false;false
mh2;106;false;false
mh2;107;false;false
mh2;108;false;false
mh2;109;false;false
mh2;110;false;false
mh2;111;false;false
mh2;112;false;false
mh2;113;false;false
mh2;114;false;false
mh2;115;false;false
mh2;116;false;false
mh2;117;false;false
mh2;118;false;false
mh2;119;false;false
mh2;120;false;false
mh2;121;false;false
mh2;A-121;false;false
mh2;122;false;false
mh2;123;false;false
mh2;124;false;false
mh2;125;false;false
mh2;126;false;false
mh2;127;false;false
mh2;128;false;false
mh2;129;false;false
mh2;130;false;false
mh2;131;false;false
mh2;132;false;false
mh2;133;false;false
mh2;134;false;false
mh2;135;false;false
mh2;136;false;false
mh2;137;false;false
mh2;138;false;false
mh2;139;false;false
mh2;140;false;false
mh2;141;false;false
mh2;142;false;false
mh2;143;false;false
mh2;144;false;false
mh2;145;false;false
mh2;A-145;false;false
mh2;146;false;false
mh2;147;false;false
mh2;148;false;false
mh2;149;false;false
mh2;150;false;false
mh2;151;false;false
mh2;152;false;false
mh2;153;false;false
mh2;154;false;false
mh2;155;false;false
mh2;156;false;false
mh2;157;false;false
mh2;158;false;false
mh2;159;false;false
mh2;160;false;false
mh2;161;false;false
mh2;162;false;false
mh2;163;false;false
mh2;164;false;false
mh2;165;false;false
mh2;166;false;false
mh2;167;false;false
mh2;168;false;false
mh2;169;false;false
mh2;170;false;false
mh2;171;false;false
mh2;172;false;false
mh2;173;false;false
mh2;174;false;false
mh2;175;false;false
mh2;176;false;false
mh2;177;false;false
mh2;178;false;false
mh2;179;false;false
mh2;180;false;false
mh2;181;false;false
mh2;182;false;false
mh2;183;false;false
mh2;184;false;false
mh2;185;false;false
mh2;186;false;false
mh2;187;false;false
mh2;188;false;false
mh2;189;false;false
mh2;190;false;false
mh2;191;false;false
mh2;192;false;false
mh2;193;false;false
mh2;194;false;false
mh2;195;false;false
mh2;196;false;false
mh2;197;false;false
mh2;198;false;false
mh2;199;false;false
mh2;200;false;false
mh2;201;false;false
mh2;202;false;false
mh2;203;false;false
mh2;204;false;false
mh2;205;false;false
mh2;206;false;false
mh2;207;false;false
mh2;208;false;false
mh2;209;false;false
mh2;210;false;false
mh2;211;false;false
mh2;212;false;false
mh2;213;false;false
mh2;214;false;false
mh2;215;false;false
mh2;216;false;false
mh2;217;false;false
mh2;218;false;false
mh2;219;false;false
mh2;220;false;false
mh2;221;false;false
mh2;222;false;false
mh2;223;false;false
mh2;224;false;false
mh2;225;false;false
mh2;226;false;false
mh2;227;false;false
mh2;228;false;false
mh2;229;false;false
mh2;230;false;false
mh2;231;false;false
mh2;232;false;false
mh2;233;false;false
mh2;234;false;false
mh2;235;false;false
mh2;236;false;false
mh2;237;false;false
mh2;238;false;false
