set;number;no_foil;foil
mic;1;false;false
mic;2;false;false
mic;3;false;false
mic;4;false;false
mic;5;false;false
mic;6;false;false
mic;7;false;false
mic;8;false;false
mic;9;false;false
mic;10;false;false
mic;11;false;false
mic;12;false;false
mic;13;false;false
mic;14;false;false
mic;15;false;false
mic;16;false;false
mic;17;false;false
mic;18;false;false
mic;19;false;false
mic;20;false;false
mic;21;false;false
mic;22;false;false
mic;23;false;false
mic;24;false;false
mic;25;false;false
mic;26;false;false
mic;27;false;false
mic;28;false;false
mic;29;false;false
mic;30;false;false
mic;31;false;false
mic;32;false;false
mic;33;false;false
mic;34;false;false
mic;35;false;false
mic;36;false;false
mic;37;false;false
mic;38;false;false
mic;39;false;false
mic;40;false;false
mic;41;false;false
mic;42;false;false
mic;43;false;false
mic;44;false;false
mic;45;false;false
mic;46;false;false
mic;47;false;false
mic;48;false;false
mic;49;false;false
mic;50;false;false
mic;51;false;false
mic;52;false;false
mic;53;false;false
mic;54;false;false
mic;55;false;false
mic;56;false;false
mic;57;false;false
mic;58;false;false
mic;59;false;false
mic;60;false;false
mic;61;false;false
mic;62;false;false
mic;63;false;false
mic;64;false;false
mic;65;false;false
mic;66;false;false
mic;67;false;false
mic;68;false;false
mic;69;false;false
mic;70;false;false
mic;71;false;false
mic;72;false;false
mic;73;false;false
mic;74;false;false
mic;75;false;false
mic;76;false;false
mic;77;false;false
mic;78;false;false
mic;79;false;false
mic;80;false;false
mic;81;false;false
mic;82;false;false
mic;83;false;false
mic;84;false;false
mic;85;false;false
mic;86;false;false
mic;87;false;false
mic;88;false;false
mic;89;false;false
mic;90;false;false
mic;91;false;false
mic;92;false;false
mic;93;false;false
mic;94;false;false
mic;95;false;false
mic;96;false;false
mic;97;false;false
mic;98;false;false
mic;99;false;false
mic;100;false;false
mic;101;false;false
mic;102;false;false
mic;103;false;false
mic;104;false;false
mic;105;false;false
mic;106;false;false
mic;107;false;false
mic;108;false;false
mic;109;false;false
mic;110;false;false
mic;111;false;false
mic;112;false;false
mic;113;false;false
mic;114;false;false
mic;115;false;false
mic;116;false;false
mic;117;false;false
mic;118;false;false
mic;119;false;false
mic;120;false;false
mic;121;false;false
mic;122;false;false
mic;123;false;false
mic;124;false;false
mic;125;false;false
mic;126;false;false
mic;127;false;false
mic;128;false;false
mic;129;false;false
mic;130;false;false
mic;131;false;false
mic;132;false;false
mic;133;false;false
mic;134;false;false
mic;135;false;false
mic;136;false;false
mic;137;false;false
mic;138;false;false
mic;139;false;false
mic;140;false;false
mic;141;false;false
mic;142;false;false
mic;143;false;false
mic;144;false;false
mic;145;false;false
mic;146;false;false
mic;147;false;false
mic;148;false;false
mic;149;false;false
mic;150;false;false
mic;151;false;false
mic;152;false;false
mic;153;false;false
mic;154;false;false
mic;155;false;false
mic;156;false;false
mic;157;false;false
mic;158;false;false
mic;159;false;false
mic;160;false;false
mic;161;false;false
mic;162;false;false
mic;163;false;false
mic;164;false;false
mic;165;false;false
mic;166;false;false
mic;167;false;false
mic;168;false;false
mic;169;false;false
mic;170;false;false
mic;171;false;false
mic;172;false;false
mic;173;false;false
mic;174;false;false
mic;175;false;false
mic;176;false;false
mic;177;false;false
mic;178;false;false
mic;179;false;false
mic;180;false;false
mic;181;false;false
mic;182;false;false
mic;183;false;false
mic;184;false;false
mic;185;false;false
mic;186;false;false
mic;187;false;false
