set;number;no_foil;foil
mid;1;false;false
mid;2;false;false
mid;3;false;false
mid;4;false;false
mid;5;false;false
mid;6;false;false
mid;7;false;false
mid;8;false;false
mid;9;false;false
mid;10;false;false
mid;11;false;false
mid;12;false;false
mid;13;false;false
mid;14;false;false
mid;15;false;false
mid;16;false;false
mid;17;false;false
mid;18;false;false
mid;19;false;false
mid;20;false;false
mid;21;false;false
mid;22;false;false
mid;23;false;false
mid;24;false;false
mid;25;false;false
mid;26;false;false
mid;27;false;false
mid;28;false;false
mid;29;false;false
mid;30;false;false
mid;31;false;false
mid;32;false;false
mid;33;false;false
mid;34;false;false
mid;35;false;false
mid;36;false;false
mid;37;false;false
mid;38;false;false
mid;39;false;false
mid;40;false;false
mid;41;false;false
mid;42;false;false
mid;43;false;false
mid;44;false;false
mid;45;false;false
mid;46;false;false
mid;47;false;false
mid;48;false;false
mid;49;false;false
mid;50;false;false
mid;51;false;false
mid;52;false;false
mid;A-52;false;false
mid;53;false;false
mid;54;false;false
mid;55;false;false
mid;56;false;false
mid;57;false;false
mid;58;false;false
mid;59;false;false
mid;A-59;false;false
mid;60;false;false
mid;61;false;false
mid;62;false;false
mid;63;false;false
mid;64;false;false
mid;65;false;false
mid;66;false;false
mid;67;false;false
mid;68;false;false
mid;69;false;false
mid;A-69;false;false
mid;70;false;false
mid;A-70;false;false
mid;71;false;false
mid;72;false;false
mid;73;false;false
mid;74;false;false
mid;A-74;false;false
mid;75;false;false
mid;76;false;false
mid;77;false;false
mid;78;false;false
mid;79;false;false
mid;80;false;false
mid;81;false;false
mid;82;false;false
mid;83;false;false
mid;84;false;false
mid;85;false;false
mid;86;false;false
mid;87;false;false
mid;88;false;false
mid;89;false;false
mid;90;false;false
mid;91;false;false
mid;92;false;false
mid;93;false;false
mid;94;false;false
mid;95;false;false
mid;96;false;false
mid;97;false;false
mid;98;false;false
mid;99;false;false
mid;100;false;false
mid;101;false;false
mid;102;false;false
mid;103;false;false
mid;104;false;false
mid;105;false;false
mid;106;false;false
mid;A-106;false;false
mid;107;false;false
mid;108;false;false
mid;109;false;false
mid;110;false;false
mid;111;false;false
mid;112;false;false
mid;A-112;false;false
mid;113;false;false
mid;114;false;false
mid;115;false;false
mid;116;false;false
mid;117;false;false
mid;118;false;false
mid;119;false;false
mid;120;false;false
mid;121;false;false
mid;122;false;false
mid;123;false;false
mid;124;false;false
mid;125;false;false
mid;126;false;false
mid;127;false;false
mid;128;false;false
mid;129;false;false
mid;130;false;false
mid;131;false;false
mid;132;false;false
mid;133;false;false
mid;134;false;false
mid;135;false;false
mid;136;false;false
mid;137;false;false
mid;138;false;false
mid;139;false;false
mid;140;false;false
mid;141;false;false
mid;142;false;false
mid;143;false;false
mid;144;false;false
mid;145;false;false
