set;number;no_foil;foil
mir;1;false;false
mir;2;false;false
mir;3;false;false
mir;4;false;false
mir;5;false;false
mir;6;false;false
mir;7;false;false
mir;8;false;false
mir;9;false;false
mir;10;false;false
mir;11;false;false
mir;12;false;false
mir;13;false;false
mir;14;false;false
mir;15;false;false
mir;16;false;false
mir;17;false;false
mir;18;false;false
mir;19;false;false
mir;20;false;false
mir;21;false;false
mir;22;false;false
mir;23;false;false
mir;24;false;false
mir;25;false;false
mir;26;false;false
mir;27;false;false
mir;28;false;false
mir;29;false;false
mir;30;false;false
mir;31;false;false
mir;32;false;false
mir;33;false;false
mir;34;false;false
mir;35;false;false
mir;36;false;false
mir;37;false;false
mir;38;false;false
mir;39;false;false
mir;40;false;false
mir;41;false;false
mir;42;false;false
mir;43;false;false
mir;44;false;false
mir;45;false;false
mir;46;false;false
mir;47;false;false
mir;48;false;false
mir;49;false;false
mir;50;false;false
mir;51;false;false
mir;52;false;false
mir;53;false;false
mir;54;false;false
mir;55;false;false
mir;56;false;false
mir;57;false;false
mir;58;false;false
mir;59;false;false
mir;60;false;false
mir;61;false;false
mir;62;false;false
mir;63;false;false
mir;64;false;false
mir;65;false;false
mir;66;false;false
mir;67;false;false
mir;68;false;false
mir;69;false;false
mir;70;false;false
mir;71;false;false
mir;72;false;false
mir;73;false;false
mir;74;false;false
mir;75;false;false
mir;76;false;false
mir;77;false;false
mir;78;false;false
mir;79;false;false
mir;80;false;false
mir;81;false;false
mir;82;false;false
mir;83;false;false
mir;84;false;false
mir;85;false;false
mir;86;false;false
mir;87;false;false
mir;88;false;false
mir;89;false;false
mir;90;false;false
mir;91;false;false
mir;92;false;false
mir;93;false;false
mir;94;false;false
mir;95;false;false
mir;96;false;false
mir;97;false;false
mir;98;false;false
mir;99;false;false
mir;100;false;false
mir;101;false;false
mir;102;false;false
mir;103;false;false
mir;104;false;false
mir;105;false;false
mir;106;false;false
mir;107;false;false
mir;108;false;false
mir;109;false;false
mir;110;false;false
mir;111;false;false
mir;112;false;false
mir;113;false;false
mir;114;false;false
mir;115;false;false
mir;116;false;false
mir;117;false;false
mir;118;false;false
mir;119;false;false
mir;120;false;false
mir;120†;false;false
mir;121;false;false
mir;122;false;false
mir;123;false;false
mir;124;false;false
mir;125;false;false
mir;126;false;false
mir;127;false;false
mir;128;false;false
mir;129;false;false
mir;130;false;false
mir;131;false;false
mir;132;false;false
mir;133;false;false
mir;134;false;false
mir;135;false;false
mir;136;false;false
mir;137;false;false
mir;138;false;false
mir;139;false;false
mir;140;false;false
mir;141;false;false
mir;142;false;false
mir;143;false;false
mir;144;false;false
mir;145;false;false
mir;146;false;false
mir;147;false;false
mir;148;false;false
mir;149;false;false
mir;150;false;false
mir;151;false;false
mir;152;false;false
mir;153;false;false
mir;154;false;false
mir;155;false;false
mir;156;false;false
mir;157;false;false
mir;158;false;false
mir;159;false;false
mir;160;false;false
mir;161;false;false
mir;162;false;false
mir;163;false;false
mir;164;false;false
mir;165;false;false
mir;166;false;false
mir;167;false;false
mir;168;false;false
mir;169;false;false
mir;170;false;false
mir;171;false;false
mir;172;false;false
mir;173;false;false
mir;174;false;false
mir;175;false;false
mir;176;false;false
mir;177;false;false
mir;178;false;false
mir;179;false;false
mir;180;false;false
mir;181;false;false
mir;182;false;false
mir;183;false;false
mir;184;false;false
mir;185;false;false
mir;186;false;false
mir;187;false;false
mir;188;false;false
mir;189;false;false
mir;190;false;false
mir;191;false;false
mir;192;false;false
mir;193;false;false
mir;194;false;false
mir;195;false;false
mir;196;false;false
mir;197;false;false
mir;198;false;false
mir;199;false;false
mir;200;false;false
mir;201;false;false
mir;202;false;false
mir;203;false;false
mir;204;false;false
mir;205;false;false
mir;206;false;false
mir;207;false;false
mir;208;false;false
mir;209;false;false
mir;210;false;false
mir;211;false;false
mir;212;false;false
mir;213;false;false
mir;214;false;false
mir;215;false;false
mir;216;false;false
mir;217;false;false
mir;218;false;false
mir;219;false;false
mir;220;false;false
mir;221;false;false
mir;222;false;false
mir;223;false;false
mir;224;false;false
mir;225;false;false
mir;226;false;false
mir;227;false;false
mir;228;false;false
mir;229;false;false
mir;230;false;false
mir;231;false;false
mir;232;false;false
mir;233;false;false
mir;234;false;false
mir;235;false;false
mir;236;false;false
mir;237;false;false
mir;238;false;false
mir;239;false;false
mir;240;false;false
mir;241;false;false
mir;242;false;false
mir;243;false;false
mir;244;false;false
mir;245;false;false
mir;246;false;false
mir;247;false;false
mir;248;false;false
mir;249;false;false
mir;250;false;false
mir;251;false;false
mir;252;false;false
mir;253;false;false
mir;254;false;false
mir;255;false;false
mir;256;false;false
mir;257;false;false
mir;258;false;false
mir;259;false;false
