set;number;no_foil;foil
mkc;1;false;false
mkc;2;false;false
mkc;3;false;false
mkc;4;false;false
mkc;5;false;false
mkc;6;false;false
mkc;7;false;false
mkc;8;false;false
mkc;9;false;false
mkc;10;false;false
mkc;11;false;false
mkc;12;false;false
mkc;13;false;false
mkc;14;false;false
mkc;15;false;false
mkc;16;false;false
mkc;17;false;false
mkc;18;false;false
mkc;19;false;false
mkc;20;false;false
mkc;21;false;false
mkc;22;false;false
mkc;23;false;false
mkc;24;false;false
mkc;25;false;false
mkc;26;false;false
mkc;27;false;false
mkc;28;false;false
mkc;29;false;false
mkc;30;false;false
mkc;31;false;false
mkc;32;false;false
mkc;33;false;false
mkc;34;false;false
mkc;35;false;false
mkc;36;false;false
mkc;37;false;false
mkc;38;false;false
mkc;39;false;false
mkc;40;false;false
mkc;41;false;false
mkc;42;false;false
mkc;43;false;false
mkc;44;false;false
mkc;45;false;false
mkc;46;false;false
mkc;47;false;false
mkc;48;false;false
mkc;49;false;false
mkc;50;false;false
mkc;51;false;false
mkc;52;false;false
mkc;53;false;false
mkc;54;false;false
mkc;55;false;false
mkc;56;false;false
mkc;57;false;false
mkc;58;false;false
mkc;59;false;false
mkc;60;false;false
mkc;61;false;false
mkc;62;false;false
mkc;63;false;false
mkc;64;false;false
mkc;65;false;false
mkc;66;false;false
mkc;67;false;false
mkc;68;false;false
mkc;69;false;false
mkc;70;false;false
mkc;71;false;false
mkc;72;false;false
mkc;73;false;false
mkc;74;false;false
mkc;75;false;false
mkc;76;false;false
mkc;77;false;false
mkc;78;false;false
mkc;79;false;false
mkc;80;false;false
mkc;81;false;false
mkc;82;false;false
mkc;83;false;false
mkc;84;false;false
mkc;85;false;false
mkc;86;false;false
mkc;87;false;false
mkc;88;false;false
mkc;89;false;false
mkc;90;false;false
mkc;91;false;false
mkc;92;false;false
mkc;93;false;false
mkc;94;false;false
mkc;95;false;false
mkc;96;false;false
mkc;97;false;false
mkc;98;false;false
mkc;99;false;false
mkc;100;false;false
mkc;101;false;false
mkc;102;false;false
mkc;103;false;false
mkc;104;false;false
