set;number;no_foil;foil
mkm;1;false;false
mkm;2;false;false
mkm;3;false;false
mkm;4;false;false
mkm;5;false;false
mkm;6;false;false
mkm;7;false;false
mkm;8;false;false
mkm;9;false;false
mkm;10;false;false
mkm;11;false;false
mkm;12;false;false
mkm;13;false;false
mkm;14;false;false
mkm;15;false;false
mkm;16;false;false
mkm;17;false;false
mkm;18;false;false
mkm;19;false;false
mkm;20;false;false
mkm;21;false;false
mkm;22;false;false
mkm;23;false;false
mkm;24;false;false
mkm;25;false;false
mkm;26;false;false
mkm;27;false;false
mkm;28;false;false
mkm;29;false;false
mkm;30;false;false
mkm;31;false;false
mkm;32;false;false
mkm;33;false;false
mkm;34;false;false
mkm;35;false;false
mkm;36;false;false
mkm;37;false;false
mkm;38;false;false
mkm;39;false;false
mkm;40;false;false
mkm;41;false;false
mkm;42;false;false
mkm;43;false;false
mkm;44;false;false
mkm;45;false;false
mkm;46;false;false
mkm;47;false;false
mkm;48;false;false
mkm;49;false;false
mkm;50;false;false
mkm;51;false;false
mkm;52;false;false
mkm;53;false;false
mkm;54;false;false
mkm;55;false;false
mkm;56;false;false
mkm;57;false;false
mkm;58;false;false
mkm;59;false;false
mkm;60;false;false
mkm;61;false;false
mkm;62;false;false
mkm;63;false;false
mkm;64;false;false
mkm;65;false;false
mkm;66;false;false
mkm;67;false;false
mkm;68;false;false
mkm;69;false;false
mkm;70;false;false
mkm;71;false;false
mkm;72;false;false
mkm;73;false;false
mkm;74;false;false
mkm;75;false;false
mkm;76;false;false
mkm;77;false;false
mkm;78;false;false
mkm;79;false;false
mkm;80;false;false
mkm;81;false;false
mkm;82;false;false
mkm;83;false;false
mkm;84;false;false
mkm;85;false;false
mkm;86;false;false
mkm;87;false;false
mkm;88;false;false
mkm;89;false;false
mkm;90;false;false
mkm;91;false;false
mkm;92;false;false
mkm;93;false;false
mkm;94;false;false
mkm;95;false;false
mkm;96;false;false
mkm;97;false;false
mkm;98;false;false
mkm;99;false;false
mkm;100;false;false
mkm;101;false;false
mkm;102;false;false
mkm;103;false;false
mkm;104;false;false
mkm;105;false;false
mkm;106;false;false
mkm;107;false;false
mkm;108;false;false
mkm;109;false;false
mkm;110;false;false
mkm;111;false;false
mkm;112;false;false
mkm;113;false;false
mkm;114;false;false
mkm;115;false;false
mkm;116;false;false
mkm;117;false;false
mkm;118;false;false
mkm;119;false;false
mkm;120;false;false
mkm;121;false;false
mkm;122;false;false
mkm;123;false;false
mkm;124;false;false
mkm;125;false;false
mkm;126;false;false
mkm;127;false;false
mkm;128;false;false
mkm;129;false;false
mkm;130;false;false
mkm;131;false;false
mkm;132;false;false
mkm;133;false;false
mkm;134;false;false
mkm;135;false;false
mkm;136;false;false
mkm;137;false;false
mkm;138;false;false
mkm;139;false;false
mkm;140;false;false
mkm;141;false;false
mkm;142;false;false
mkm;143;false;false
mkm;144;false;false
mkm;145;false;false
mkm;146;false;false
mkm;147;false;false
mkm;148;false;false
mkm;149;false;false
mkm;150;false;false
mkm;151;false;false
mkm;152;false;false
mkm;153;false;false
mkm;154;false;false
mkm;155;false;false
mkm;156;false;false
mkm;157;false;false
mkm;158;false;false
mkm;159;false;false
mkm;160;false;false
mkm;161;false;false
mkm;162;false;false
mkm;163;false;false
mkm;164;false;false
mkm;165;false;false
mkm;166;false;false
mkm;167;false;false
mkm;168;false;false
mkm;169;false;false
mkm;170;false;false
mkm;171;false;false
mkm;172;false;false
mkm;173;false;false
mkm;174;false;false
mkm;175;false;false
mkm;176;false;false
mkm;177;false;false
mkm;178;false;false
mkm;179;false;false
mkm;180;false;false
mkm;181;false;false
mkm;182;false;false
mkm;183;false;false
mkm;184;false;false
mkm;185;false;false
mkm;186;false;false
mkm;187;false;false
mkm;188;false;false
mkm;189;false;false
mkm;190;false;false
mkm;191;false;false
mkm;192;false;false
mkm;193;false;false
mkm;194;false;false
mkm;195;false;false
mkm;196;false;false
mkm;197;false;false
mkm;198;false;false
mkm;199;false;false
mkm;200;false;false
mkm;201;false;false
mkm;202;false;false
mkm;203;false;false
mkm;204;false;false
mkm;205;false;false
mkm;206;false;false
mkm;207;false;false
mkm;208;false;false
mkm;209;false;false
mkm;210;false;false
mkm;211;false;false
mkm;212;false;false
mkm;213;false;false
mkm;214;false;false
mkm;215;false;false
mkm;216;false;false
mkm;217;false;false
mkm;218;false;false
mkm;219;false;false
mkm;220;false;false
mkm;221;false;false
mkm;222;false;false
mkm;223;false;false
mkm;224;false;false
mkm;225;false;false
mkm;226;false;false
mkm;227;false;false
mkm;228;false;false
mkm;229;false;false
mkm;230;false;false
mkm;231;false;false
mkm;232;false;false
mkm;233;false;false
mkm;234;false;false
mkm;235;false;false
mkm;236;false;false
mkm;237;false;false
mkm;238;false;false
mkm;239;false;false
mkm;240;false;false
mkm;241;false;false
mkm;242;false;false
mkm;243;false;false
mkm;244;false;false
mkm;245;false;false
mkm;246;false;false
mkm;247;false;false
mkm;248;false;false
mkm;249;false;false
mkm;250;false;false
mkm;251;false;false
mkm;252;false;false
mkm;253;false;false
mkm;254;false;false
mkm;255;false;false
mkm;256;false;false
mkm;257;false;false
mkm;258;false;false
mkm;259;false;false
mkm;260;false;false
mkm;261;false;false
mkm;262;false;false
mkm;263;false;false
mkm;264;false;false
mkm;265;false;false
mkm;266;false;false
mkm;267;false;false
mkm;268;false;false
mkm;269;false;false
mkm;270;false;false
mkm;271;false;false
mkm;272;false;false
mkm;273;false;false
mkm;274;false;false
mkm;275;false;false
mkm;276;false;false
mkm;277;false;false
mkm;278;false;false
mkm;279;false;false
mkm;280;false;false
mkm;281;false;false
mkm;282;false;false
mkm;283;false;false
mkm;284;false;false
mkm;285;false;false
mkm;286;false;false
mkm;287;false;false
mkm;288;false;false
mkm;289;false;false
mkm;290;false;false
mkm;291;false;false
mkm;292;false;false
mkm;293;false;false
mkm;294;false;false
mkm;295;false;false
mkm;296;false;false
mkm;297;false;false
mkm;298;false;false
mkm;299;false;false
mkm;300;false;false
mkm;301;false;false
mkm;302;false;false
mkm;303;false;false
mkm;304;false;false
mkm;305;false;false
mkm;306;false;false
mkm;307;false;false
mkm;308;false;false
mkm;309;false;false
mkm;310;false;false
mkm;311;false;false
mkm;312;false;false
mkm;313;false;false
mkm;314;false;false
mkm;315;false;false
mkm;316;false;false
mkm;317;false;false
mkm;317z;false;false
mkm;318;false;false
mkm;318z;false;false
mkm;319;false;false
mkm;319z;false;false
mkm;320;false;false
mkm;320z;false;false
mkm;321;false;false
mkm;321z;false;false
mkm;322;false;false
mkm;322z;false;false
mkm;323;false;false
mkm;323z;false;false
mkm;324;false;false
mkm;325;false;false
mkm;326;false;false
mkm;327;false;false
mkm;328;false;false
mkm;329;false;false
mkm;330;false;false
mkm;331;false;false
mkm;332;false;false
mkm;333;false;false
mkm;334;false;false
mkm;335;false;false
mkm;336;false;false
mkm;337;false;false
mkm;338;false;false
mkm;339;false;false
mkm;340;false;false
mkm;341;false;false
mkm;342;false;false
mkm;343;false;false
mkm;344;false;false
mkm;345;false;false
mkm;346;false;false
mkm;347;false;false
mkm;348;false;false
mkm;349;false;false
mkm;350;false;false
mkm;351;false;false
mkm;352;false;false
mkm;353;false;false
mkm;354;false;false
mkm;355;false;false
mkm;356;false;false
mkm;357;false;false
mkm;358;false;false
mkm;359;false;false
mkm;360;false;false
mkm;361;false;false
mkm;362;false;false
mkm;363;false;false
mkm;364;false;false
mkm;365;false;false
mkm;366;false;false
mkm;367;false;false
mkm;368;false;false
mkm;369;false;false
mkm;370;false;false
mkm;371;false;false
mkm;372;false;false
mkm;373;false;false
mkm;374;false;false
mkm;375;false;false
mkm;376;false;false
mkm;377;false;false
mkm;378;false;false
mkm;379;false;false
mkm;380;false;false
mkm;381;false;false
mkm;382;false;false
mkm;383;false;false
mkm;384;false;false
mkm;385;false;false
mkm;386;false;false
mkm;387;false;false
mkm;388;false;false
mkm;389;false;false
mkm;390;false;false
mkm;391;false;false
mkm;392;false;false
mkm;393;false;false
mkm;394;false;false
mkm;395;false;false
mkm;396;false;false
mkm;397;false;false
mkm;398;false;false
mkm;399;false;false
mkm;400;false;false
mkm;401;false;false
mkm;402;false;false
mkm;403;false;false
mkm;404;false;false
mkm;405;false;false
mkm;406;false;false
mkm;407;false;false
mkm;408;false;false
mkm;409;false;false
mkm;410;false;false
mkm;411;false;false
mkm;412;false;false
mkm;413;false;false
mkm;414;false;false
mkm;415;false;false
mkm;416;false;false
mkm;417;false;false
mkm;418;false;false
mkm;419;false;false
mkm;420;false;false
mkm;421;false;false
mkm;422;false;false
mkm;423;false;false
mkm;424;false;false
mkm;425;false;false
mkm;426;false;false
mkm;427;false;false
mkm;428;false;false
mkm;429;false;false
mkm;430;false;false
mkm;431;false;false
mkm;432;false;false
mkm;433;false;false
