set;number;no_foil;foil
mm2;1;false;false
mm2;2;false;false
mm2;3;false;false
mm2;4;false;false
mm2;5;false;false
mm2;6;false;false
mm2;7;false;false
mm2;8;false;false
mm2;9;false;false
mm2;10;false;false
mm2;11;false;false
mm2;12;false;false
mm2;13;false;false
mm2;14;false;false
mm2;15;false;false
mm2;16;false;false
mm2;17;false;false
mm2;18;false;false
mm2;19;false;false
mm2;20;false;false
mm2;21;false;false
mm2;22;false;false
mm2;23;false;false
mm2;24;false;false
mm2;25;false;false
mm2;26;false;false
mm2;27;false;false
mm2;28;false;false
mm2;29;false;false
mm2;30;false;false
mm2;31;false;false
mm2;32;false;false
mm2;33;false;false
mm2;34;false;false
mm2;35;false;false
mm2;36;false;false
mm2;37;false;false
mm2;38;false;false
mm2;39;false;false
mm2;40;false;false
mm2;41;false;false
mm2;42;false;false
mm2;43;false;false
mm2;44;false;false
mm2;45;false;false
mm2;46;false;false
mm2;47;false;false
mm2;48;false;false
mm2;49;false;false
mm2;50;false;false
mm2;51;false;false
mm2;52;false;false
mm2;53;false;false
mm2;54;false;false
mm2;55;false;false
mm2;56;false;false
mm2;57;false;false
mm2;58;false;false
mm2;59;false;false
mm2;60;false;false
mm2;61;false;false
mm2;62;false;false
mm2;63;false;false
mm2;64;false;false
mm2;65;false;false
mm2;66;false;false
mm2;67;false;false
mm2;68;false;false
mm2;69;false;false
mm2;70;false;false
mm2;71;false;false
mm2;72;false;false
mm2;73;false;false
mm2;74;false;false
mm2;75;false;false
mm2;76;false;false
mm2;77;false;false
mm2;78;false;false
mm2;79;false;false
mm2;80;false;false
mm2;81;false;false
mm2;82;false;false
mm2;83;false;false
mm2;84;false;false
mm2;85;false;false
mm2;86;false;false
mm2;87;false;false
mm2;88;false;false
mm2;89;false;false
mm2;90;false;false
mm2;91;false;false
mm2;92;false;false
mm2;93;false;false
mm2;94;false;false
mm2;95;false;false
mm2;96;false;false
mm2;97;false;false
mm2;98;false;false
mm2;99;false;false
mm2;100;false;false
mm2;101;false;false
mm2;102;false;false
mm2;103;false;false
mm2;104;false;false
mm2;105;false;false
mm2;106;false;false
mm2;107;false;false
mm2;108;false;false
mm2;109;false;false
mm2;110;false;false
mm2;111;false;false
mm2;112;false;false
mm2;113;false;false
mm2;114;false;false
mm2;115;false;false
mm2;116;false;false
mm2;117;false;false
mm2;118;false;false
mm2;119;false;false
mm2;120;false;false
mm2;121;false;false
mm2;122;false;false
mm2;123;false;false
mm2;124;false;false
mm2;125;false;false
mm2;126;false;false
mm2;127;false;false
mm2;128;false;false
mm2;129;false;false
mm2;130;false;false
mm2;131;false;false
mm2;132;false;false
mm2;133;false;false
mm2;134;false;false
mm2;135;false;false
mm2;136;false;false
mm2;137;false;false
mm2;138;false;false
mm2;139;false;false
mm2;140;false;false
mm2;141;false;false
mm2;142;false;false
mm2;143;false;false
mm2;144;false;false
mm2;145;false;false
mm2;146;false;false
mm2;147;false;false
mm2;148;false;false
mm2;149;false;false
mm2;150;false;false
mm2;151;false;false
mm2;152;false;false
mm2;153;false;false
mm2;154;false;false
mm2;155;false;false
mm2;156;false;false
mm2;157;false;false
mm2;158;false;false
mm2;159;false;false
mm2;160;false;false
mm2;161;false;false
mm2;162;false;false
mm2;163;false;false
mm2;164;false;false
mm2;165;false;false
mm2;166;false;false
mm2;167;false;false
mm2;168;false;false
mm2;169;false;false
mm2;170;false;false
mm2;171;false;false
mm2;172;false;false
mm2;173;false;false
mm2;174;false;false
mm2;175;false;false
mm2;176;false;false
mm2;177;false;false
mm2;178;false;false
mm2;179;false;false
mm2;180;false;false
mm2;181;false;false
mm2;182;false;false
mm2;183;false;false
mm2;184;false;false
mm2;185;false;false
mm2;186;false;false
mm2;187;false;false
mm2;188;false;false
mm2;189;false;false
mm2;190;false;false
mm2;191;false;false
mm2;192;false;false
mm2;193;false;false
mm2;194;false;false
mm2;195;false;false
mm2;196;false;false
mm2;197;false;false
mm2;198;false;false
mm2;199;false;false
mm2;200;false;false
mm2;201;false;false
mm2;202;false;false
mm2;203;false;false
mm2;204;false;false
mm2;205;false;false
mm2;206;false;false
mm2;207;false;false
mm2;208;false;false
mm2;209;false;false
mm2;210;false;false
mm2;211;false;false
mm2;212;false;false
mm2;213;false;false
mm2;214;false;false
mm2;215;false;false
mm2;216;false;false
mm2;217;false;false
mm2;218;false;false
mm2;219;false;false
mm2;220;false;false
mm2;221;false;false
mm2;222;false;false
mm2;223;false;false
mm2;224;false;false
mm2;225;false;false
mm2;226;false;false
mm2;227;false;false
mm2;228;false;false
mm2;229;false;false
mm2;230;false;false
mm2;231;false;false
mm2;232;false;false
mm2;233;false;false
mm2;234;false;false
mm2;235;false;false
mm2;236;false;false
mm2;237;false;false
mm2;238;false;false
mm2;239;false;false
mm2;240;false;false
mm2;241;false;false
mm2;242;false;false
mm2;243;false;false
mm2;244;false;false
mm2;245;false;false
mm2;246;false;false
mm2;247;false;false
mm2;248;false;false
mm2;249;false;false
