set;number;no_foil;foil
mma;1;false;false
mma;2;false;false
mma;3;false;false
mma;4;false;false
mma;5;false;false
mma;6;false;false
mma;7;false;false
mma;8;false;false
mma;9;false;false
mma;10;false;false
mma;11;false;false
mma;12;false;false
mma;13;false;false
mma;14;false;false
mma;15;false;false
mma;16;false;false
mma;17;false;false
mma;18;false;false
mma;19;false;false
mma;20;false;false
mma;21;false;false
mma;22;false;false
mma;23;false;false
mma;24;false;false
mma;25;false;false
mma;26;false;false
mma;27;false;false
mma;28;false;false
mma;29;false;false
mma;30;false;false
mma;31;false;false
mma;32;false;false
mma;33;false;false
mma;34;false;false
mma;35;false;false
mma;36;false;false
mma;37;false;false
mma;38;false;false
mma;39;false;false
mma;40;false;false
mma;41;false;false
mma;42;false;false
mma;43;false;false
mma;44;false;false
mma;45;false;false
mma;46;false;false
mma;47;false;false
mma;48;false;false
mma;49;false;false
mma;50;false;false
mma;51;false;false
mma;52;false;false
mma;53;false;false
mma;54;false;false
mma;55;false;false
mma;56;false;false
mma;57;false;false
mma;58;false;false
mma;59;false;false
mma;60;false;false
mma;61;false;false
mma;62;false;false
mma;63;false;false
mma;64;false;false
mma;65;false;false
mma;66;false;false
mma;67;false;false
mma;68;false;false
mma;69;false;false
mma;70;false;false
mma;71;false;false
mma;72;false;false
mma;73;false;false
mma;74;false;false
mma;75;false;false
mma;76;false;false
mma;77;false;false
mma;78;false;false
mma;79;false;false
mma;80;false;false
mma;81;false;false
mma;82;false;false
mma;83;false;false
mma;84;false;false
mma;85;false;false
mma;86;false;false
mma;87;false;false
mma;88;false;false
mma;89;false;false
mma;90;false;false
mma;91;false;false
mma;92;false;false
mma;93;false;false
mma;94;false;false
mma;95;false;false
mma;96;false;false
mma;97;false;false
mma;98;false;false
mma;99;false;false
mma;100;false;false
mma;101;false;false
mma;102;false;false
mma;103;false;false
mma;104;false;false
mma;105;false;false
mma;106;false;false
mma;107;false;false
mma;108;false;false
mma;109;false;false
mma;110;false;false
mma;111;false;false
mma;112;false;false
mma;113;false;false
mma;114;false;false
mma;115;false;false
mma;116;false;false
mma;117;false;false
mma;118;false;false
mma;119;false;false
mma;120;false;false
mma;121;false;false
mma;122;false;false
mma;123;false;false
mma;124;false;false
mma;125;false;false
mma;126;false;false
mma;127;false;false
mma;128;false;false
mma;129;false;false
mma;130;false;false
mma;131;false;false
mma;132;false;false
mma;133;false;false
mma;134;false;false
mma;135;false;false
mma;136;false;false
mma;137;false;false
mma;138;false;false
mma;139;false;false
mma;140;false;false
mma;141;false;false
mma;142;false;false
mma;143;false;false
mma;144;false;false
mma;145;false;false
mma;146;false;false
mma;147;false;false
mma;148;false;false
mma;149;false;false
mma;150;false;false
mma;151;false;false
mma;152;false;false
mma;153;false;false
mma;154;false;false
mma;155;false;false
mma;156;false;false
mma;157;false;false
mma;158;false;false
mma;159;false;false
mma;160;false;false
mma;161;false;false
mma;162;false;false
mma;163;false;false
mma;164;false;false
mma;165;false;false
mma;166;false;false
mma;167;false;false
mma;168;false;false
mma;169;false;false
mma;170;false;false
mma;171;false;false
mma;172;false;false
mma;173;false;false
mma;174;false;false
mma;175;false;false
mma;176;false;false
mma;177;false;false
mma;178;false;false
mma;179;false;false
mma;180;false;false
mma;181;false;false
mma;182;false;false
mma;183;false;false
mma;184;false;false
mma;185;false;false
mma;186;false;false
mma;187;false;false
mma;188;false;false
mma;189;false;false
mma;190;false;false
mma;191;false;false
mma;192;false;false
mma;193;false;false
mma;194;false;false
mma;195;false;false
mma;196;false;false
mma;197;false;false
mma;198;false;false
mma;199;false;false
mma;200;false;false
mma;201;false;false
mma;202;false;false
mma;203;false;false
mma;204;false;false
mma;205;false;false
mma;206;false;false
mma;207;false;false
mma;208;false;false
mma;209;false;false
mma;210;false;false
mma;211;false;false
mma;212;false;false
mma;213;false;false
mma;214;false;false
mma;215;false;false
mma;216;false;false
mma;217;false;false
mma;218;false;false
mma;219;false;false
mma;220;false;false
mma;221;false;false
mma;222;false;false
mma;223;false;false
mma;224;false;false
mma;225;false;false
mma;226;false;false
mma;227;false;false
mma;228;false;false
mma;229;false;false
