set;number;no_foil;foil
mmq;1;false;false
mmq;2;false;false
mmq;3;false;false
mmq;4;false;false
mmq;5;false;false
mmq;6;false;false
mmq;7;false;false
mmq;8;false;false
mmq;9;false;false
mmq;10;false;false
mmq;11;false;false
mmq;12;false;false
mmq;13;false;false
mmq;14;false;false
mmq;15;false;false
mmq;16;false;false
mmq;17;false;false
mmq;18;false;false
mmq;19;false;false
mmq;20;false;false
mmq;21;false;false
mmq;22;false;false
mmq;23;false;false
mmq;24;false;false
mmq;25;false;false
mmq;26;false;false
mmq;27;false;false
mmq;28;false;false
mmq;29;false;false
mmq;30;false;false
mmq;31;false;false
mmq;32;false;false
mmq;33;false;false
mmq;34;false;false
mmq;35;false;false
mmq;36;false;false
mmq;37;false;false
mmq;38;false;false
mmq;39;false;false
mmq;40;false;false
mmq;41;false;false
mmq;42;false;false
mmq;43;false;false
mmq;44;false;false
mmq;45;false;false
mmq;46;false;false
mmq;47;false;false
mmq;48;false;false
mmq;49;false;false
mmq;50;false;false
mmq;51;false;false
mmq;52;false;false
mmq;53;false;false
mmq;54;false;false
mmq;55;false;false
mmq;56;false;false
mmq;57;false;false
mmq;58;false;false
mmq;59;false;false
mmq;60;false;false
mmq;61;false;false
mmq;62;false;false
mmq;63;false;false
mmq;64;false;false
mmq;65;false;false
mmq;66;false;false
mmq;67;false;false
mmq;68;false;false
mmq;69;false;false
mmq;70;false;false
mmq;71;false;false
mmq;72;false;false
mmq;73;false;false
mmq;74;false;false
mmq;75;false;false
mmq;76;false;false
mmq;77;false;false
mmq;78;false;false
mmq;79;false;false
mmq;80;false;false
mmq;81;false;false
mmq;82;false;false
mmq;83;false;false
mmq;84;false;false
mmq;85;false;false
mmq;86;false;false
mmq;87;false;false
mmq;88;false;false
mmq;89;false;false
mmq;90;false;false
mmq;91;false;false
mmq;92;false;false
mmq;93;false;false
mmq;94;false;false
mmq;95;false;false
mmq;96;false;false
mmq;97;false;false
mmq;98;false;false
mmq;99;false;false
mmq;100;false;false
mmq;101;false;false
mmq;102;false;false
mmq;103;false;false
mmq;104;false;false
mmq;105;false;false
mmq;106;false;false
mmq;107;false;false
mmq;108;false;false
mmq;109;false;false
mmq;110;false;false
mmq;111;false;false
mmq;112;false;false
mmq;113;false;false
mmq;114;false;false
mmq;115;false;false
mmq;116;false;false
mmq;117;false;false
mmq;118;false;false
mmq;119;false;false
mmq;120;false;false
mmq;121;false;false
mmq;122;false;false
mmq;123;false;false
mmq;124;false;false
mmq;125;false;false
mmq;126;false;false
mmq;127;false;false
mmq;128;false;false
mmq;129;false;false
mmq;130;false;false
mmq;131;false;false
mmq;132;false;false
mmq;133;false;false
mmq;134;false;false
mmq;135;false;false
mmq;136;false;false
mmq;137;false;false
mmq;138;false;false
mmq;139;false;false
mmq;140;false;false
mmq;141;false;false
mmq;142;false;false
mmq;143;false;false
mmq;144;false;false
mmq;145;false;false
mmq;146;false;false
mmq;147;false;false
mmq;148;false;false
mmq;149;false;false
mmq;150;false;false
mmq;151;false;false
mmq;152;false;false
mmq;153;false;false
mmq;154;false;false
mmq;155;false;false
mmq;156;false;false
mmq;157;false;false
mmq;158;false;false
mmq;159;false;false
mmq;160;false;false
mmq;161;false;false
mmq;162;false;false
mmq;163;false;false
mmq;164;false;false
mmq;165;false;false
mmq;166;false;false
mmq;167;false;false
mmq;168;false;false
mmq;169;false;false
mmq;170;false;false
mmq;171;false;false
mmq;172;false;false
mmq;173;false;false
mmq;174;false;false
mmq;175;false;false
mmq;176;false;false
mmq;177;false;false
mmq;178;false;false
mmq;179;false;false
mmq;180;false;false
mmq;181;false;false
mmq;182;false;false
mmq;183;false;false
mmq;184;false;false
mmq;185;false;false
mmq;186;false;false
mmq;187;false;false
mmq;188;false;false
mmq;189;false;false
mmq;190;false;false
mmq;191;false;false
mmq;192;false;false
mmq;193;false;false
mmq;194;false;false
mmq;195;false;false
mmq;196;false;false
mmq;197;false;false
mmq;198;false;false
mmq;199;false;false
mmq;200;false;false
mmq;201;false;false
mmq;202;false;false
mmq;203;false;false
mmq;204;false;false
mmq;205;false;false
mmq;206;false;false
mmq;207;false;false
mmq;208;false;false
mmq;209;false;false
mmq;210;false;false
mmq;211;false;false
mmq;212;false;false
mmq;213;false;false
mmq;214;false;false
mmq;215;false;false
mmq;216;false;false
mmq;217;false;false
mmq;218;false;false
mmq;219;false;false
mmq;220;false;false
mmq;221;false;false
mmq;222;false;false
mmq;223;false;false
mmq;224;false;false
mmq;225;false;false
mmq;226;false;false
mmq;227;false;false
mmq;228;false;false
mmq;229;false;false
mmq;230;false;false
mmq;231;false;false
mmq;232;false;false
mmq;233;false;false
mmq;234;false;false
mmq;235;false;false
mmq;236;false;false
mmq;237;false;false
mmq;238;false;false
mmq;239;false;false
mmq;240;false;false
mmq;241;false;false
mmq;242;false;false
mmq;243;false;false
mmq;244;false;false
mmq;245;false;false
mmq;246;false;false
mmq;247;false;false
mmq;248;false;false
mmq;249;false;false
mmq;250;false;false
mmq;251;false;false
mmq;252;false;false
mmq;253;false;false
mmq;254;false;false
mmq;255;false;false
mmq;256;false;false
mmq;257;false;false
mmq;258;false;false
mmq;259;false;false
mmq;260;false;false
mmq;261;false;false
mmq;262;false;false
mmq;263;false;false
mmq;264;false;false
mmq;265;false;false
mmq;266;false;false
mmq;267;false;false
mmq;268;false;false
mmq;269;false;false
mmq;270;false;false
mmq;271;false;false
mmq;272;false;false
mmq;273;false;false
mmq;274;false;false
mmq;275;false;false
mmq;276;false;false
mmq;277;false;false
mmq;278;false;false
mmq;279;false;false
mmq;280;false;false
mmq;281;false;false
mmq;282;false;false
mmq;283;false;false
mmq;284;false;false
mmq;285;false;false
mmq;286;false;false
mmq;287;false;false
mmq;288;false;false
mmq;289;false;false
mmq;290;false;false
mmq;291;false;false
mmq;292;false;false
mmq;293;false;false
mmq;294;false;false
mmq;295;false;false
mmq;296;false;false
mmq;297;false;false
mmq;298;false;false
mmq;299;false;false
mmq;300;false;false
mmq;301;false;false
mmq;302;false;false
