set;number;no_foil;foil
moc;1;false;false
moc;2;false;false
moc;3;false;false
moc;4;false;false
moc;5;false;false
moc;6;false;false
moc;7;false;false
moc;8;false;false
moc;9;false;false
moc;10;false;false
moc;11;false;false
moc;12;false;false
moc;13;false;false
moc;14;false;false
moc;15;false;false
moc;16;false;false
moc;17;false;false
moc;18;false;false
moc;19;false;false
moc;20;false;false
moc;21;false;false
moc;22;false;false
moc;23;false;false
moc;24;false;false
moc;25;false;false
moc;26;false;false
moc;27;false;false
moc;28;false;false
moc;29;false;false
moc;30;false;false
moc;31;false;false
moc;32;false;false
moc;33;false;false
moc;34;false;false
moc;35;false;false
moc;36;false;false
moc;37;false;false
moc;38;false;false
moc;39;false;false
moc;40;false;false
moc;41;false;false
moc;42;false;false
moc;43;false;false
moc;44;false;false
moc;45;false;false
moc;46;false;false
moc;47;false;false
moc;48;false;false
moc;49;false;false
moc;50;false;false
moc;51;false;false
moc;52;false;false
moc;53;false;false
moc;54;false;false
moc;55;false;false
moc;56;false;false
moc;57;false;false
moc;58;false;false
moc;59;false;false
moc;60;false;false
moc;61;false;false
moc;62;false;false
moc;63;false;false
moc;64;false;false
moc;65;false;false
moc;66;false;false
moc;67;false;false
moc;68;false;false
moc;69;false;false
moc;70;false;false
moc;71;false;false
moc;72;false;false
moc;73;false;false
moc;74;false;false
moc;75;false;false
moc;76;false;false
moc;77;false;false
moc;78;false;false
moc;79;false;false
moc;80;false;false
moc;81;false;false
moc;82;false;false
moc;83;false;false
moc;84;false;false
moc;85;false;false
moc;86;false;false
moc;87;false;false
moc;88;false;false
moc;89;false;false
moc;90;false;false
moc;91;false;false
moc;92;false;false
moc;93;false;false
moc;94;false;false
moc;95;false;false
moc;96;false;false
moc;97;false;false
moc;98;false;false
moc;99;false;false
moc;100;false;false
moc;101;false;false
moc;102;false;false
moc;103;false;false
moc;104;false;false
moc;105;false;false
moc;106;false;false
moc;107;false;false
moc;108;false;false
moc;109;false;false
moc;110;false;false
moc;111;false;false
moc;112;false;false
moc;113;false;false
moc;114;false;false
moc;115;false;false
moc;116;false;false
moc;117;false;false
moc;118;false;false
moc;119;false;false
moc;120;false;false
moc;121;false;false
moc;122;false;false
moc;123;false;false
moc;124;false;false
moc;125;false;false
moc;126;false;false
moc;127;false;false
moc;128;false;false
moc;129;false;false
moc;130;false;false
moc;131;false;false
moc;132;false;false
moc;133;false;false
moc;134;false;false
moc;135;false;false
moc;136;false;false
moc;137;false;false
moc;138;false;false
moc;139;false;false
moc;140;false;false
moc;141;false;false
moc;142;false;false
moc;143;false;false
moc;144;false;false
moc;145;false;false
moc;146;false;false
moc;147;false;false
moc;148;false;false
moc;149;false;false
moc;150;false;false
moc;151;false;false
moc;152;false;false
moc;153;false;false
moc;154;false;false
moc;155;false;false
moc;156;false;false
moc;157;false;false
moc;158;false;false
moc;159;false;false
moc;160;false;false
moc;161;false;false
moc;162;false;false
moc;163;false;false
moc;164;false;false
moc;165;false;false
moc;166;false;false
moc;167;false;false
moc;168;false;false
moc;169;false;false
moc;170;false;false
moc;171;false;false
moc;172;false;false
moc;173;false;false
moc;174;false;false
moc;175;false;false
moc;176;false;false
moc;177;false;false
moc;178;false;false
moc;179;false;false
moc;180;false;false
moc;181;false;false
moc;182;false;false
moc;183;false;false
moc;184;false;false
moc;185;false;false
moc;186;false;false
moc;187;false;false
moc;188;false;false
moc;189;false;false
moc;190;false;false
moc;191;false;false
moc;192;false;false
moc;193;false;false
moc;194;false;false
moc;195;false;false
moc;196;false;false
moc;197;false;false
moc;198;false;false
moc;199;false;false
moc;200;false;false
moc;201;false;false
moc;202;false;false
moc;203;false;false
moc;204;false;false
moc;205;false;false
moc;206;false;false
moc;207;false;false
moc;208;false;false
moc;209;false;false
moc;210;false;false
moc;211;false;false
moc;212;false;false
moc;213;false;false
moc;214;false;false
moc;215;false;false
moc;216;false;false
moc;217;false;false
moc;218;false;false
moc;219;false;false
moc;220;false;false
moc;221;false;false
moc;222;false;false
moc;223;false;false
moc;224;false;false
moc;225;false;false
moc;226;false;false
moc;227;false;false
moc;228;false;false
moc;229;false;false
moc;230;false;false
moc;231;false;false
moc;232;false;false
moc;233;false;false
moc;234;false;false
moc;235;false;false
moc;236;false;false
moc;237;false;false
moc;238;false;false
moc;239;false;false
moc;240;false;false
moc;241;false;false
moc;242;false;false
moc;243;false;false
moc;244;false;false
moc;245;false;false
moc;246;false;false
moc;247;false;false
moc;248;false;false
moc;249;false;false
moc;250;false;false
moc;251;false;false
moc;252;false;false
moc;253;false;false
moc;254;false;false
moc;255;false;false
moc;256;false;false
moc;257;false;false
moc;258;false;false
moc;259;false;false
moc;260;false;false
moc;261;false;false
moc;262;false;false
moc;263;false;false
moc;264;false;false
moc;265;false;false
moc;266;false;false
moc;267;false;false
moc;268;false;false
moc;269;false;false
moc;270;false;false
moc;271;false;false
moc;272;false;false
moc;273;false;false
moc;274;false;false
moc;275;false;false
moc;276;false;false
moc;277;false;false
moc;278;false;false
moc;279;false;false
moc;280;false;false
moc;281;false;false
moc;282;false;false
moc;283;false;false
moc;284;false;false
moc;285;false;false
moc;286;false;false
moc;287;false;false
moc;288;false;false
moc;289;false;false
moc;290;false;false
moc;291;false;false
moc;292;false;false
moc;293;false;false
moc;294;false;false
moc;295;false;false
moc;296;false;false
moc;297;false;false
moc;298;false;false
moc;299;false;false
moc;300;false;false
moc;301;false;false
moc;302;false;false
moc;303;false;false
moc;304;false;false
moc;305;false;false
moc;306;false;false
moc;307;false;false
moc;308;false;false
moc;309;false;false
moc;310;false;false
moc;311;false;false
moc;312;false;false
moc;313;false;false
moc;314;false;false
moc;315;false;false
moc;316;false;false
moc;317;false;false
moc;318;false;false
moc;319;false;false
moc;320;false;false
moc;321;false;false
moc;322;false;false
moc;323;false;false
moc;324;false;false
moc;325;false;false
moc;326;false;false
moc;327;false;false
moc;328;false;false
moc;329;false;false
moc;330;false;false
moc;331;false;false
moc;332;false;false
moc;333;false;false
moc;334;false;false
moc;335;false;false
moc;336;false;false
moc;337;false;false
moc;338;false;false
moc;339;false;false
moc;340;false;false
moc;341;false;false
moc;342;false;false
moc;343;false;false
moc;344;false;false
moc;345;false;false
moc;346;false;false
moc;347;false;false
moc;348;false;false
moc;349;false;false
moc;350;false;false
moc;351;false;false
moc;352;false;false
moc;353;false;false
moc;354;false;false
moc;355;false;false
moc;356;false;false
moc;357;false;false
moc;358;false;false
moc;359;false;false
moc;360;false;false
moc;361;false;false
moc;362;false;false
moc;363;false;false
moc;364;false;false
moc;365;false;false
moc;366;false;false
moc;367;false;false
moc;368;false;false
moc;369;false;false
moc;370;false;false
moc;371;false;false
moc;372;false;false
moc;373;false;false
moc;374;false;false
moc;375;false;false
moc;376;false;false
moc;377;false;false
moc;378;false;false
moc;379;false;false
moc;380;false;false
moc;381;false;false
moc;382;false;false
moc;383;false;false
moc;384;false;false
moc;385;false;false
moc;386;false;false
moc;387;false;false
moc;388;false;false
moc;389;false;false
moc;390;false;false
moc;391;false;false
moc;392;false;false
moc;393;false;false
moc;394;false;false
moc;395;false;false
moc;396;false;false
moc;397;false;false
moc;398;false;false
moc;399;false;false
moc;400;false;false
moc;401;false;false
moc;402;false;false
moc;403;false;false
moc;404;false;false
moc;405;false;false
moc;406;false;false
moc;407;false;false
moc;408;false;false
moc;409;false;false
moc;410;false;false
moc;411;false;false
moc;412;false;false
moc;413;false;false
moc;414;false;false
moc;415;false;false
moc;416;false;false
moc;417;false;false
moc;418;false;false
moc;419;false;false
moc;420;false;false
moc;421;false;false
moc;422;false;false
moc;423;false;false
moc;424;false;false
moc;425;false;false
moc;426;false;false
moc;427;false;false
moc;428;false;false
moc;429;false;false
moc;430;false;false
moc;431;false;false
moc;432;false;false
moc;433;false;false
moc;434;false;false
moc;435;false;false
moc;436;false;false
moc;437;false;false
moc;438;false;false
moc;439;false;false
moc;440;false;false
moc;441;false;false
moc;442;false;false
moc;443;false;false
moc;444;false;false
moc;445;false;false
moc;446;false;false
moc;447;false;false
moc;448;false;false
moc;449;false;false
moc;450;false;false
