set;number;no_foil;foil
mom;1;false;false
mom;2;false;false
mom;3;false;false
mom;4;false;false
mom;5;false;false
mom;6;false;false
mom;7;false;false
mom;8;false;false
mom;9;false;false
mom;10;false;false
mom;11;false;false
mom;12;false;false
mom;13;false;false
mom;14;false;false
mom;15;false;false
mom;16;false;false
mom;17;false;false
mom;18;false;false
mom;19;false;false
mom;20;false;false
mom;21;false;false
mom;22;false;false
mom;23;false;false
mom;24;false;false
mom;25;false;false
mom;26;false;false
mom;27;false;false
mom;28;false;false
mom;29;false;false
mom;30;false;false
mom;31;false;false
mom;32;false;false
mom;33;false;false
mom;34;false;false
mom;35;false;false
mom;36;false;false
mom;37;false;false
mom;38;false;false
mom;39;false;false
mom;40;false;false
mom;41;false;false
mom;42;false;false
mom;43;false;false
mom;44;false;false
mom;45;false;false
mom;46;false;false
mom;47;false;false
mom;48;false;false
mom;49;false;false
mom;50;false;false
mom;51;false;false
mom;52;false;false
mom;53;false;false
mom;54;false;false
mom;55;false;false
mom;56;false;false
mom;57;false;false
mom;58;false;false
mom;59;false;false
mom;60;false;false
mom;61;false;false
mom;62;false;false
mom;63;false;false
mom;64;false;false
mom;65;false;false
mom;66;false;false
mom;67;false;false
mom;68;false;false
mom;69;false;false
mom;70;false;false
mom;71;false;false
mom;72;false;false
mom;73;false;false
mom;74;false;false
mom;75;false;false
mom;76;false;false
mom;77;false;false
mom;78;false;false
mom;79;false;false
mom;80;false;false
mom;81;false;false
mom;82;false;false
mom;83;false;false
mom;84;false;false
mom;85;false;false
mom;86;false;false
mom;87;false;false
mom;88;false;false
mom;89;false;false
mom;90;false;false
mom;91;false;false
mom;92;false;false
mom;93;false;false
mom;94;false;false
mom;95;false;false
mom;96;false;false
mom;97;false;false
mom;98;false;false
mom;99;false;false
mom;100;false;false
mom;101;false;false
mom;102;false;false
mom;103;false;false
mom;104;false;false
mom;105;false;false
mom;106;false;false
mom;107;false;false
mom;108;false;false
mom;109;false;false
mom;110;false;false
mom;111;false;false
mom;112;false;false
mom;113;false;false
mom;114;false;false
mom;115;false;false
mom;116;false;false
mom;117;false;false
mom;118;false;false
mom;119;false;false
mom;120;false;false
mom;121;false;false
mom;122;false;false
mom;123;false;false
mom;124;false;false
mom;125;false;false
mom;126;false;false
mom;127;false;false
mom;128;false;false
mom;129;false;false
mom;130;false;false
mom;131;false;false
mom;132;false;false
mom;133;false;false
mom;134;false;false
mom;135;false;false
mom;136;false;false
mom;137;false;false
mom;138;false;false
mom;139;false;false
mom;140;false;false
mom;141;false;false
mom;142;false;false
mom;143;false;false
mom;144;false;false
mom;145;false;false
mom;146;false;false
mom;147;false;false
mom;148;false;false
mom;149;false;false
mom;150;false;false
mom;151;false;false
mom;152;false;false
mom;153;false;false
mom;154;false;false
mom;155;false;false
mom;156;false;false
mom;157;false;false
mom;158;false;false
mom;159;false;false
mom;160;false;false
mom;161;false;false
mom;162;false;false
mom;163;false;false
mom;164;false;false
mom;165;false;false
mom;166;false;false
mom;167;false;false
mom;168;false;false
mom;169;false;false
mom;170;false;false
mom;171;false;false
mom;172;false;false
mom;173;false;false
mom;174;false;false
mom;175;false;false
mom;176;false;false
mom;177;false;false
mom;178;false;false
mom;179;false;false
mom;180;false;false
mom;181;false;false
mom;182;false;false
mom;183;false;false
mom;184;false;false
mom;185;false;false
mom;186;false;false
mom;187;false;false
mom;188;false;false
mom;189;false;false
mom;190;false;false
mom;191;false;false
mom;192;false;false
mom;193;false;false
mom;194;false;false
mom;195;false;false
mom;196;false;false
mom;197;false;false
mom;198;false;false
mom;199;false;false
mom;200;false;false
mom;201;false;false
mom;202;false;false
mom;203;false;false
mom;204;false;false
mom;205;false;false
mom;206;false;false
mom;207;false;false
mom;208;false;false
mom;209;false;false
mom;210;false;false
mom;211;false;false
mom;212;false;false
mom;213;false;false
mom;214;false;false
mom;215;false;false
mom;216;false;false
mom;217;false;false
mom;218;false;false
mom;219;false;false
mom;220;false;false
mom;221;false;false
mom;222;false;false
mom;223;false;false
mom;224;false;false
mom;225;false;false
mom;226;false;false
mom;227;false;false
mom;228;false;false
mom;229;false;false
mom;230;false;false
mom;231;false;false
mom;232;false;false
mom;233;false;false
mom;234;false;false
mom;235;false;false
mom;236;false;false
mom;237;false;false
mom;238;false;false
mom;239;false;false
mom;240;false;false
mom;241;false;false
mom;242;false;false
mom;243;false;false
mom;244;false;false
mom;245;false;false
mom;246;false;false
mom;247;false;false
mom;248;false;false
mom;249;false;false
mom;250;false;false
mom;251;false;false
mom;252;false;false
mom;253;false;false
mom;254;false;false
mom;255;false;false
mom;256;false;false
mom;257;false;false
mom;258;false;false
mom;259;false;false
mom;260;false;false
mom;261;false;false
mom;262;false;false
mom;263;false;false
mom;264;false;false
mom;265;false;false
mom;266;false;false
mom;267;false;false
mom;268;false;false
mom;269;false;false
mom;270;false;false
mom;271;false;false
mom;272;false;false
mom;273;false;false
mom;274;false;false
mom;275;false;false
mom;276;false;false
mom;277;false;false
mom;278;false;false
mom;279;false;false
mom;280;false;false
mom;281;false;false
mom;282;false;false
mom;283;false;false
mom;284;false;false
mom;285;false;false
mom;286;false;false
mom;287;false;false
mom;288;false;false
mom;289;false;false
mom;290;false;false
mom;291;false;false
mom;292;false;false
mom;293;false;false
mom;294;false;false
mom;295;false;false
mom;296;false;false
mom;297;false;false
mom;298;false;false
mom;299;false;false
mom;300;false;false
mom;301;false;false
mom;302;false;false
mom;303;false;false
mom;304;false;false
mom;305;false;false
mom;306;false;false
mom;307;false;false
mom;308;false;false
mom;309;false;false
mom;310;false;false
mom;311;false;false
mom;312;false;false
mom;313;false;false
mom;314;false;false
mom;315;false;false
mom;316;false;false
mom;317;false;false
mom;318;false;false
mom;319;false;false
