set;number;no_foil;foil
mp2;1;false;false
mp2;2;false;false
mp2;3;false;false
mp2;4;false;false
mp2;5;false;false
mp2;6;false;false
mp2;7;false;false
mp2;8;false;false
mp2;9;false;false
mp2;10;false;false
mp2;11;false;false
mp2;12;false;false
mp2;13;false;false
mp2;14;false;false
mp2;15;false;false
mp2;16;false;false
mp2;17;false;false
mp2;18;false;false
mp2;19;false;false
mp2;20;false;false
mp2;21;false;false
mp2;22;false;false
mp2;23;false;false
mp2;24;false;false
mp2;25;false;false
mp2;26;false;false
mp2;27;false;false
mp2;28;false;false
mp2;29;false;false
mp2;30;false;false
mp2;31;false;false
mp2;32;false;false
mp2;33;false;false
mp2;34;false;false
mp2;35;false;false
mp2;36;false;false
mp2;37;false;false
mp2;38;false;false
mp2;39;false;false
mp2;40;false;false
mp2;41;false;false
mp2;42;false;false
mp2;43;false;false
mp2;44;false;false
mp2;45;false;false
mp2;46;false;false
mp2;47;false;false
mp2;48;false;false
mp2;49;false;false
mp2;50;false;false
mp2;51;false;false
mp2;52;false;false
mp2;53;false;false
mp2;54;false;false
