set;number;no_foil;foil
ncc;1;false;false
ncc;2;false;false
ncc;3;false;false
ncc;4;false;false
ncc;5;false;false
ncc;6;false;false
ncc;7;false;false
ncc;8;false;false
ncc;9;false;false
ncc;10;false;false
ncc;11;false;false
ncc;12;false;false
ncc;13;false;false
ncc;14;false;false
ncc;15;false;false
ncc;16;false;false
ncc;17;false;false
ncc;18;false;false
ncc;19;false;false
ncc;20;false;false
ncc;21;false;false
ncc;22;false;false
ncc;23;false;false
ncc;24;false;false
ncc;25;false;false
ncc;26;false;false
ncc;27;false;false
ncc;28;false;false
ncc;29;false;false
ncc;30;false;false
ncc;31;false;false
ncc;32;false;false
ncc;33;false;false
ncc;34;false;false
ncc;35;false;false
ncc;36;false;false
ncc;37;false;false
ncc;38;false;false
ncc;39;false;false
ncc;40;false;false
ncc;41;false;false
ncc;42;false;false
ncc;43;false;false
ncc;44;false;false
ncc;45;false;false
ncc;46;false;false
ncc;47;false;false
ncc;48;false;false
ncc;49;false;false
ncc;50;false;false
ncc;51;false;false
ncc;52;false;false
ncc;53;false;false
ncc;54;false;false
ncc;55;false;false
ncc;56;false;false
ncc;57;false;false
ncc;58;false;false
ncc;59;false;false
ncc;60;false;false
ncc;61;false;false
ncc;62;false;false
ncc;63;false;false
ncc;64;false;false
ncc;65;false;false
ncc;66;false;false
ncc;67;false;false
ncc;68;false;false
ncc;69;false;false
ncc;70;false;false
ncc;71;false;false
ncc;72;false;false
ncc;73;false;false
ncc;74;false;false
ncc;75;false;false
ncc;76;false;false
ncc;77;false;false
ncc;78;false;false
ncc;79;false;false
ncc;80;false;false
ncc;81;false;false
ncc;82;false;false
ncc;83;false;false
ncc;84;false;false
ncc;85;false;false
ncc;86;false;false
ncc;87;false;false
ncc;88;false;false
ncc;89;false;false
ncc;90;false;false
ncc;91;false;false
ncc;92;false;false
ncc;93;false;false
ncc;94;false;false
ncc;95;false;false
ncc;96;false;false
ncc;97;false;false
ncc;98;false;false
ncc;99;false;false
ncc;100;false;false
ncc;101;false;false
ncc;102;false;false
ncc;103;false;false
ncc;104;false;false
ncc;105;false;false
ncc;106;false;false
ncc;107;false;false
ncc;108;false;false
ncc;109;false;false
ncc;110;false;false
ncc;111;false;false
ncc;112;false;false
ncc;113;false;false
ncc;114;false;false
ncc;115;false;false
ncc;116;false;false
ncc;117;false;false
ncc;118;false;false
ncc;119;false;false
ncc;120;false;false
ncc;121;false;false
ncc;122;false;false
ncc;123;false;false
ncc;124;false;false
ncc;125;false;false
ncc;126;false;false
ncc;127;false;false
ncc;128;false;false
ncc;129;false;false
ncc;130;false;false
ncc;131;false;false
ncc;132;false;false
ncc;133;false;false
ncc;134;false;false
ncc;135;false;false
ncc;136;false;false
ncc;137;false;false
ncc;138;false;false
ncc;139;false;false
ncc;140;false;false
ncc;141;false;false
ncc;142;false;false
ncc;143;false;false
ncc;144;false;false
ncc;145;false;false
ncc;146;false;false
ncc;147;false;false
ncc;148;false;false
ncc;149;false;false
ncc;150;false;false
ncc;151;false;false
ncc;152;false;false
ncc;153;false;false
ncc;154;false;false
ncc;155;false;false
ncc;156;false;false
ncc;157;false;false
ncc;158;false;false
ncc;159;false;false
ncc;160;false;false
ncc;161;false;false
ncc;162;false;false
ncc;163;false;false
ncc;164;false;false
ncc;165;false;false
ncc;166;false;false
ncc;167;false;false
ncc;168;false;false
ncc;169;false;false
ncc;170;false;false
ncc;171;false;false
ncc;172;false;false
ncc;173;false;false
ncc;174;false;false
ncc;175;false;false
ncc;176;false;false
ncc;177;false;false
ncc;178;false;false
ncc;179;false;false
ncc;180;false;false
ncc;181;false;false
ncc;182;false;false
ncc;183;false;false
ncc;184;false;false
ncc;185;false;false
ncc;186;false;false
ncc;187;false;false
ncc;188;false;false
ncc;189;false;false
ncc;190;false;false
ncc;191;false;false
ncc;192;false;false
ncc;193;false;false
ncc;194;false;false
ncc;195;false;false
ncc;196;false;false
ncc;197;false;false
ncc;198;false;false
ncc;199;false;false
ncc;200;false;false
ncc;201;false;false
ncc;202;false;false
ncc;203;false;false
ncc;204;false;false
ncc;205;false;false
ncc;206;false;false
ncc;207;false;false
ncc;208;false;false
ncc;209;false;false
ncc;210;false;false
ncc;211;false;false
ncc;212;false;false
ncc;213;false;false
ncc;214;false;false
ncc;215;false;false
ncc;216;false;false
ncc;217;false;false
ncc;218;false;false
ncc;219;false;false
ncc;220;false;false
ncc;221;false;false
ncc;222;false;false
ncc;223;false;false
