set;number;no_foil;foil
nec;1;false;false
nec;2;false;false
nec;3;false;false
nec;4;false;false
nec;5;false;false
nec;6;false;false
nec;7;false;false
nec;8;false;false
nec;9;false;false
nec;10;false;false
nec;11;false;false
nec;12;false;false
nec;13;false;false
nec;14;false;false
nec;15;false;false
nec;16;false;false
nec;17;false;false
nec;18;false;false
nec;19;false;false
nec;20;false;false
nec;21;false;false
nec;22;false;false
nec;23;false;false
nec;24;false;false
nec;25;false;false
nec;26;false;false
nec;27;false;false
nec;28;false;false
nec;29;false;false
nec;30;false;false
nec;31;false;false
nec;32;false;false
nec;33;false;false
nec;34;false;false
nec;35;false;false
nec;36;false;false
nec;37;false;false
nec;38;false;false
nec;39;false;false
nec;40;false;false
nec;41;false;false
nec;42;false;false
nec;43;false;false
nec;44;false;false
nec;45;false;false
nec;46;false;false
nec;47;false;false
nec;48;false;false
nec;49;false;false
nec;50;false;false
nec;51;false;false
nec;52;false;false
nec;53;false;false
nec;54;false;false
nec;55;false;false
nec;56;false;false
nec;57;false;false
nec;58;false;false
nec;59;false;false
nec;60;false;false
nec;61;false;false
nec;62;false;false
nec;63;false;false
nec;64;false;false
nec;65;false;false
nec;66;false;false
nec;67;false;false
nec;68;false;false
nec;69;false;false
nec;70;false;false
nec;71;false;false
nec;72;false;false
nec;73;false;false
nec;74;false;false
nec;75;false;false
nec;76;false;false
nec;77;false;false
nec;78;false;false
nec;79;false;false
nec;80;false;false
nec;81;false;false
nec;82;false;false
nec;83;false;false
nec;84;false;false
nec;85;false;false
nec;86;false;false
nec;87;false;false
nec;88;false;false
nec;89;false;false
nec;90;false;false
nec;91;false;false
nec;92;false;false
nec;93;false;false
nec;94;false;false
nec;95;false;false
nec;96;false;false
nec;97;false;false
nec;98;false;false
nec;99;false;false
nec;100;false;false
nec;101;false;false
nec;102;false;false
nec;103;false;false
nec;104;false;false
nec;105;false;false
nec;106;false;false
nec;107;false;false
nec;108;false;false
nec;109;false;false
nec;110;false;false
nec;111;false;false
nec;112;false;false
nec;113;false;false
nec;114;false;false
nec;115;false;false
nec;116;false;false
nec;117;false;false
nec;118;false;false
nec;119;false;false
nec;120;false;false
nec;121;false;false
nec;123;false;false
nec;124;false;false
nec;125;false;false
nec;126;false;false
nec;127;false;false
nec;128;false;false
nec;129;false;false
nec;130;false;false
nec;131;false;false
nec;132;false;false
nec;133;false;false
nec;134;false;false
nec;135;false;false
nec;136;false;false
nec;137;false;false
nec;138;false;false
nec;139;false;false
nec;140;false;false
nec;141;false;false
nec;142;false;false
nec;143;false;false
nec;144;false;false
nec;145;false;false
nec;146;false;false
nec;147;false;false
nec;148;false;false
nec;149;false;false
nec;150;false;false
nec;151;false;false
nec;152;false;false
nec;153;false;false
nec;154;false;false
nec;155;false;false
nec;156;false;false
nec;157;false;false
nec;158;false;false
nec;159;false;false
nec;160;false;false
nec;161;false;false
nec;162;false;false
nec;163;false;false
nec;164;false;false
nec;165;false;false
nec;166;false;false
nec;167;false;false
nec;168;false;false
nec;169;false;false
nec;170;false;false
nec;171;false;false
nec;172;false;false
nec;173;false;false
nec;174;false;false
nec;175;false;false
nec;176;false;false
nec;177;false;false
nec;178;false;false
nec;179;false;false
nec;180;false;false
