set;number;no_foil;foil
nem;1;false;false
nem;2;false;false
nem;3;false;false
nem;4;false;false
nem;5;false;false
nem;6;false;false
nem;7;false;false
nem;8;false;false
nem;9;false;false
nem;10;false;false
nem;11;false;false
nem;12;false;false
nem;13;false;false
nem;14;false;false
nem;15;false;false
nem;16;false;false
nem;17;false;false
nem;18;false;false
nem;19;false;false
nem;20;false;false
nem;21;false;false
nem;22;false;false
nem;23;false;false
nem;24;false;false
nem;25;false;false
nem;26;false;false
nem;27;false;false
nem;28;false;false
nem;29;false;false
nem;30;false;false
nem;31;false;false
nem;32;false;false
nem;33;false;false
nem;34;false;false
nem;35;false;false
nem;36;false;false
nem;37;false;false
nem;38;false;false
nem;39;false;false
nem;40;false;false
nem;41;false;false
nem;42;false;false
nem;43;false;false
nem;44;false;false
nem;45;false;false
nem;46;false;false
nem;47;false;false
nem;48;false;false
nem;49;false;false
nem;50;false;false
nem;51;false;false
nem;52;false;false
nem;53;false;false
nem;54;false;false
nem;55;false;false
nem;56;false;false
nem;57;false;false
nem;58;false;false
nem;59;false;false
nem;60;false;false
nem;61;false;false
nem;62;false;false
nem;63;false;false
nem;64;false;false
nem;65;false;false
nem;66;false;false
nem;67;false;false
nem;68;false;false
nem;69;false;false
nem;70;false;false
nem;71;false;false
nem;72;false;false
nem;73;false;false
nem;74;false;false
nem;75;false;false
nem;76;false;false
nem;77;false;false
nem;78;false;false
nem;79;false;false
nem;80;false;false
nem;81;false;false
nem;82;false;false
nem;83;false;false
nem;84;false;false
nem;85;false;false
nem;86;false;false
nem;87;false;false
nem;88;false;false
nem;89;false;false
nem;90;false;false
nem;91;false;false
nem;92;false;false
nem;93;false;false
nem;94;false;false
nem;95;false;false
nem;96;false;false
nem;97;false;false
nem;98;false;false
nem;99;false;false
nem;100;false;false
nem;101;false;false
nem;102;false;false
nem;103;false;false
nem;104;false;false
nem;105;false;false
nem;106;false;false
nem;107;false;false
nem;108;false;false
nem;109;false;false
nem;110;false;false
nem;111;false;false
nem;112;false;false
nem;113;false;false
nem;114;false;false
nem;115;false;false
nem;116;false;false
nem;117;false;false
nem;118;false;false
nem;119;false;false
nem;120;false;false
nem;121;false;false
nem;122;false;false
nem;123;false;false
nem;124;false;false
nem;125;false;false
nem;126;false;false
nem;127;false;false
nem;128;false;false
nem;129;false;false
nem;130;false;false
nem;131;false;false
nem;132;false;false
nem;133;false;false
nem;134;false;false
nem;135;false;false
nem;136;false;false
nem;137;false;false
nem;138;false;false
nem;139;false;false
nem;140;false;false
nem;141;false;false
nem;142;false;false
nem;143;false;false
