set;number;no_foil;foil
neo;1;false;false
neo;A-1;false;false
neo;2;false;false
neo;3;false;false
neo;4;false;false
neo;5;false;false
neo;6;false;false
neo;7;false;false
neo;8;false;false
neo;9;false;false
neo;10;false;false
neo;A-10;false;false
neo;11;false;false
neo;12;false;false
neo;13;false;false
neo;14;false;false
neo;15;false;false
neo;16;false;false
neo;17;false;false
neo;18;false;false
neo;19;false;false
neo;A-19;false;false
neo;20;false;false
neo;21;false;false
neo;22;false;false
neo;23;false;false
neo;24;false;false
neo;25;false;false
neo;26;false;false
neo;27;false;false
neo;28;false;false
neo;29;false;false
neo;30;false;false
neo;31;false;false
neo;32;false;false
neo;33;false;false
neo;34;false;false
neo;35;false;false
neo;36;false;false
neo;37;false;false
neo;38;false;false
neo;39;false;false
neo;40;false;false
neo;41;false;false
neo;42;false;false
neo;43;false;false
neo;44;false;false
neo;45;false;false
neo;46;false;false
neo;47;false;false
neo;48;false;false
neo;49;false;false
neo;50;false;false
neo;51;false;false
neo;52;false;false
neo;53;false;false
neo;A-53;false;false
neo;54;false;false
neo;55;false;false
neo;56;false;false
neo;57;false;false
neo;58;false;false
neo;59;false;false
neo;60;false;false
neo;61;false;false
neo;62;false;false
neo;63;false;false
neo;64;false;false
neo;65;false;false
neo;66;false;false
neo;67;false;false
neo;A-67;false;false
neo;68;false;false
neo;69;false;false
neo;70;false;false
neo;71;false;false
neo;72;false;false
neo;73;false;false
neo;A-73;false;false
neo;74;false;false
neo;75;false;false
neo;76;false;false
neo;77;false;false
neo;78;false;false
neo;79;false;false
neo;80;false;false
neo;81;false;false
neo;82;false;false
neo;83;false;false
neo;84;false;false
neo;85;false;false
neo;86;false;false
neo;A-86;false;false
neo;87;false;false
neo;88;false;false
neo;89;false;false
neo;90;false;false
neo;91;false;false
neo;92;false;false
neo;93;false;false
neo;94;false;false
neo;95;false;false
neo;A-95;false;false
neo;96;false;false
neo;97;false;false
neo;98;false;false
neo;99;false;false
neo;100;false;false
neo;101;false;false
neo;102;false;false
neo;103;false;false
neo;104;false;false
neo;105;false;false
neo;106;false;false
neo;107;false;false
neo;108;false;false
neo;109;false;false
neo;110;false;false
neo;111;false;false
neo;112;false;false
neo;113;false;false
neo;114;false;false
neo;A-114;false;false
neo;115;false;false
neo;116;false;false
neo;A-116;false;false
neo;117;false;false
neo;118;false;false
neo;119;false;false
neo;120;false;false
neo;121;false;false
neo;122;false;false
neo;123;false;false
neo;124;false;false
neo;125;false;false
neo;126;false;false
neo;127;false;false
neo;128;false;false
neo;129;false;false
neo;130;false;false
neo;131;false;false
neo;A-131;false;false
neo;132;false;false
neo;133;false;false
neo;134;false;false
neo;135;false;false
neo;136;false;false
neo;137;false;false
neo;138;false;false
neo;139;false;false
neo;140;false;false
neo;141;false;false
neo;142;false;false
neo;143;false;false
neo;144;false;false
neo;145;false;false
neo;146;false;false
neo;147;false;false
neo;148;false;false
neo;149;false;false
neo;150;false;false
neo;151;false;false
neo;152;false;false
neo;153;false;false
neo;154;false;false
neo;155;false;false
neo;156;false;false
neo;A-156;false;false
neo;157;false;false
neo;158;false;false
neo;159;false;false
neo;160;false;false
neo;161;false;false
neo;162;false;false
neo;163;false;false
neo;164;false;false
neo;165;false;false
neo;166;false;false
neo;167;false;false
neo;168;false;false
neo;169;false;false
neo;170;false;false
neo;171;false;false
neo;172;false;false
neo;173;false;false
neo;174;false;false
neo;175;false;false
neo;176;false;false
neo;177;false;false
neo;178;false;false
neo;179;false;false
neo;180;false;false
neo;181;false;false
neo;182;false;false
neo;183;false;false
neo;184;false;false
neo;185;false;false
neo;186;false;false
neo;187;false;false
neo;188;false;false
neo;189;false;false
neo;190;false;false
neo;191;false;false
neo;192;false;false
neo;193;false;false
neo;194;false;false
neo;195;false;false
neo;196;false;false
neo;197;false;false
neo;198;false;false
neo;199;false;false
neo;200;false;false
neo;201;false;false
neo;202;false;false
neo;203;false;false
neo;204;false;false
neo;205;false;false
neo;206;false;false
neo;207;false;false
neo;208;false;false
neo;209;false;false
neo;210;false;false
neo;211;false;false
neo;212;false;false
neo;213;false;false
neo;214;false;false
neo;215;false;false
neo;A-215;false;false
neo;216;false;false
neo;217;false;false
neo;218;false;false
neo;219;false;false
neo;220;false;false
neo;221;false;false
neo;222;false;false
neo;223;false;false
neo;224;false;false
neo;225;false;false
neo;226;false;false
neo;227;false;false
neo;228;false;false
neo;229;false;false
neo;230;false;false
neo;231;false;false
neo;232;false;false
neo;A-232;false;false
neo;233;false;false
neo;234;false;false
neo;A-234;false;false
neo;235;false;false
neo;236;false;false
neo;A-236;false;false
neo;237;false;false
neo;238;false;false
neo;239;false;false
neo;240;false;false
neo;241;false;false
neo;242;false;false
neo;A-242;false;false
neo;243;false;false
neo;244;false;false
neo;245;false;false
neo;246;false;false
neo;247;false;false
neo;248;false;false
neo;249;false;false
neo;250;false;false
neo;251;false;false
neo;252;false;false
neo;253;false;false
neo;254;false;false
neo;255;false;false
neo;256;false;false
neo;257;false;false
neo;258;false;false
neo;259;false;false
neo;260;false;false
neo;261;false;false
neo;262;false;false
neo;263;false;false
neo;264;false;false
neo;265;false;false
neo;266;false;false
neo;267;false;false
neo;268;false;false
neo;269;false;false
neo;270;false;false
neo;271;false;false
neo;272;false;false
neo;273;false;false
neo;274;false;false
neo;275;false;false
neo;276;false;false
neo;277;false;false
neo;278;false;false
neo;279;false;false
neo;280;false;false
neo;281;false;false
neo;282;false;false
neo;283;false;false
neo;284;false;false
neo;285;false;false
neo;286;false;false
neo;287;false;false
neo;288;false;false
neo;289;false;false
neo;290;false;false
neo;291;false;false
neo;292;false;false
neo;293;false;false
neo;294;false;false
neo;295;false;false
neo;296;false;false
neo;297;false;false
neo;298;false;false
neo;299;false;false
neo;300;false;false
neo;301;false;false
neo;302;false;false
neo;303;false;false
neo;304;false;false
neo;305;false;false
neo;306;false;false
neo;307;false;false
neo;308;false;false
neo;309;false;false
neo;310;false;false
neo;311;false;false
