set;number;no_foil;foil
oarc;10★;false;false
oarc;11★;false;false
oarc;12★;false;false
oarc;13★;false;false
oarc;14★;false;false
oarc;15★;false;false
oarc;16★;false;false
oarc;17★;false;false
oarc;18★;false;false
oarc;19★;false;false
oarc;1★;false;false
oarc;20★;false;false
oarc;21★;false;false
oarc;22★;false;false
oarc;23★;false;false
oarc;24★;false;false
oarc;25★;false;false
oarc;26★;false;false
oarc;27★;false;false
oarc;28★;false;false
oarc;29★;false;false
oarc;2★;false;false
oarc;30★;false;false
oarc;31★;false;false
oarc;32★;false;false
oarc;33★;false;false
oarc;34★;false;false
oarc;35★;false;false
oarc;36★;false;false
oarc;37★;false;false
oarc;38★;false;false
oarc;39★;false;false
oarc;3★;false;false
oarc;40★;false;false
oarc;41★;false;false
oarc;42★;false;false
oarc;43★;false;false
oarc;44★;false;false
oarc;45★;false;false
oarc;4★;false;false
oarc;5★;false;false
oarc;6★;false;false
oarc;7★;false;false
oarc;8★;false;false
oarc;9★;false;false
