set;number;no_foil;foil
ody;1;false;false
ody;2;false;false
ody;3;false;false
ody;4;false;false
ody;5;false;false
ody;6;false;false
ody;7;false;false
ody;8;false;false
ody;9;false;false
ody;10;false;false
ody;11;false;false
ody;12;false;false
ody;13;false;false
ody;14;false;false
ody;15;false;false
ody;16;false;false
ody;17;false;false
ody;18;false;false
ody;19;false;false
ody;20;false;false
ody;21;false;false
ody;22;false;false
ody;23;false;false
ody;24;false;false
ody;25;false;false
ody;26;false;false
ody;27;false;false
ody;28;false;false
ody;29;false;false
ody;30;false;false
ody;31;false;false
ody;32;false;false
ody;33;false;false
ody;34;false;false
ody;35;false;false
ody;36;false;false
ody;37;false;false
ody;38;false;false
ody;39;false;false
ody;40;false;false
ody;41;false;false
ody;42;false;false
ody;43;false;false
ody;44;false;false
ody;45;false;false
ody;46;false;false
ody;47;false;false
ody;48;false;false
ody;49;false;false
ody;50;false;false
ody;51;false;false
ody;52;false;false
ody;53;false;false
ody;54;false;false
ody;55;false;false
ody;56;false;false
ody;57;false;false
ody;58;false;false
ody;59;false;false
ody;60;false;false
ody;61;false;false
ody;62;false;false
ody;63;false;false
ody;64;false;false
ody;65;false;false
ody;66;false;false
ody;67;false;false
ody;68;false;false
ody;69;false;false
ody;70;false;false
ody;71;false;false
ody;72;false;false
ody;73;false;false
ody;74;false;false
ody;75;false;false
ody;76;false;false
ody;77;false;false
ody;78;false;false
ody;79;false;false
ody;80;false;false
ody;81;false;false
ody;82;false;false
ody;83;false;false
ody;84;false;false
ody;85;false;false
ody;86;false;false
ody;87;false;false
ody;88;false;false
ody;89;false;false
ody;90;false;false
ody;91;false;false
ody;92;false;false
ody;93;false;false
ody;94;false;false
ody;95;false;false
ody;96;false;false
ody;97;false;false
ody;98;false;false
ody;99;false;false
ody;100;false;false
ody;101;false;false
ody;102;false;false
ody;103;false;false
ody;104;false;false
ody;105;false;false
ody;106;false;false
ody;107;false;false
ody;108;false;false
ody;109;false;false
ody;110;false;false
ody;111;false;false
ody;112;false;false
ody;113;false;false
ody;114;false;false
ody;115;false;false
ody;116;false;false
ody;117;false;false
ody;118;false;false
ody;119;false;false
ody;120;false;false
ody;121;false;false
ody;122;false;false
ody;123;false;false
ody;124;false;false
ody;125;false;false
ody;126;false;false
ody;127;false;false
ody;128;false;false
ody;129;false;false
ody;130;false;false
ody;131;false;false
ody;132;false;false
ody;133;false;false
ody;134;false;false
ody;135;false;false
ody;136;false;false
ody;137;false;false
ody;138;false;false
ody;139;false;false
ody;140;false;false
ody;141;false;false
ody;142;false;false
ody;143;false;false
ody;144;false;false
ody;145;false;false
ody;146;false;false
ody;147;false;false
ody;148;false;false
ody;149;false;false
ody;150;false;false
ody;151;false;false
ody;152;false;false
ody;153;false;false
ody;154;false;false
ody;155;false;false
ody;156;false;false
ody;157;false;false
ody;158;false;false
ody;159;false;false
ody;160;false;false
ody;161;false;false
ody;162;false;false
ody;163;false;false
ody;164;false;false
ody;165;false;false
ody;166;false;false
ody;167;false;false
ody;168;false;false
ody;169;false;false
ody;170;false;false
ody;171;false;false
ody;172;false;false
ody;173;false;false
ody;174;false;false
ody;175;false;false
ody;176;false;false
ody;177;false;false
ody;178;false;false
ody;179;false;false
ody;180;false;false
ody;181;false;false
ody;182;false;false
ody;183;false;false
ody;184;false;false
ody;185;false;false
ody;186;false;false
ody;187;false;false
ody;188;false;false
ody;189;false;false
ody;190;false;false
ody;191;false;false
ody;192;false;false
ody;193;false;false
ody;194;false;false
ody;195;false;false
ody;196;false;false
ody;197;false;false
ody;198;false;false
ody;199;false;false
ody;200;false;false
ody;201;false;false
ody;202;false;false
ody;203;false;false
ody;204;false;false
ody;205;false;false
ody;206;false;false
ody;207;false;false
ody;208;false;false
ody;209;false;false
ody;210;false;false
ody;211;false;false
ody;212;false;false
ody;213;false;false
ody;214;false;false
ody;215;false;false
ody;216;false;false
ody;217;false;false
ody;218;false;false
ody;219;false;false
