set;number;no_foil;foil
opc2;1;false;false
opc2;2;false;false
opc2;3;false;false
opc2;4;false;false
opc2;5;false;false
opc2;6;false;false
opc2;7;false;false
opc2;8;false;false
opc2;9;false;false
opc2;10;false;false
opc2;11;false;false
opc2;12;false;false
opc2;13;false;false
opc2;14;false;false
opc2;15;false;false
opc2;16;false;false
opc2;17;false;false
opc2;18;false;false
opc2;19;false;false
opc2;20;false;false
opc2;21;false;false
opc2;22;false;false
opc2;23;false;false
opc2;24;false;false
opc2;25;false;false
opc2;26;false;false
opc2;27;false;false
opc2;28;false;false
opc2;29;false;false
opc2;30;false;false
opc2;31;false;false
opc2;32;false;false
opc2;33;false;false
opc2;34;false;false
opc2;35;false;false
opc2;36;false;false
opc2;37;false;false
opc2;38;false;false
opc2;39;false;false
opc2;40;false;false
