set;number;no_foil;foil
opca;1;false;false
opca;2;false;false
opca;3;false;false
opca;4;false;false
opca;5;false;false
opca;6;false;false
opca;7;false;false
opca;8;false;false
opca;9;false;false
opca;10;false;false
opca;11;false;false
opca;12;false;false
opca;13;false;false
opca;14;false;false
opca;15;false;false
opca;16;false;false
opca;17;false;false
opca;18;false;false
opca;19;false;false
opca;20;false;false
opca;21;false;false
opca;22;false;false
opca;23;false;false
opca;24;false;false
opca;25;false;false
opca;26;false;false
opca;27;false;false
opca;28;false;false
opca;29;false;false
opca;30;false;false
opca;31;false;false
opca;32;false;false
opca;33;false;false
opca;34;false;false
opca;35;false;false
opca;36;false;false
opca;37;false;false
opca;38;false;false
opca;39;false;false
opca;40;false;false
opca;41;false;false
opca;42;false;false
opca;43;false;false
opca;44;false;false
opca;45;false;false
opca;46;false;false
opca;47;false;false
opca;48;false;false
opca;49;false;false
opca;50;false;false
opca;51;false;false
opca;52;false;false
opca;53;false;false
opca;54;false;false
opca;55;false;false
opca;56;false;false
opca;57;false;false
opca;58;false;false
opca;59;false;false
opca;60;false;false
opca;61;false;false
opca;62;false;false
opca;63;false;false
opca;64;false;false
opca;65;false;false
opca;66;false;false
opca;67;false;false
opca;68;false;false
opca;69;false;false
opca;70;false;false
opca;71;false;false
opca;72;false;false
opca;73;false;false
opca;74;false;false
opca;75;false;false
opca;76;false;false
opca;77;false;false
opca;78;false;false
opca;79;false;false
opca;80;false;false
opca;81;false;false
opca;82;false;false
opca;83;false;false
opca;84;false;false
opca;85;false;false
opca;86;false;false
