set;number;no_foil;foil
otc;1;false;false
otc;2;false;false
otc;3;false;false
otc;4;false;false
otc;5;false;false
otc;6;false;false
otc;7;false;false
otc;8;false;false
otc;9;false;false
otc;10;false;false
otc;11;false;false
otc;12;false;false
otc;13;false;false
otc;14;false;false
otc;15;false;false
otc;16;false;false
otc;17;false;false
otc;18;false;false
otc;19;false;false
otc;20;false;false
otc;21;false;false
otc;22;false;false
otc;23;false;false
otc;24;false;false
otc;25;false;false
otc;26;false;false
otc;27;false;false
otc;28;false;false
otc;29;false;false
otc;30;false;false
otc;31;false;false
otc;32;false;false
otc;33;false;false
otc;34;false;false
otc;35;false;false
otc;36;false;false
otc;37;false;false
otc;38;false;false
otc;39;false;false
otc;40;false;false
otc;41;false;false
otc;42;false;false
otc;43;false;false
otc;44;false;false
otc;45;false;false
otc;46;false;false
otc;47;false;false
otc;48;false;false
otc;49;false;false
otc;50;false;false
otc;51;false;false
otc;52;false;false
otc;53;false;false
otc;54;false;false
otc;55;false;false
otc;56;false;false
otc;57;false;false
otc;58;false;false
otc;59;false;false
otc;60;false;false
otc;61;false;false
otc;62;false;false
otc;63;false;false
otc;64;false;false
otc;65;false;false
otc;66;false;false
otc;67;false;false
otc;68;false;false
otc;69;false;false
otc;70;false;false
otc;71;false;false
otc;72;false;false
otc;73;false;false
otc;74;false;false
otc;75;false;false
otc;76;false;false
otc;77;false;false
otc;78;false;false
otc;79;false;false
otc;80;false;false
otc;81;false;false
otc;82;false;false
otc;83;false;false
otc;84;false;false
otc;85;false;false
otc;86;false;false
otc;87;false;false
otc;88;false;false
otc;89;false;false
otc;90;false;false
otc;91;false;false
otc;92;false;false
otc;93;false;false
otc;94;false;false
otc;95;false;false
otc;96;false;false
otc;97;false;false
otc;98;false;false
otc;99;false;false
otc;100;false;false
otc;101;false;false
otc;102;false;false
otc;103;false;false
otc;104;false;false
otc;105;false;false
otc;106;false;false
otc;107;false;false
otc;108;false;false
otc;109;false;false
otc;110;false;false
otc;111;false;false
otc;112;false;false
otc;113;false;false
otc;114;false;false
otc;115;false;false
otc;116;false;false
otc;117;false;false
otc;118;false;false
otc;119;false;false
otc;120;false;false
otc;121;false;false
otc;122;false;false
otc;123;false;false
otc;124;false;false
otc;125;false;false
otc;126;false;false
otc;127;false;false
otc;128;false;false
otc;129;false;false
otc;130;false;false
otc;131;false;false
otc;132;false;false
otc;133;false;false
otc;134;false;false
otc;135;false;false
otc;136;false;false
otc;137;false;false
otc;138;false;false
otc;139;false;false
otc;140;false;false
otc;141;false;false
otc;142;false;false
otc;143;false;false
otc;144;false;false
otc;145;false;false
otc;146;false;false
otc;147;false;false
otc;148;false;false
otc;149;false;false
otc;150;false;false
otc;151;false;false
otc;152;false;false
otc;153;false;false
otc;154;false;false
otc;155;false;false
otc;156;false;false
otc;157;false;false
otc;158;false;false
otc;159;false;false
otc;160;false;false
otc;161;false;false
otc;162;false;false
otc;163;false;false
otc;164;false;false
otc;165;false;false
otc;166;false;false
otc;167;false;false
otc;168;false;false
otc;169;false;false
otc;170;false;false
otc;171;false;false
otc;172;false;false
otc;173;false;false
otc;174;false;false
otc;175;false;false
otc;176;false;false
otc;177;false;false
otc;178;false;false
otc;179;false;false
otc;180;false;false
otc;181;false;false
otc;182;false;false
otc;183;false;false
otc;184;false;false
otc;185;false;false
otc;186;false;false
otc;187;false;false
otc;188;false;false
otc;189;false;false
otc;190;false;false
otc;191;false;false
otc;192;false;false
otc;193;false;false
otc;194;false;false
otc;195;false;false
otc;196;false;false
otc;197;false;false
otc;198;false;false
otc;199;false;false
otc;200;false;false
otc;201;false;false
otc;202;false;false
otc;203;false;false
otc;204;false;false
otc;205;false;false
otc;206;false;false
otc;207;false;false
otc;208;false;false
otc;209;false;false
otc;210;false;false
otc;211;false;false
otc;212;false;false
otc;213;false;false
otc;214;false;false
otc;215;false;false
otc;216;false;false
