set;number;no_foil;foil
otp;1;false;false
otp;2;false;false
otp;3;false;false
otp;4;false;false
otp;5;false;false
otp;6;false;false
otp;7;false;false
otp;8;false;false
otp;9;false;false
otp;10;false;false
otp;11;false;false
otp;12;false;false
otp;13;false;false
otp;14;false;false
otp;15;false;false
otp;16;false;false
otp;17;false;false
otp;18;false;false
otp;19;false;false
otp;20;false;false
otp;21;false;false
otp;22;false;false
otp;23;false;false
otp;24;false;false
otp;25;false;false
otp;26;false;false
otp;27;false;false
otp;28;false;false
otp;29;false;false
otp;30;false;false
otp;31;false;false
otp;32;false;false
otp;33;false;false
otp;34;false;false
otp;35;false;false
otp;36;false;false
otp;37;false;false
otp;38;false;false
otp;39;false;false
otp;40;false;false
otp;41;false;false
otp;42;false;false
otp;43;false;false
otp;44;false;false
otp;45;false;false
otp;46;false;false
otp;47;false;false
otp;48;false;false
otp;49;false;false
otp;50;false;false
otp;51;false;false
otp;52;false;false
otp;53;false;false
otp;54;false;false
otp;55;false;false
otp;56;false;false
otp;57;false;false
otp;58;false;false
otp;59;false;false
otp;60;false;false
otp;61;false;false
otp;62;false;false
otp;63;false;false
otp;64;false;false
otp;65;false;false
otp;66;false;false
otp;67;false;false
otp;68;false;false
otp;69;false;false
otp;70;false;false
otp;71;false;false
otp;72;false;false
otp;73;false;false
otp;74;false;false
otp;75;false;false
otp;76;false;false
otp;77;false;false
otp;78;false;false
otp;79;false;false
otp;80;false;false
