set;number;no_foil;foil
p02;1;false;false
p02;2;false;false
p02;3;false;false
p02;4;false;false
p02;5;false;false
p02;6;false;false
p02;7;false;false
p02;8;false;false
p02;9;false;false
p02;10;false;false
p02;11;false;false
p02;12;false;false
p02;13;false;false
p02;14;false;false
p02;15;false;false
p02;16;false;false
p02;17;false;false
p02;18;false;false
p02;19;false;false
p02;20;false;false
p02;21;false;false
p02;22;false;false
p02;23;false;false
p02;24;false;false
p02;25;false;false
p02;26;false;false
p02;27;false;false
p02;28;false;false
p02;29;false;false
p02;30;false;false
p02;31;false;false
p02;32;false;false
p02;33;false;false
p02;34;false;false
p02;35;false;false
p02;36;false;false
p02;37;false;false
p02;38;false;false
p02;39;false;false
p02;40;false;false
p02;41;false;false
p02;42;false;false
p02;43;false;false
p02;44;false;false
p02;45;false;false
p02;46;false;false
p02;47;false;false
p02;48;false;false
p02;49;false;false
p02;50;false;false
p02;51;false;false
p02;52;false;false
p02;53;false;false
p02;54;false;false
p02;55;false;false
p02;56;false;false
p02;57;false;false
p02;58;false;false
p02;59;false;false
p02;60;false;false
p02;61;false;false
p02;62;false;false
p02;63;false;false
p02;64;false;false
p02;65;false;false
p02;66;false;false
p02;67;false;false
p02;68;false;false
p02;69;false;false
p02;70;false;false
p02;71;false;false
p02;72;false;false
p02;73;false;false
p02;74;false;false
p02;75;false;false
p02;76;false;false
p02;77;false;false
p02;78;false;false
p02;79;false;false
p02;80;false;false
p02;81;false;false
p02;82;false;false
p02;83;false;false
p02;84;false;false
p02;85;false;false
p02;86;false;false
p02;87;false;false
p02;88;false;false
p02;89;false;false
p02;90;false;false
p02;91;false;false
p02;92;false;false
p02;93;false;false
p02;94;false;false
p02;95;false;false
p02;96;false;false
p02;97;false;false
p02;98;false;false
p02;99;false;false
p02;100;false;false
p02;101;false;false
p02;102;false;false
p02;103;false;false
p02;104;false;false
p02;105;false;false
p02;106;false;false
p02;107;false;false
p02;108;false;false
p02;109;false;false
p02;110;false;false
p02;111;false;false
p02;112;false;false
p02;113;false;false
p02;114;false;false
p02;115;false;false
p02;116;false;false
p02;117;false;false
p02;118;false;false
p02;119;false;false
p02;120;false;false
p02;121;false;false
p02;122;false;false
p02;123;false;false
p02;124;false;false
p02;125;false;false
p02;126;false;false
p02;127;false;false
p02;128;false;false
p02;129;false;false
p02;130;false;false
p02;131;false;false
p02;132;false;false
p02;133;false;false
p02;134;false;false
p02;135;false;false
p02;136;false;false
p02;137;false;false
p02;138;false;false
p02;139;false;false
p02;140;false;false
p02;141;false;false
p02;142;false;false
p02;143;false;false
p02;144;false;false
p02;145;false;false
p02;146;false;false
p02;147;false;false
p02;148;false;false
p02;149;false;false
p02;150;false;false
p02;151;false;false
p02;152;false;false
p02;153;false;false
p02;154;false;false
p02;155;false;false
p02;156;false;false
p02;157;false;false
p02;158;false;false
p02;159;false;false
p02;160;false;false
p02;161;false;false
p02;162;false;false
p02;163;false;false
p02;164;false;false
p02;165;false;false
