set;number;no_foil;foil
p30a;1;false;false
p30a;2;false;false
p30a;3;false;false
p30a;4;false;false
p30a;5;false;false
p30a;6;false;false
p30a;7;false;false
p30a;8;false;false
p30a;9;false;false
p30a;10;false;false
p30a;11;false;false
p30a;12;false;false
p30a;13;false;false
p30a;14;false;false
p30a;15;false;false
p30a;16;false;false
p30a;17;false;false
p30a;18;false;false
p30a;19;false;false
p30a;20;false;false
p30a;21;false;false
p30a;22;false;false
p30a;23;false;false
p30a;24;false;false
p30a;25;false;false
p30a;26;false;false
p30a;27;false;false
p30a;28;false;false
p30a;29;false;false
p30a;30;false;false
