set;number;no_foil;foil
pafr;100a;false;false
pafr;100p;false;false
pafr;100s;false;false
pafr;104a;false;false
pafr;104p;false;false
pafr;104s;false;false
pafr;105a;false;false
pafr;105p;false;false
pafr;105s;false;false
pafr;112a;false;false
pafr;112p;false;false
pafr;112s;false;false
pafr;121a;false;false
pafr;121p;false;false
pafr;121s;false;false
pafr;124a;false;false
pafr;124p;false;false
pafr;124s;false;false
pafr;126a;false;false
pafr;126p;false;false
pafr;126s;false;false
pafr;127a;false;false
pafr;127p;false;false
pafr;127s;false;false
pafr;138a;false;false
pafr;138p;false;false
pafr;138s;false;false
pafr;143a;false;false
pafr;143p;false;false
pafr;143s;false;false
pafr;147a;false;false
pafr;147p;false;false
pafr;147s;false;false
pafr;151a;false;false
pafr;151p;false;false
pafr;151s;false;false
pafr;155a;false;false
pafr;155p;false;false
pafr;155s;false;false
pafr;156a;false;false
pafr;156p;false;false
pafr;156s;false;false
pafr;157a;false;false
pafr;157p;false;false
pafr;157s;false;false
pafr;15a;false;false
pafr;15p;false;false
pafr;15s;false;false
pafr;166a;false;false
pafr;166p;false;false
pafr;166s;false;false
pafr;167a;false;false
pafr;167p;false;false
pafr;167s;false;false
pafr;171a;false;false
pafr;171p;false;false
pafr;171s;false;false
pafr;172a;false;false
pafr;172p;false;false
pafr;172s;false;false
pafr;176a;false;false
pafr;176p;false;false
pafr;176s;false;false
pafr;17a;false;false
pafr;17p;false;false
pafr;17s;false;false
pafr;181a;false;false
pafr;181p;false;false
pafr;181s;false;false
pafr;184a;false;false
pafr;184p;false;false
pafr;184s;false;false
pafr;18a;false;false
pafr;18p;false;false
pafr;18s;false;false
pafr;190a;false;false
pafr;190p;false;false
pafr;190s;false;false
pafr;193a;false;false
pafr;193p;false;false
pafr;193s;false;false
pafr;196a;false;false
pafr;196p;false;false
pafr;196s;false;false
pafr;197a;false;false
pafr;197p;false;false
pafr;197s;false;false
pafr;202a;false;false
pafr;202p;false;false
pafr;202s;false;false
pafr;207a;false;false
pafr;207p;false;false
pafr;207s;false;false
pafr;209a;false;false
pafr;209p;false;false
pafr;209s;false;false
pafr;20a;false;false
pafr;20p;false;false
pafr;20s;false;false
pafr;211a;false;false
pafr;211p;false;false
pafr;211s;false;false
pafr;216a;false;false
pafr;216p;false;false
pafr;216s;false;false
pafr;217a;false;false
pafr;217p;false;false
pafr;217s;false;false
pafr;220a;false;false
pafr;220p;false;false
pafr;220s;false;false
pafr;222a;false;false
pafr;222p;false;false
pafr;222s;false;false
pafr;227a;false;false
pafr;227p;false;false
pafr;227s;false;false
pafr;228a;false;false
pafr;228p;false;false
pafr;228s;false;false
pafr;229a;false;false
pafr;229p;false;false
pafr;229s;false;false
pafr;230a;false;false
pafr;230p;false;false
pafr;230s;false;false
pafr;232a;false;false
pafr;232p;false;false
pafr;232s;false;false
pafr;233a;false;false
pafr;233p;false;false
pafr;233s;false;false
pafr;235a;false;false
pafr;235p;false;false
pafr;235s;false;false
pafr;237a;false;false
pafr;237p;false;false
pafr;237s;false;false
pafr;238a;false;false
pafr;238p;false;false
pafr;238s;false;false
pafr;239a;false;false
pafr;239p;false;false
pafr;239s;false;false
pafr;23a;false;false
pafr;23p;false;false
pafr;23s;false;false
pafr;241a;false;false
pafr;241p;false;false
pafr;241s;false;false
pafr;243a;false;false
pafr;243p;false;false
pafr;243s;false;false
pafr;246a;false;false
pafr;246p;false;false
pafr;246s;false;false
pafr;252a;false;false
pafr;252p;false;false
pafr;252s;false;false
pafr;253a;false;false
pafr;253p;false;false
pafr;253s;false;false
pafr;254a;false;false
pafr;254p;false;false
pafr;254s;false;false
pafr;255a;false;false
pafr;255p;false;false
pafr;255s;false;false
pafr;257a;false;false
pafr;257p;false;false
pafr;257s;false;false
pafr;258a;false;false
pafr;258p;false;false
pafr;258s;false;false
pafr;259a;false;false
pafr;259p;false;false
pafr;259s;false;false
pafr;261a;false;false
pafr;261p;false;false
pafr;261s;false;false
pafr;27a;false;false
pafr;27p;false;false
pafr;27s;false;false
pafr;28a;false;false
pafr;28p;false;false
pafr;28s;false;false
pafr;29a;false;false
pafr;29p;false;false
pafr;29s;false;false
pafr;39a;false;false
pafr;39p;false;false
pafr;39s;false;false
pafr;48a;false;false
pafr;48p;false;false
pafr;48s;false;false
pafr;4a;false;false
pafr;4p;false;false
pafr;4s;false;false
pafr;53a;false;false
pafr;53p;false;false
pafr;53s;false;false
pafr;56a;false;false
pafr;56p;false;false
pafr;56s;false;false
pafr;60a;false;false
pafr;60p;false;false
pafr;60s;false;false
pafr;62a;false;false
pafr;62p;false;false
pafr;62s;false;false
pafr;63a;false;false
pafr;63p;false;false
pafr;63s;false;false
pafr;64a;false;false
pafr;64p;false;false
pafr;64s;false;false
pafr;78a;false;false
pafr;78p;false;false
pafr;78s;false;false
pafr;80a;false;false
pafr;80p;false;false
pafr;80s;false;false
pafr;82a;false;false
pafr;82p;false;false
pafr;82s;false;false
pafr;86a;false;false
pafr;86p;false;false
pafr;86s;false;false
pafr;87a;false;false
pafr;87p;false;false
pafr;87s;false;false
pafr;88a;false;false
pafr;88p;false;false
pafr;88s;false;false
pafr;8a;false;false
pafr;8p;false;false
pafr;8s;false;false
pafr;91a;false;false
pafr;91p;false;false
pafr;91s;false;false
