set;number;no_foil;foil
pakh;104s;false;false
pakh;107s;false;false
pakh;125s;false;false
pakh;133s;false;false
pakh;134s;false;false
pakh;135s;false;false
pakh;136s;false;false
pakh;137s;false;false
pakh;138s;false;false
pakh;14s;false;false
pakh;15s;false;false
pakh;16s;false;false
pakh;1s;false;false
pakh;21s;false;false
pakh;24s;false;false
pakh;2s;false;false
pakh;42s;false;false
pakh;49s;false;false
pakh;49★;false;false
pakh;4s;false;false
pakh;51s;false;false
pakh;55s;false;false
pakh;59s;false;false
pakh;5p;false;false
pakh;5s;false;false
pakh;35;false;false
pakh;63s;false;false
pakh;65p;false;false
pakh;65s;false;false
pakh;74s;false;false
pakh;78;false;false
pakh;78s;false;false
pakh;82s;false;false
pakh;84s;false;false
pakh;86s;false;false
pakh;88s;false;false
pakh;97s;false;false
pakh;98s;false;false
pakh;134;false;false
pakh;148s;false;false
pakh;149s;false;false
pakh;159s;false;false
pakh;160s;false;false
pakh;170p;false;false
pakh;170s;false;false
pakh;172s;false;false
pakh;180s;false;false
pakh;182s;false;false
pakh;183s;false;false
pakh;192s;false;false
pakh;196s;false;false
pakh;199s;false;false
pakh;203s;false;false
pakh;204s;false;false
pakh;205s;false;false
pakh;207s;false;false
pakh;210s;false;false
pakh;211p;false;false
pakh;211s;false;false
pakh;212s;false;false
pakh;213s;false;false
pakh;214s;false;false
pakh;220s;false;false
pakh;221s;false;false
pakh;222s;false;false
pakh;223s;false;false
pakh;224s;false;false
pakh;234;false;false
pakh;234s;false;false
pakh;235s;false;false
pakh;237s;false;false
pakh;239s;false;false
pakh;240s;false;false
pakh;243s;false;false
pakh;245s;false;false
pakh;247s;false;false
pakh;248s;false;false
