set;number;no_foil;foil
pbfz;2;false;false
pbfz;102s;false;false
pbfz;107s;false;false
pbfz;109s;false;false
pbfz;112s;false;false
pbfz;119p;false;false
pbfz;119s;false;false
pbfz;11s;false;false
pbfz;120p;false;false
pbfz;120s;false;false
pbfz;123s;false;false
pbfz;127s;false;false
pbfz;133s;false;false
pbfz;138s;false;false
pbfz;139s;false;false
pbfz;15s;false;false
pbfz;17p;false;false
pbfz;17s;false;false
pbfz;22s;false;false
pbfz;26s;false;false
pbfz;26★;false;false
pbfz;29s;false;false
pbfz;2s;false;false
pbfz;31s;false;false
pbfz;37s;false;false
pbfz;42s;false;false
pbfz;43s;false;false
pbfz;4s;false;false
pbfz;57s;false;false
pbfz;6s;false;false
pbfz;77s;false;false
pbfz;80s;false;false
pbfz;81s;false;false
pbfz;85s;false;false
pbfz;8s;false;false
pbfz;9s;false;false
pbfz;31;false;false
pbfz;50;false;false
pbfz;57;false;false
pbfz;78s;false;false
pbfz;87s;false;false
pbfz;99s;false;false
pbfz;107;false;false
pbfz;123;false;false
pbfz;127;false;false
pbfz;144p;false;false
pbfz;144s;false;false
pbfz;151;false;false
pbfz;151s;false;false
pbfz;162s;false;false
pbfz;167s;false;false
pbfz;170s;false;false
pbfz;174p;false;false
pbfz;174s;false;false
pbfz;180s;false;false
pbfz;181;false;false
pbfz;181s;false;false
pbfz;188;false;false
pbfz;197s;false;false
pbfz;198s;false;false
pbfz;199s;false;false
pbfz;200s;false;false
pbfz;202s;false;false
pbfz;203s;false;false
pbfz;206s;false;false
pbfz;208s;false;false
pbfz;209s;false;false
pbfz;213s;false;false
pbfz;214s;false;false
pbfz;215s;false;false
pbfz;216s;false;false
pbfz;217p;false;false
pbfz;217s;false;false
pbfz;221s;false;false
pbfz;222s;false;false
pbfz;228s;false;false
pbfz;234p;false;false
pbfz;234s;false;false
pbfz;235p;false;false
pbfz;235s;false;false
pbfz;239s;false;false
pbfz;241p;false;false
pbfz;241s;false;false
pbfz;242s;false;false
pbfz;244s;false;false
pbfz;245s;false;false
pbfz;247p;false;false
pbfz;247s;false;false
pbfz;249p;false;false
pbfz;249s;false;false
