set;number;no_foil;foil
pc2;1;false;false
pc2;2;false;false
pc2;3;false;false
pc2;4;false;false
pc2;5;false;false
pc2;6;false;false
pc2;7;false;false
pc2;8;false;false
pc2;9;false;false
pc2;10;false;false
pc2;11;false;false
pc2;12;false;false
pc2;13;false;false
pc2;14;false;false
pc2;15;false;false
pc2;16;false;false
pc2;17;false;false
pc2;18;false;false
pc2;19;false;false
pc2;20;false;false
pc2;21;false;false
pc2;22;false;false
pc2;23;false;false
pc2;24;false;false
pc2;25;false;false
pc2;26;false;false
pc2;27;false;false
pc2;28;false;false
pc2;29;false;false
pc2;30;false;false
pc2;31;false;false
pc2;32;false;false
pc2;33;false;false
pc2;34;false;false
pc2;35;false;false
pc2;36;false;false
pc2;37;false;false
pc2;38;false;false
pc2;39;false;false
pc2;40;false;false
pc2;41;false;false
pc2;42;false;false
pc2;43;false;false
pc2;44;false;false
pc2;45;false;false
pc2;46;false;false
pc2;47;false;false
pc2;48;false;false
pc2;49;false;false
pc2;50;false;false
pc2;51;false;false
pc2;52;false;false
pc2;53;false;false
pc2;54;false;false
pc2;55;false;false
pc2;56;false;false
pc2;57;false;false
pc2;58;false;false
pc2;59;false;false
pc2;60;false;false
pc2;61;false;false
pc2;62;false;false
pc2;63;false;false
pc2;64;false;false
pc2;65;false;false
pc2;66;false;false
pc2;67;false;false
pc2;68;false;false
pc2;69;false;false
pc2;70;false;false
pc2;71;false;false
pc2;72;false;false
pc2;73;false;false
pc2;74;false;false
pc2;75;false;false
pc2;76;false;false
pc2;77;false;false
pc2;78;false;false
pc2;79;false;false
pc2;80;false;false
pc2;81;false;false
pc2;82;false;false
pc2;83;false;false
pc2;84;false;false
pc2;85;false;false
pc2;86;false;false
pc2;87;false;false
pc2;88;false;false
pc2;89;false;false
pc2;90;false;false
pc2;91;false;false
pc2;92;false;false
pc2;93;false;false
pc2;94;false;false
pc2;95;false;false
pc2;96;false;false
pc2;97;false;false
pc2;98;false;false
pc2;99;false;false
pc2;100;false;false
pc2;101;false;false
pc2;102;false;false
pc2;103;false;false
pc2;104;false;false
pc2;105;false;false
pc2;106;false;false
pc2;107;false;false
pc2;108;false;false
pc2;109;false;false
pc2;110;false;false
pc2;111;false;false
pc2;112;false;false
pc2;113;false;false
pc2;114;false;false
pc2;115;false;false
pc2;116;false;false
pc2;117;false;false
pc2;118;false;false
pc2;119;false;false
pc2;120;false;false
pc2;121;false;false
pc2;122;false;false
pc2;123;false;false
pc2;124;false;false
pc2;125;false;false
pc2;126;false;false
pc2;127;false;false
pc2;128;false;false
pc2;129;false;false
pc2;130;false;false
pc2;131;false;false
pc2;132;false;false
pc2;133;false;false
pc2;134;false;false
pc2;135;false;false
pc2;136;false;false
pc2;137;false;false
pc2;138;false;false
pc2;139;false;false
pc2;140;false;false
pc2;141;false;false
pc2;142;false;false
pc2;143;false;false
pc2;144;false;false
pc2;145;false;false
pc2;146;false;false
pc2;147;false;false
pc2;148;false;false
pc2;149;false;false
pc2;150;false;false
pc2;151;false;false
pc2;152;false;false
pc2;153;false;false
pc2;154;false;false
pc2;155;false;false
pc2;156;false;false
