set;number;no_foil;foil
pclb;100s;false;false
pclb;103s;false;false
pclb;105s;false;false
pclb;109s;false;false
pclb;111s;false;false
pclb;114s;false;false
pclb;116s;false;false
pclb;118s;false;false
pclb;123s;false;false
pclb;125s;false;false
pclb;126s;false;false
pclb;132s;false;false
pclb;139s;false;false
pclb;142s;false;false
pclb;146s;false;false
pclb;161s;false;false
pclb;162p;false;false
pclb;162s;false;false
pclb;167p;false;false
pclb;167s;false;false
pclb;169s;false;false
pclb;172s;false;false
pclb;174s;false;false
pclb;186s;false;false
pclb;192s;false;false
pclb;196s;false;false
pclb;204s;false;false
pclb;207s;false;false
pclb;208s;false;false
pclb;209s;false;false
pclb;214s;false;false
pclb;217s;false;false
pclb;218s;false;false
pclb;228s;false;false
pclb;237s;false;false
pclb;238s;false;false
pclb;240s;false;false
pclb;242s;false;false
pclb;246s;false;false
pclb;250s;false;false
pclb;258s;false;false
pclb;260s;false;false
pclb;264s;false;false
pclb;265s;false;false
pclb;266s;false;false
pclb;267s;false;false
pclb;268s;false;false
pclb;26s;false;false
pclb;271s;false;false
pclb;272s;false;false
pclb;273s;false;false
pclb;274s;false;false
pclb;275s;false;false
pclb;276s;false;false
pclb;277s;false;false
pclb;278s;false;false
pclb;283s;false;false
pclb;284s;false;false
pclb;285p;false;false
pclb;285s;false;false
pclb;287s;false;false
pclb;288s;false;false
pclb;289s;false;false
pclb;291s;false;false
pclb;292s;false;false
pclb;294s;false;false
pclb;296s;false;false
pclb;29s;false;false
pclb;300s;false;false
pclb;301s;false;false
pclb;30s;false;false
pclb;314s;false;false
pclb;31s;false;false
pclb;324s;false;false
pclb;326s;false;false
pclb;328s;false;false
pclb;343s;false;false
pclb;345s;false;false
pclb;348s;false;false
pclb;355s;false;false
pclb;357s;false;false
pclb;358s;false;false
pclb;35s;false;false
pclb;360s;false;false
pclb;361s;false;false
pclb;3s;false;false
pclb;42s;false;false
pclb;49s;false;false
pclb;4s;false;false
pclb;50s;false;false
pclb;56s;false;false
pclb;5s;false;false
pclb;63p;false;false
pclb;63s;false;false
pclb;68s;false;false
pclb;71s;false;false
pclb;72s;false;false
pclb;73s;false;false
pclb;76s;false;false
pclb;81s;false;false
pclb;91s;false;false
pclb;96s;false;false
pclb;9p;false;false
pclb;9s;false;false
