set;number;no_foil;foil
pcy;1;false;false
pcy;2;false;false
pcy;3;false;false
pcy;4;false;false
pcy;5;false;false
pcy;6;false;false
pcy;7;false;false
pcy;8;false;false
pcy;9;false;false
pcy;10;false;false
pcy;11;false;false
pcy;12;false;false
pcy;13;false;false
pcy;14;false;false
pcy;15;false;false
pcy;16;false;false
pcy;17;false;false
pcy;18;false;false
pcy;19;false;false
pcy;20;false;false
pcy;21;false;false
pcy;22;false;false
pcy;23;false;false
pcy;24;false;false
pcy;25;false;false
pcy;26;false;false
pcy;27;false;false
pcy;28;false;false
pcy;29;false;false
pcy;30;false;false
pcy;31;false;false
pcy;32;false;false
pcy;33;false;false
pcy;34;false;false
pcy;35;false;false
pcy;36;false;false
pcy;37;false;false
pcy;38;false;false
pcy;39;false;false
pcy;40;false;false
pcy;41;false;false
pcy;42;false;false
pcy;43;false;false
pcy;44;false;false
pcy;45;false;false
pcy;46;false;false
pcy;47;false;false
pcy;48;false;false
pcy;49;false;false
pcy;50;false;false
pcy;51;false;false
pcy;52;false;false
pcy;53;false;false
pcy;54;false;false
pcy;55;false;false
pcy;56;false;false
pcy;57;false;false
pcy;58;false;false
pcy;59;false;false
pcy;60;false;false
pcy;60s;false;false
pcy;61;false;false
pcy;62;false;false
pcy;63;false;false
pcy;64;false;false
pcy;65;false;false
pcy;66;false;false
pcy;67;false;false
pcy;68;false;false
pcy;69;false;false
pcy;70;false;false
pcy;71;false;false
pcy;72;false;false
pcy;73;false;false
pcy;74;false;false
pcy;75;false;false
pcy;76;false;false
pcy;77;false;false
pcy;78;false;false
pcy;79;false;false
pcy;80;false;false
pcy;81;false;false
pcy;82;false;false
pcy;83;false;false
pcy;84;false;false
pcy;85;false;false
pcy;86;false;false
pcy;87;false;false
pcy;88;false;false
pcy;89;false;false
pcy;90;false;false
pcy;91;false;false
pcy;92;false;false
pcy;93;false;false
pcy;94;false;false
pcy;95;false;false
pcy;96;false;false
pcy;97;false;false
pcy;98;false;false
pcy;99;false;false
pcy;100;false;false
pcy;101;false;false
pcy;102;false;false
pcy;103;false;false
pcy;104;false;false
pcy;105;false;false
pcy;106;false;false
pcy;107;false;false
pcy;108;false;false
pcy;109;false;false
pcy;110;false;false
pcy;111;false;false
pcy;112;false;false
pcy;113;false;false
pcy;114;false;false
pcy;115;false;false
pcy;116;false;false
pcy;117;false;false
pcy;118;false;false
pcy;119;false;false
pcy;120;false;false
pcy;121;false;false
pcy;122;false;false
pcy;123;false;false
pcy;124;false;false
pcy;125;false;false
pcy;126;false;false
pcy;127;false;false
pcy;128;false;false
pcy;129;false;false
pcy;130;false;false
pcy;131;false;false
pcy;132;false;false
pcy;133;false;false
pcy;134;false;false
pcy;135;false;false
pcy;136;false;false
pcy;137;false;false
pcy;138;false;false
pcy;139;false;false
pcy;140;false;false
pcy;141;false;false
pcy;142;false;false
pcy;143;false;false
