set;number;no_foil;foil
pd2;1;false;false
pd2;2;false;false
pd2;3;false;false
pd2;4;false;false
pd2;5;false;false
pd2;6;false;false
pd2;7;false;false
pd2;8;false;false
pd2;9;false;false
pd2;10;false;false
pd2;11;false;false
pd2;12;false;false
pd2;13;false;false
pd2;14;false;false
pd2;15;false;false
pd2;16;false;false
pd2;17;false;false
pd2;18;false;false
pd2;19;false;false
pd2;20;false;false
pd2;21;false;false
pd2;22;false;false
pd2;23;false;false
pd2;24;false;false
pd2;25;false;false
pd2;26;false;false
pd2;27;false;false
pd2;28;false;false
pd2;29;false;false
pd2;30;false;false
pd2;31;false;false
pd2;32;false;false
pd2;33;false;false
pd2;34;false;false
