set;number;no_foil;foil
pdft;100p;false;false
pdft;100s;false;false
pdft;105p;false;false
pdft;105s;false;false
pdft;113p;false;false
pdft;113s;false;false
pdft;115p;false;false
pdft;115s;false;false
pdft;116p;false;false
pdft;116s;false;false
pdft;118p;false;false
pdft;118s;false;false
pdft;120p;false;false
pdft;120s;false;false
pdft;121p;false;false
pdft;121s;false;false
pdft;127p;false;false
pdft;127s;false;false
pdft;129p;false;false
pdft;129s;false;false
pdft;133p;false;false
pdft;133s;false;false
pdft;134p;false;false
pdft;134s;false;false
pdft;150p;false;false
pdft;150s;false;false
pdft;151p;false;false
pdft;151s;false;false
pdft;158p;false;false
pdft;158s;false;false
pdft;15p;false;false
pdft;15s;false;false
pdft;168p;false;false
pdft;168s;false;false
pdft;169p;false;false
pdft;169s;false;false
pdft;173p;false;false
pdft;173s;false;false
pdft;177p;false;false
pdft;177s;false;false
pdft;183p;false;false
pdft;183s;false;false
pdft;186p;false;false
pdft;186s;false;false
pdft;187p;false;false
pdft;187s;false;false
pdft;191p;false;false
pdft;191s;false;false
pdft;194p;false;false
pdft;194s;false;false
pdft;195p;false;false
pdft;195s;false;false
pdft;198p;false;false
pdft;198s;false;false
pdft;199p;false;false
pdft;199s;false;false
pdft;202p;false;false
pdft;202s;false;false
pdft;203p;false;false
pdft;203s;false;false
pdft;204p;false;false
pdft;204s;false;false
pdft;209p;false;false
pdft;209s;false;false
pdft;210p;false;false
pdft;210s;false;false
pdft;212p;false;false
pdft;212s;false;false
pdft;213p;false;false
pdft;213s;false;false
pdft;214p;false;false
pdft;214s;false;false
pdft;215p;false;false
pdft;215s;false;false
pdft;216p;false;false
pdft;216s;false;false
pdft;218p;false;false
pdft;218s;false;false
pdft;219p;false;false
pdft;219s;false;false
pdft;221p;false;false
pdft;221s;false;false
pdft;222p;false;false
pdft;222s;false;false
pdft;223p;false;false
pdft;223s;false;false
pdft;228p;false;false
pdft;228s;false;false
pdft;229p;false;false
pdft;229s;false;false
pdft;231p;false;false
pdft;231s;false;false
pdft;234p;false;false
pdft;234s;false;false
pdft;235p;false;false
pdft;235s;false;false
pdft;237p;false;false
pdft;237s;false;false
pdft;23p;false;false
pdft;23s;false;false
pdft;240p;false;false
pdft;240s;false;false
pdft;250p;false;false
pdft;250s;false;false
pdft;257p;false;false
pdft;257s;false;false
pdft;260p;false;false
pdft;260s;false;false
pdft;264p;false;false
pdft;264s;false;false
pdft;268p;false;false
pdft;268s;false;false
pdft;270p;false;false
pdft;270s;false;false
pdft;27p;false;false
pdft;27s;false;false
pdft;28p;false;false
pdft;28s;false;false
pdft;29p;false;false
pdft;29s;false;false
pdft;35p;false;false
pdft;35s;false;false
pdft;36p;false;false
pdft;36s;false;false
pdft;3p;false;false
pdft;3s;false;false
pdft;51p;false;false
pdft;51s;false;false
pdft;52p;false;false
pdft;52s;false;false
pdft;54p;false;false
pdft;54s;false;false
pdft;56p;false;false
pdft;56s;false;false
pdft;57p;false;false
pdft;57s;false;false
pdft;68p;false;false
pdft;68s;false;false
pdft;72p;false;false
pdft;72s;false;false
pdft;73p;false;false
pdft;73s;false;false
pdft;74p;false;false
pdft;74s;false;false
pdft;77p;false;false
pdft;77s;false;false
pdft;7p;false;false
pdft;7s;false;false
pdft;80p;false;false
pdft;80s;false;false
pdft;81p;false;false
pdft;81s;false;false
pdft;83p;false;false
pdft;83s;false;false
pdft;85p;false;false
pdft;85s;false;false
pdft;87p;false;false
pdft;87s;false;false
pdft;94p;false;false
pdft;94s;false;false
