set;number;no_foil;foil
pdmu;103p;false;false
pdmu;103s;false;false
pdmu;106p;false;false
pdmu;106s;false;false
pdmu;107p;false;false
pdmu;107s;false;false
pdmu;110p;false;false
pdmu;110s;false;false
pdmu;117p;false;false
pdmu;117s;false;false
pdmu;119p;false;false
pdmu;119s;false;false
pdmu;121p;false;false
pdmu;121s;false;false
pdmu;133p;false;false
pdmu;133s;false;false
pdmu;135p;false;false
pdmu;135s;false;false
pdmu;141p;false;false
pdmu;141s;false;false
pdmu;142p;false;false
pdmu;142s;false;false
pdmu;143p;false;false
pdmu;143s;false;false
pdmu;146p;false;false
pdmu;146s;false;false
pdmu;147p;false;false
pdmu;147s;false;false
pdmu;15p;false;false
pdmu;15s;false;false
pdmu;160p;false;false
pdmu;160s;false;false
pdmu;165p;false;false
pdmu;165s;false;false
pdmu;167p;false;false
pdmu;167s;false;false
pdmu;169p;false;false
pdmu;169s;false;false
pdmu;16p;false;false
pdmu;16s;false;false
pdmu;170p;false;false
pdmu;170s;false;false
pdmu;175p;false;false
pdmu;175s;false;false
pdmu;177p;false;false
pdmu;177s;false;false
pdmu;185p;false;false
pdmu;185s;false;false
pdmu;186p;false;false
pdmu;186s;false;false
pdmu;189p;false;false
pdmu;189s;false;false
pdmu;192p;false;false
pdmu;192s;false;false
pdmu;194p;false;false
pdmu;194s;false;false
pdmu;199p;false;false
pdmu;199s;false;false
pdmu;19p;false;false
pdmu;19s;false;false
pdmu;1p;false;false
pdmu;1s;false;false
pdmu;1★;false;false
pdmu;201p;false;false
pdmu;201s;false;false
pdmu;202p;false;false
pdmu;202s;false;false
pdmu;203p;false;false
pdmu;203s;false;false
pdmu;204p;false;false
pdmu;204s;false;false
pdmu;206p;false;false
pdmu;206s;false;false
pdmu;209p;false;false
pdmu;209s;false;false
pdmu;213p;false;false
pdmu;213s;false;false
pdmu;214p;false;false
pdmu;214s;false;false
pdmu;215p;false;false
pdmu;215s;false;false
pdmu;218p;false;false
pdmu;218s;false;false
pdmu;219p;false;false
pdmu;219s;false;false
pdmu;220p;false;false
pdmu;220s;false;false
pdmu;221p;false;false
pdmu;221s;false;false
pdmu;228p;false;false
pdmu;228s;false;false
pdmu;230p;false;false
pdmu;230s;false;false
pdmu;234p;false;false
pdmu;234s;false;false
pdmu;239p;false;false
pdmu;239s;false;false
pdmu;242p;false;false
pdmu;242s;false;false
pdmu;243p;false;false
pdmu;243s;false;false
pdmu;244p;false;false
pdmu;244s;false;false
pdmu;24p;false;false
pdmu;24s;false;false
pdmu;250p;false;false
pdmu;250s;false;false
pdmu;252p;false;false
pdmu;252s;false;false
pdmu;255p;false;false
pdmu;255s;false;false
pdmu;256p;false;false
pdmu;256s;false;false
pdmu;259p;false;false
pdmu;259s;false;false
pdmu;261p;false;false
pdmu;261s;false;false
pdmu;2p;false;false
pdmu;2s;false;false
pdmu;32p;false;false
pdmu;32s;false;false
pdmu;36p;false;false
pdmu;36s;false;false
pdmu;37p;false;false
pdmu;37s;false;false
pdmu;38p;false;false
pdmu;38s;false;false
pdmu;3p;false;false
pdmu;3s;false;false
pdmu;40p;false;false
pdmu;40s;false;false
pdmu;42p;false;false
pdmu;42s;false;false
pdmu;46p;false;false
pdmu;46s;false;false
pdmu;52p;false;false
pdmu;52s;false;false
pdmu;59p;false;false
pdmu;59s;false;false
pdmu;65p;false;false
pdmu;65s;false;false
pdmu;67p;false;false
pdmu;67s;false;false
pdmu;73p;false;false
pdmu;73s;false;false
pdmu;75p;false;false
pdmu;75s;false;false
pdmu;76p;false;false
pdmu;76s;false;false
pdmu;84p;false;false
pdmu;84s;false;false
pdmu;87p;false;false
pdmu;87s;false;false
pdmu;90p;false;false
pdmu;90s;false;false
pdmu;91p;false;false
pdmu;91s;false;false
pdmu;93p;false;false
pdmu;93s;false;false
pdmu;97p;false;false
pdmu;97s;false;false
