set;number;no_foil;foil
pdom;100s;false;false
pdom;102s;false;false
pdom;108s;false;false
pdom;109s;false;false
pdom;111s;false;false
pdom;113s;false;false
pdom;114s;false;false
pdom;122s;false;false
pdom;129p;false;false
pdom;129s;false;false
pdom;12s;false;false
pdom;131s;false;false
pdom;132s;false;false
pdom;133s;false;false
pdom;13s;false;false
pdom;143p;false;false
pdom;143s;false;false
pdom;146p;false;false
pdom;146s;false;false
pdom;147s;false;false
pdom;148s;false;false
pdom;149s;false;false
pdom;165s;false;false
pdom;166s;false;false
pdom;16s;false;false
pdom;18s;false;false
pdom;1p;false;false
pdom;1s;false;false
pdom;21p;false;false
pdom;21s;false;false
pdom;25s;false;false
pdom;26p;false;false
pdom;26s;false;false
pdom;33c;false;false
pdom;35p;false;false
pdom;35s;false;false
pdom;36s;false;false
pdom;39s;false;false
pdom;42p;false;false
pdom;42s;false;false
pdom;4s;false;false
pdom;55s;false;false
pdom;57s;false;false
pdom;58s;false;false
pdom;59s;false;false
pdom;61s;false;false
pdom;66s;false;false
pdom;68p;false;false
pdom;68s;false;false
pdom;69s;false;false
pdom;6p;false;false
pdom;6s;false;false
pdom;60;false;false
pdom;76;false;false
pdom;76s;false;false
pdom;81;false;false
pdom;86s;false;false
pdom;88s;false;false
pdom;95s;false;false
pdom;96s;false;false
pdom;98s;false;false
pdom;168;false;false
pdom;172p;false;false
pdom;172s;false;false
pdom;173s;false;false
pdom;174s;false;false
pdom;182;false;false
pdom;182p;false;false
pdom;182s;false;false
pdom;183s;false;false
pdom;184s;false;false
pdom;187s;false;false
pdom;190s;false;false
pdom;191s;false;false
pdom;192s;false;false
pdom;193s;false;false
pdom;194s;false;false
pdom;195s;false;false
pdom;196s;false;false
pdom;197s;false;false
pdom;198s;false;false
pdom;199s;false;false
pdom;200s;false;false
pdom;201s;false;false
pdom;202s;false;false
pdom;203s;false;false
pdom;204;false;false
pdom;204s;false;false
pdom;205s;false;false
pdom;206s;false;false
pdom;207s;false;false
pdom;208s;false;false
pdom;211p;false;false
pdom;211s;false;false
pdom;214p;false;false
pdom;214s;false;false
pdom;215p;false;false
pdom;215s;false;false
pdom;217p;false;false
pdom;217s;false;false
pdom;223s;false;false
pdom;224s;false;false
pdom;233s;false;false
pdom;234s;false;false
pdom;237s;false;false
pdom;238p;false;false
pdom;238s;false;false
pdom;239p;false;false
pdom;239s;false;false
pdom;240p;false;false
pdom;240s;false;false
pdom;241p;false;false
pdom;241s;false;false
pdom;247p;false;false
pdom;247s;false;false
pdom;248p;false;false
pdom;248s;false;false
pdom;249;false;false
