set;number;no_foil;foil
pdsk;100p;false;false
pdsk;100s;false;false
pdsk;102p;false;false
pdsk;102s;false;false
pdsk;106p;false;false
pdsk;106s;false;false
pdsk;108p;false;false
pdsk;108s;false;false
pdsk;113p;false;false
pdsk;113s;false;false
pdsk;118p;false;false
pdsk;118s;false;false
pdsk;119p;false;false
pdsk;119s;false;false
pdsk;120p;false;false
pdsk;120s;false;false
pdsk;128p;false;false
pdsk;128s;false;false
pdsk;129p;false;false
pdsk;129s;false;false
pdsk;131p;false;false
pdsk;131s;false;false
pdsk;133p;false;false
pdsk;133s;false;false
pdsk;136p;false;false
pdsk;136s;false;false
pdsk;13p;false;false
pdsk;13s;false;false
pdsk;143p;false;false
pdsk;143s;false;false
pdsk;146p;false;false
pdsk;146s;false;false
pdsk;153p;false;false
pdsk;153s;false;false
pdsk;155p;false;false
pdsk;155s;false;false
pdsk;157p;false;false
pdsk;157s;false;false
pdsk;165p;false;false
pdsk;165s;false;false
pdsk;168p;false;false
pdsk;168s;false;false
pdsk;176p;false;false
pdsk;176s;false;false
pdsk;182p;false;false
pdsk;182s;false;false
pdsk;183p;false;false
pdsk;183s;false;false
pdsk;187p;false;false
pdsk;187s;false;false
pdsk;188p;false;false
pdsk;188s;false;false
pdsk;18p;false;false
pdsk;18s;false;false
pdsk;192p;false;false
pdsk;192s;false;false
pdsk;194p;false;false
pdsk;194s;false;false
pdsk;201p;false;false
pdsk;201s;false;false
pdsk;202p;false;false
pdsk;202s;false;false
pdsk;204p;false;false
pdsk;204s;false;false
pdsk;205p;false;false
pdsk;205s;false;false
pdsk;219p;false;false
pdsk;219s;false;false
pdsk;220p;false;false
pdsk;220s;false;false
pdsk;221p;false;false
pdsk;221s;false;false
pdsk;223p;false;false
pdsk;223s;false;false
pdsk;224p;false;false
pdsk;224s;false;false
pdsk;226p;false;false
pdsk;226s;false;false
pdsk;227p;false;false
pdsk;227s;false;false
pdsk;228p;false;false
pdsk;228s;false;false
pdsk;230p;false;false
pdsk;230s;false;false
pdsk;236p;false;false
pdsk;236s;false;false
pdsk;237p;false;false
pdsk;237s;false;false
pdsk;238p;false;false
pdsk;238s;false;false
pdsk;23p;false;false
pdsk;23s;false;false
pdsk;240p;false;false
pdsk;240s;false;false
pdsk;241p;false;false
pdsk;241s;false;false
pdsk;245p;false;false
pdsk;245s;false;false
pdsk;248p;false;false
pdsk;248s;false;false
pdsk;253p;false;false
pdsk;253s;false;false
pdsk;256p;false;false
pdsk;256s;false;false
pdsk;259p;false;false
pdsk;259s;false;false
pdsk;260p;false;false
pdsk;260s;false;false
pdsk;261p;false;false
pdsk;261s;false;false
pdsk;26p;false;false
pdsk;26s;false;false
pdsk;270p;false;false
pdsk;270s;false;false
pdsk;271p;false;false
pdsk;271s;false;false
pdsk;32p;false;false
pdsk;32s;false;false
pdsk;35p;false;false
pdsk;35s;false;false
pdsk;37p;false;false
pdsk;37s;false;false
pdsk;3p;false;false
pdsk;3s;false;false
pdsk;41p;false;false
pdsk;41s;false;false
pdsk;42p;false;false
pdsk;42s;false;false
pdsk;44p;false;false
pdsk;44s;false;false
pdsk;4p;false;false
pdsk;4s;false;false
pdsk;51p;false;false
pdsk;51s;false;false
pdsk;53p;false;false
pdsk;53s;false;false
pdsk;63p;false;false
pdsk;63s;false;false
pdsk;64p;false;false
pdsk;64s;false;false
pdsk;66p;false;false
pdsk;66s;false;false
pdsk;67p;false;false
pdsk;67s;false;false
pdsk;68p;false;false
pdsk;68s;false;false
pdsk;6p;false;false
pdsk;6s;false;false
pdsk;72p;false;false
pdsk;72s;false;false
pdsk;75p;false;false
pdsk;75s;false;false
pdsk;86p;false;false
pdsk;86s;false;false
pdsk;92p;false;false
pdsk;92s;false;false
pdsk;94p;false;false
pdsk;94s;false;false
pdsk;95p;false;false
pdsk;95s;false;false
