set;number;no_foil;foil
peld;100p;false;false
peld;100s;false;false
peld;101p;false;false
peld;101s;false;false
peld;110p;false;false
peld;110s;false;false
peld;111p;false;false
peld;111s;false;false
peld;115p;false;false
peld;115s;false;false
peld;120p;false;false
peld;120s;false;false
peld;124p;false;false
peld;124s;false;false
peld;125p;false;false
peld;125s;false;false
peld;127p;false;false
peld;127s;false;false
peld;128p;false;false
peld;128s;false;false
peld;133p;false;false
peld;133s;false;false
peld;133★;false;false
peld;138p;false;false
peld;138s;false;false
peld;144p;false;false
peld;144s;false;false
peld;147p;false;false
peld;147s;false;false
peld;14p;false;false
peld;14s;false;false
peld;152p;false;false
peld;152s;false;false
peld;160p;false;false
peld;160s;false;false
peld;161p;false;false
peld;161s;false;false
peld;165p;false;false
peld;165s;false;false
peld;169p;false;false
peld;169s;false;false
peld;16p;false;false
peld;16s;false;false
peld;171p;false;false
peld;171s;false;false
peld;172p;false;false
peld;172s;false;false
peld;17p;false;false
peld;17s;false;false
peld;181p;false;false
peld;181s;false;false
peld;182p;false;false
peld;182s;false;false
peld;185p;false;false
peld;185s;false;false
peld;186p;false;false
peld;186s;false;false
peld;187p;false;false
peld;187s;false;false
peld;189p;false;false
peld;189s;false;false
peld;18p;false;false
peld;18s;false;false
peld;190p;false;false
peld;190s;false;false
peld;191p;false;false
peld;191s;false;false
peld;195p;false;false
peld;195s;false;false
peld;197p;false;false
peld;197s;false;false
peld;198p;false;false
peld;198s;false;false
peld;199p;false;false
peld;199s;false;false
peld;1p;false;false
peld;1s;false;false
peld;203p;false;false
peld;203s;false;false
peld;20p;false;false
peld;20s;false;false
peld;233p;false;false
peld;233s;false;false
peld;235p;false;false
peld;235s;false;false
peld;235★;false;false
peld;238p;false;false
peld;238s;false;false
peld;239p;false;false
peld;239s;false;false
peld;240p;false;false
peld;240s;false;false
peld;241p;false;false
peld;241s;false;false
peld;242p;false;false
peld;242s;false;false
peld;244p;false;false
peld;244s;false;false
peld;26p;false;false
peld;26s;false;false
peld;36p;false;false
peld;36s;false;false
peld;39p;false;false
peld;39s;false;false
peld;43p;false;false
peld;43s;false;false
peld;44p;false;false
peld;44s;false;false
peld;46p;false;false
peld;46s;false;false
peld;48p;false;false
peld;48s;false;false
peld;51p;false;false
peld;51s;false;false
peld;54p;false;false
peld;54s;false;false
peld;55p;false;false
peld;55s;false;false
peld;66p;false;false
peld;66s;false;false
peld;71p;false;false
peld;71s;false;false
peld;75p;false;false
peld;75s;false;false
peld;79p;false;false
peld;79s;false;false
peld;82p;false;false
peld;82s;false;false
peld;84p;false;false
peld;84s;false;false
peld;8p;false;false
peld;8s;false;false
peld;97p;false;false
peld;97s;false;false
peld;98p;false;false
peld;98s;false;false
peld;9p;false;false
peld;9s;false;false
