set;number;no_foil;foil
pemn;15as;false;false
pemn;15bs;false;false
pemn;17s;false;false
pemn;1Z;false;false
pemn;20s;false;false
pemn;28s;false;false
pemn;2s;false;false
pemn;37s;false;false
pemn;39s;false;false
pemn;3s;false;false
pemn;40s;false;false
pemn;41p;false;false
pemn;41s;false;false
pemn;46s;false;false
pemn;47s;false;false
pemn;47★;false;false
pemn;51s;false;false
pemn;56s;false;false
pemn;5s;false;false
pemn;65p;false;false
pemn;65s;false;false
pemn;6s;false;false
pemn;7s;false;false
pemn;39;false;false
pemn;46;false;false
pemn;64;false;false
pemn;64s;false;false
pemn;69s;false;false
pemn;70s;false;false
pemn;72;false;false
pemn;72s;false;false
pemn;75s;false;false
pemn;79;false;false
pemn;80s;false;false
pemn;85s;false;false
pemn;86s;false;false
pemn;87s;false;false
pemn;93s;false;false
pemn;98;false;false
pemn;106s;false;false
pemn;109s;false;false
pemn;111s;false;false
pemn;117s;false;false
pemn;118s;false;false
pemn;123s;false;false
pemn;130as;false;false
pemn;130bs;false;false
pemn;131s;false;false
pemn;132s;false;false
pemn;136s;false;false
pemn;137s;false;false
pemn;146s;false;false
pemn;155s;false;false
pemn;156s;false;false
pemn;162s;false;false
pemn;165s;false;false
pemn;170s;false;false
pemn;171p;false;false
pemn;171s;false;false
pemn;176s;false;false
pemn;181s;false;false
pemn;183s;false;false
pemn;184s;false;false
pemn;191s;false;false
pemn;197s;false;false
pemn;199s;false;false
pemn;203s;false;false
pemn;204s;false;false
pemn;98s;false;false
pemn;99s;false;false
pemn;117;false;false
pemn;176;false;false
pemn;185;false;false
pemn;185s;false;false
pemn;189s;false;false
pemn;190s;false;false
pemn;200s;false;false
