set;number;no_foil;foil
peoe;113p;false;false
peoe;113s;false;false
peoe;115p;false;false
peoe;115s;false;false
peoe;116p;false;false
peoe;116s;false;false
peoe;127p;false;false
peoe;127s;false;false
peoe;128p;false;false
peoe;128s;false;false
peoe;132p;false;false
peoe;132s;false;false
peoe;145p;false;false
peoe;145s;false;false
peoe;148p;false;false
peoe;148s;false;false
peoe;151p;false;false
peoe;151s;false;false
peoe;153p;false;false
peoe;153s;false;false
peoe;159p;false;false
peoe;159s;false;false
peoe;15p;false;false
peoe;15s;false;false
peoe;162p;false;false
peoe;162s;false;false
peoe;163p;false;false
peoe;163s;false;false
peoe;168p;false;false
peoe;168s;false;false
peoe;172p;false;false
peoe;172s;false;false
peoe;182p;false;false
peoe;182s;false;false
peoe;183p;false;false
peoe;183s;false;false
peoe;192p;false;false
peoe;192s;false;false
peoe;196p;false;false
peoe;196s;false;false
peoe;19p;false;false
peoe;19s;false;false
peoe;1p;false;false
peoe;1s;false;false
peoe;200p;false;false
peoe;200s;false;false
peoe;201p;false;false
peoe;201s;false;false
peoe;20p;false;false
peoe;20s;false;false
peoe;210p;false;false
peoe;210s;false;false
peoe;214p;false;false
peoe;214s;false;false
peoe;215p;false;false
peoe;215s;false;false
peoe;216p;false;false
peoe;216s;false;false
peoe;217p;false;false
peoe;217s;false;false
peoe;222p;false;false
peoe;222s;false;false
peoe;223p;false;false
peoe;223s;false;false
peoe;224p;false;false
peoe;224s;false;false
peoe;226p;false;false
peoe;226s;false;false
peoe;228p;false;false
peoe;228s;false;false
peoe;229p;false;false
peoe;229s;false;false
peoe;231p;false;false
peoe;231s;false;false
peoe;239p;false;false
peoe;239s;false;false
peoe;240p;false;false
peoe;240s;false;false
peoe;247p;false;false
peoe;247s;false;false
peoe;24p;false;false
peoe;24s;false;false
peoe;251p;false;false
peoe;251s;false;false
peoe;254p;false;false
peoe;254s;false;false
peoe;256p;false;false
peoe;256s;false;false
peoe;257p;false;false
peoe;257s;false;false
peoe;258p;false;false
peoe;258s;false;false
peoe;261p;false;false
peoe;261s;false;false
peoe;27p;false;false
peoe;27s;false;false
peoe;2p;false;false
peoe;2s;false;false
peoe;40p;false;false
peoe;40s;false;false
peoe;4p;false;false
peoe;4s;false;false
peoe;51p;false;false
peoe;51s;false;false
peoe;56p;false;false
peoe;56s;false;false
peoe;68p;false;false
peoe;68s;false;false
peoe;69p;false;false
peoe;69s;false;false
peoe;72p;false;false
peoe;72s;false;false
peoe;78p;false;false
peoe;78s;false;false
peoe;79p;false;false
peoe;79s;false;false
peoe;7p;false;false
peoe;7s;false;false
peoe;86p;false;false
peoe;86s;false;false
peoe;87p;false;false
peoe;87s;false;false
peoe;88p;false;false
peoe;88s;false;false
peoe;91p;false;false
peoe;91s;false;false
peoe;97p;false;false
peoe;97s;false;false
peoe;9p;false;false
peoe;9s;false;false
