set;number;no_foil;foil
pfdn;1;false;false
pfdn;106s;false;false
pfdn;107s;false;false
pfdn;109s;false;false
pfdn;111s;false;false
pfdn;112s;false;false
pfdn;113s;false;false
pfdn;115p;false;false
pfdn;115s;false;false
pfdn;116p;false;false
pfdn;116s;false;false
pfdn;117s;false;false
pfdn;119s;false;false
pfdn;11s;false;false
pfdn;121p;false;false
pfdn;121s;false;false
pfdn;122p;false;false
pfdn;122s;false;false
pfdn;123p;false;false
pfdn;123s;false;false
pfdn;126s;false;false
pfdn;127p;false;false
pfdn;127s;false;false
pfdn;129s;false;false
pfdn;132s;false;false
pfdn;133s;false;false
pfdn;134s;false;false
pfdn;137s;false;false
pfdn;140s;false;false
pfdn;141s;false;false
pfdn;154s;false;false
pfdn;161s;false;false
pfdn;166s;false;false
pfdn;176s;false;false
pfdn;179s;false;false
pfdn;17s;false;false
pfdn;180s;false;false
pfdn;183s;false;false
pfdn;184s;false;false
pfdn;190s;false;false
pfdn;193s;false;false
pfdn;194s;false;false
pfdn;198s;false;false
pfdn;1s;false;false
pfdn;204s;false;false
pfdn;207s;false;false
pfdn;216s;false;false
pfdn;219s;false;false
pfdn;221s;false;false
pfdn;222s;false;false
pfdn;22s;false;false
pfdn;232s;false;false
pfdn;234s;false;false
pfdn;238s;false;false
pfdn;23s;false;false
pfdn;242s;false;false
pfdn;243s;false;false
pfdn;244s;false;false
pfdn;246s;false;false
pfdn;248s;false;false
pfdn;257s;false;false
pfdn;27s;false;false
pfdn;2s;false;false
pfdn;30s;false;false
pfdn;34s;false;false
pfdn;35s;false;false
pfdn;40s;false;false
pfdn;41s;false;false
pfdn;44s;false;false
pfdn;45s;false;false
pfdn;46s;false;false
pfdn;51s;false;false
pfdn;54s;false;false
pfdn;57s;false;false
pfdn;58s;false;false
pfdn;5s;false;false
pfdn;61s;false;false
pfdn;66s;false;false
pfdn;72s;false;false
pfdn;77s;false;false
pfdn;7s;false;false
pfdn;81s;false;false
pfdn;85s;false;false
pfdn;91s;false;false
pfdn;92s;false;false
pfdn;93s;false;false
pfdn;97s;false;false
