set;number;no_foil;foil
pfin;104s;false;false
pfin;105s;false;false
pfin;108s;false;false
pfin;10s;false;false
pfin;115s;false;false
pfin;121s;false;false
pfin;125s;false;false
pfin;127s;false;false
pfin;128s;false;false
pfin;133s;false;false
pfin;135s;false;false
pfin;137s;false;false
pfin;139s;false;false
pfin;146s;false;false
pfin;151s;false;false
pfin;156s;false;false
pfin;160s;false;false
pfin;162s;false;false
pfin;166s;false;false
pfin;168s;false;false
pfin;16s;false;false
pfin;170s;false;false
pfin;172s;false;false
pfin;175s;false;false
pfin;184s;false;false
pfin;185s;false;false
pfin;191s;false;false
pfin;196s;false;false
pfin;199s;false;false
pfin;1s;false;false
pfin;204s;false;false
pfin;205s;false;false
pfin;206s;false;false
pfin;20s;false;false
pfin;210s;false;false
pfin;212s;false;false
pfin;213s;false;false
pfin;215s;false;false
pfin;218s;false;false
pfin;225s;false;false
pfin;226s;false;false
pfin;228s;false;false
pfin;229s;false;false
pfin;231s;false;false
pfin;232s;false;false
pfin;233s;false;false
pfin;235s;false;false
pfin;23s;false;false
pfin;240s;false;false
pfin;242s;false;false
pfin;243s;false;false
pfin;244s;false;false
pfin;245s;false;false
pfin;248s;false;false
pfin;249s;false;false
pfin;250s;false;false
pfin;253s;false;false
pfin;255s;false;false
pfin;257s;false;false
pfin;258s;false;false
pfin;264s;false;false
pfin;267s;false;false
pfin;26s;false;false
pfin;272s;false;false
pfin;275s;false;false
pfin;27s;false;false
pfin;283s;false;false
pfin;284s;false;false
pfin;285s;false;false
pfin;286s;false;false
pfin;289s;false;false
pfin;293s;false;false
pfin;2s;false;false
pfin;34s;false;false
pfin;36s;false;false
pfin;38s;false;false
pfin;39s;false;false
pfin;43s;false;false
pfin;46s;false;false
pfin;4s;false;false
pfin;51s;false;false
pfin;54s;false;false
pfin;58s;false;false
pfin;59s;false;false
pfin;60s;false;false
pfin;62s;false;false
pfin;63s;false;false
pfin;77s;false;false
pfin;85s;false;false
pfin;86s;false;false
pfin;89s;false;false
pfin;91s;false;false
pfin;94s;false;false
pfin;96s;false;false
