set;number;no_foil;foil
pfrf;9s;false;false
pfrf;11;false;false
pfrf;100s;false;false
pfrf;113s;false;false
pfrf;11s;false;false
pfrf;137s;false;false
pfrf;138p;false;false
pfrf;138s;false;false
pfrf;143s;false;false
pfrf;149s;false;false
pfrf;149★;false;false
pfrf;19s;false;false
pfrf;22s;false;false
pfrf;27s;false;false
pfrf;36s;false;false
pfrf;50;false;false
pfrf;146s;false;false
pfrf;155s;false;false
pfrf;157s;false;false
pfrf;50s;false;false
pfrf;52s;false;false
pfrf;54;false;false
pfrf;54s;false;false
pfrf;56s;false;false
pfrf;62;false;false
pfrf;148s;false;false
pfrf;149p;false;false
pfrf;151s;false;false
pfrf;156s;false;false
pfrf;62s;false;false
pfrf;64s;false;false
pfrf;65p;false;false
pfrf;74;false;false
pfrf;75s;false;false
pfrf;84s;false;false
pfrf;87s;false;false
pfrf;90s;false;false
pfrf;91s;false;false
pfrf;99;false;false
pfrf;99s;false;false
pfrf;137;false;false
pfrf;138;false;false
pfrf;142;false;false
