set;number;no_foil;foil
phou;2;false;false
phou;104s;false;false
phou;109s;false;false
phou;10s;false;false
phou;120s;false;false
phou;122s;false;false
phou;126s;false;false
phou;129s;false;false
phou;130s;false;false
phou;131s;false;false
phou;132s;false;false
phou;137s;false;false
phou;139s;false;false
phou;140p;false;false
phou;140s;false;false
phou;144s;false;false
phou;145s;false;false
phou;146s;false;false
phou;153s;false;false
phou;154s;false;false
phou;155s;false;false
phou;156s;false;false
phou;157s;false;false
phou;158s;false;false
phou;15p;false;false
phou;15s;false;false
phou;161s;false;false
phou;163s;false;false
phou;165p;false;false
phou;165s;false;false
phou;176s;false;false
phou;178s;false;false
phou;182s;false;false
phou;18s;false;false
phou;19s;false;false
phou;22s;false;false
phou;2s;false;false
phou;31s;false;false
phou;35s;false;false
phou;36s;false;false
phou;39s;false;false
phou;3s;false;false
phou;40s;false;false
phou;50s;false;false
phou;52s;false;false
phou;57s;false;false
phou;58s;false;false
phou;60s;false;false
phou;63s;false;false
phou;65s;false;false
phou;6s;false;false
phou;73s;false;false
phou;77p;false;false
phou;77s;false;false
phou;83;false;false
phou;87s;false;false
phou;90s;false;false
phou;96s;false;false
phou;97s;false;false
phou;98s;false;false
phou;109;false;false
phou;129;false;false
