set;number;no_foil;foil
phuk;1;false;false
phuk;2;false;false
phuk;3;false;false
phuk;4;false;false
phuk;5;false;false
phuk;6;false;false
phuk;7;false;false
phuk;8;false;false
phuk;9;false;false
phuk;10;false;false
phuk;11;false;false
phuk;12;false;false
phuk;13;false;false
phuk;14;false;false
phuk;15;false;false
phuk;16;false;false
phuk;17;false;false
phuk;18;false;false
phuk;19;false;false
phuk;20;false;false
phuk;21;false;false
phuk;22;false;false
phuk;23;false;false
phuk;24;false;false
phuk;25;false;false
phuk;26;false;false
phuk;27;false;false
phuk;28;false;false
phuk;29;false;false
phuk;30;false;false
phuk;31;false;false
phuk;32;false;false
phuk;33;false;false
phuk;34;false;false
phuk;35;false;false
phuk;36;false;false
phuk;37;false;false
phuk;38;false;false
phuk;39;false;false
phuk;40;false;false
phuk;41;false;false
phuk;42;false;false
phuk;43;false;false
phuk;44;false;false
phuk;45;false;false
phuk;46;false;false
phuk;47;false;false
phuk;48;false;false
phuk;49;false;false
phuk;50;false;false
phuk;51;false;false
phuk;52;false;false
phuk;53;false;false
phuk;54;false;false
phuk;55;false;false
phuk;56;false;false
phuk;57;false;false
phuk;58;false;false
phuk;59;false;false
phuk;60;false;false
