set;number;no_foil;foil
piko;114p;false;false
piko;114s;false;false
piko;11p;false;false
piko;11s;false;false
piko;125p;false;false
piko;125s;false;false
piko;127p;false;false
piko;127s;false;false
piko;139p;false;false
piko;139s;false;false
piko;141p;false;false
piko;141s;false;false
piko;148p;false;false
piko;148s;false;false
piko;155p;false;false
piko;155s;false;false
piko;162p;false;false
piko;162s;false;false
piko;162★;false;false
piko;168p;false;false
piko;168s;false;false
piko;175p;false;false
piko;175s;false;false
piko;179p;false;false
piko;179s;false;false
piko;181p;false;false
piko;181s;false;false
piko;182p;false;false
piko;182s;false;false
piko;184p;false;false
piko;184s;false;false
piko;185p;false;false
piko;185s;false;false
piko;186p;false;false
piko;186s;false;false
piko;187p;false;false
piko;187s;false;false
piko;189p;false;false
piko;189s;false;false
piko;190p;false;false
piko;190s;false;false
piko;191p;false;false
piko;191s;false;false
piko;192p;false;false
piko;192s;false;false
piko;193p;false;false
piko;193s;false;false
piko;195p;false;false
piko;195s;false;false
piko;197p;false;false
piko;197s;false;false
piko;198p;false;false
piko;198s;false;false
piko;19p;false;false
piko;19s;false;false
piko;201p;false;false
piko;201s;false;false
piko;203p;false;false
piko;203s;false;false
piko;204p;false;false
piko;204s;false;false
piko;207p;false;false
piko;207s;false;false
piko;208p;false;false
piko;208s;false;false
piko;209p;false;false
piko;209s;false;false
piko;210p;false;false
piko;210s;false;false
piko;212p;false;false
piko;212s;false;false
piko;214p;false;false
piko;214s;false;false
piko;215p;false;false
piko;215s;false;false
piko;216p;false;false
piko;216s;false;false
piko;21p;false;false
piko;21s;false;false
piko;220p;false;false
piko;220s;false;false
piko;221p;false;false
piko;221s;false;false
piko;222p;false;false
piko;222s;false;false
piko;224p;false;false
piko;224s;false;false
piko;225p;false;false
piko;225s;false;false
piko;226p;false;false
piko;226s;false;false
piko;227p;false;false
piko;227s;false;false
piko;228p;false;false
piko;228s;false;false
piko;231p;false;false
piko;231s;false;false
piko;232p;false;false
piko;232s;false;false
piko;233p;false;false
piko;233s;false;false
piko;234p;false;false
piko;234s;false;false
piko;237p;false;false
piko;237s;false;false
piko;245p;false;false
piko;245s;false;false
piko;248p;false;false
piko;248s;false;false
piko;24p;false;false
piko;24s;false;false
piko;250p;false;false
piko;250s;false;false
piko;251p;false;false
piko;251s;false;false
piko;253p;false;false
piko;253s;false;false
piko;259p;false;false
piko;259s;false;false
piko;58p;false;false
piko;58s;false;false
piko;66p;false;false
piko;66s;false;false
piko;67p;false;false
piko;67s;false;false
piko;70p;false;false
piko;70s;false;false
piko;7p;false;false
piko;7s;false;false
piko;84p;false;false
piko;84s;false;false
piko;88p;false;false
piko;88s;false;false
piko;92p;false;false
piko;92s;false;false
piko;97p;false;false
piko;97s;false;false
