set;number;no_foil;foil
pio;1;false;false
pio;2;false;false
pio;3;false;false
pio;4;false;false
pio;5;false;false
pio;6;false;false
pio;7;false;false
pio;8;false;false
pio;9;false;false
pio;10;false;false
pio;11;false;false
pio;12;false;false
pio;13;false;false
pio;14;false;false
pio;15;false;false
pio;16;false;false
pio;17;false;false
pio;18;false;false
pio;19;false;false
pio;20;false;false
pio;21;false;false
pio;22;false;false
pio;23;false;false
pio;24;false;false
pio;25;false;false
pio;26;false;false
pio;27;false;false
pio;28;false;false
pio;29;false;false
pio;30;false;false
pio;31;false;false
pio;32;false;false
pio;33;false;false
pio;34;false;false
pio;35;false;false
pio;36;false;false
pio;37;false;false
pio;38;false;false
pio;39;false;false
pio;40;false;false
pio;41;false;false
pio;42;false;false
pio;43;false;false
pio;44;false;false
pio;45;false;false
pio;46;false;false
pio;47;false;false
pio;48;false;false
pio;49;false;false
pio;50;false;false
pio;51;false;false
pio;52;false;false
pio;53;false;false
pio;54;false;false
pio;55;false;false
pio;56;false;false
pio;57;false;false
pio;58;false;false
pio;59;false;false
pio;60;false;false
pio;61;false;false
pio;62;false;false
pio;63;false;false
pio;64;false;false
pio;65;false;false
pio;66;false;false
pio;67;false;false
pio;68;false;false
pio;69;false;false
pio;70;false;false
pio;71;false;false
pio;72;false;false
pio;73;false;false
pio;74;false;false
pio;75;false;false
pio;76;false;false
pio;77;false;false
pio;78;false;false
pio;79;false;false
pio;80;false;false
pio;81;false;false
pio;82;false;false
pio;83;false;false
pio;84;false;false
pio;85;false;false
pio;86;false;false
pio;87;false;false
pio;88;false;false
pio;89;false;false
pio;90;false;false
pio;91;false;false
pio;92;false;false
pio;93;false;false
pio;94;false;false
pio;95;false;false
pio;96;false;false
pio;97;false;false
pio;98;false;false
pio;99;false;false
pio;100;false;false
pio;101;false;false
pio;102;false;false
pio;103;false;false
pio;104;false;false
pio;105;false;false
pio;106;false;false
pio;107;false;false
pio;108;false;false
pio;109;false;false
pio;110;false;false
pio;111;false;false
pio;112;false;false
pio;113;false;false
pio;114;false;false
pio;115;false;false
pio;116;false;false
pio;117;false;false
pio;118;false;false
pio;119;false;false
pio;120;false;false
pio;121;false;false
pio;122;false;false
pio;123;false;false
pio;124;false;false
pio;125;false;false
pio;126;false;false
pio;127;false;false
pio;128;false;false
pio;129;false;false
pio;130;false;false
pio;131;false;false
pio;132;false;false
pio;133;false;false
pio;134;false;false
pio;135;false;false
pio;136;false;false
pio;137;false;false
pio;138;false;false
pio;139;false;false
pio;140;false;false
pio;141;false;false
pio;142;false;false
pio;143;false;false
pio;144;false;false
pio;145;false;false
pio;146;false;false
pio;147;false;false
pio;148;false;false
pio;149;false;false
pio;150;false;false
pio;151;false;false
pio;152;false;false
pio;153;false;false
pio;154;false;false
pio;155;false;false
pio;156;false;false
pio;157;false;false
pio;158;false;false
pio;159;false;false
pio;160;false;false
pio;161;false;false
pio;162;false;false
pio;163;false;false
pio;164;false;false
pio;165;false;false
pio;166;false;false
pio;167;false;false
pio;168;false;false
pio;169;false;false
pio;170;false;false
pio;171;false;false
pio;172;false;false
pio;173;false;false
pio;174;false;false
pio;175;false;false
pio;176;false;false
pio;177;false;false
pio;178;false;false
pio;179;false;false
pio;180;false;false
pio;181;false;false
pio;182;false;false
pio;183;false;false
pio;184;false;false
pio;185;false;false
pio;186;false;false
pio;187;false;false
pio;188;false;false
pio;189;false;false
pio;190;false;false
pio;191;false;false
pio;192;false;false
pio;193;false;false
pio;194;false;false
pio;195;false;false
pio;196;false;false
pio;197;false;false
pio;198;false;false
pio;199;false;false
pio;200;false;false
pio;201;false;false
pio;202;false;false
pio;203;false;false
pio;204;false;false
pio;205;false;false
pio;206;false;false
pio;207;false;false
pio;208;false;false
pio;209;false;false
pio;210;false;false
pio;211;false;false
pio;212;false;false
pio;213;false;false
pio;214;false;false
pio;215;false;false
pio;216;false;false
pio;217;false;false
pio;218;false;false
pio;219;false;false
pio;220;false;false
pio;221;false;false
pio;222;false;false
pio;223;false;false
pio;224;false;false
pio;225;false;false
pio;226;false;false
pio;227;false;false
pio;228;false;false
pio;229;false;false
pio;230;false;false
pio;231;false;false
pio;232;false;false
pio;233;false;false
pio;234;false;false
pio;235;false;false
pio;236;false;false
pio;237;false;false
pio;238;false;false
pio;239;false;false
pio;240;false;false
pio;241;false;false
pio;242;false;false
pio;243;false;false
pio;244;false;false
pio;245;false;false
