set;number;no_foil;foil
pip;1;false;false
pip;2;false;false
pip;3;false;false
pip;4;false;false
pip;5;false;false
pip;6;false;false
pip;7;false;false
pip;8;false;false
pip;9;false;false
pip;10;false;false
pip;11;false;false
pip;12;false;false
pip;13;false;false
pip;14;false;false
pip;15;false;false
pip;16;false;false
pip;17;false;false
pip;18;false;false
pip;19;false;false
pip;20;false;false
pip;21;false;false
pip;22;false;false
pip;23;false;false
pip;24;false;false
pip;25;false;false
pip;26;false;false
pip;27;false;false
pip;28;false;false
pip;29;false;false
pip;30;false;false
pip;31;false;false
pip;32;false;false
pip;33;false;false
pip;34;false;false
pip;35;false;false
pip;36;false;false
pip;37;false;false
pip;38;false;false
pip;39;false;false
pip;40;false;false
pip;41;false;false
pip;42;false;false
pip;43;false;false
pip;44;false;false
pip;45;false;false
pip;46;false;false
pip;47;false;false
pip;48;false;false
pip;49;false;false
pip;50;false;false
pip;51;false;false
pip;52;false;false
pip;53;false;false
pip;54;false;false
pip;55;false;false
pip;56;false;false
pip;57;false;false
pip;58;false;false
pip;59;false;false
pip;60;false;false
pip;61;false;false
pip;62;false;false
pip;63;false;false
pip;64;false;false
pip;65;false;false
pip;66;false;false
pip;67;false;false
pip;68;false;false
pip;69;false;false
pip;70;false;false
pip;71;false;false
pip;72;false;false
pip;73;false;false
pip;74;false;false
pip;75;false;false
pip;76;false;false
pip;77;false;false
pip;78;false;false
pip;79;false;false
pip;80;false;false
pip;81;false;false
pip;82;false;false
pip;83;false;false
pip;84;false;false
pip;85;false;false
pip;86;false;false
pip;87;false;false
pip;88;false;false
pip;89;false;false
pip;90;false;false
pip;91;false;false
pip;92;false;false
pip;93;false;false
pip;94;false;false
pip;95;false;false
pip;96;false;false
pip;97;false;false
pip;98;false;false
pip;99;false;false
pip;100;false;false
pip;101;false;false
pip;102;false;false
pip;103;false;false
pip;104;false;false
pip;105;false;false
pip;106;false;false
pip;107;false;false
pip;108;false;false
pip;109;false;false
pip;110;false;false
pip;111;false;false
pip;112;false;false
pip;113;false;false
pip;114;false;false
pip;115;false;false
pip;116;false;false
pip;117;false;false
pip;118;false;false
pip;119;false;false
pip;120;false;false
pip;121;false;false
pip;122;false;false
pip;123;false;false
pip;124;false;false
pip;125;false;false
pip;126;false;false
pip;127;false;false
pip;128;false;false
pip;129;false;false
pip;130;false;false
pip;131;false;false
pip;132;false;false
pip;133;false;false
pip;134;false;false
pip;135;false;false
pip;136;false;false
pip;137;false;false
pip;138;false;false
pip;139;false;false
pip;140;false;false
pip;141;false;false
pip;142;false;false
pip;143;false;false
pip;144;false;false
pip;145;false;false
pip;146;false;false
pip;147;false;false
pip;148;false;false
pip;149;false;false
pip;150;false;false
pip;151;false;false
pip;152;false;false
pip;153;false;false
pip;154;false;false
pip;155;false;false
pip;156;false;false
pip;157;false;false
pip;158;false;false
pip;159;false;false
pip;160;false;false
pip;161;false;false
pip;162;false;false
pip;163;false;false
pip;164;false;false
pip;165;false;false
pip;166;false;false
pip;167;false;false
pip;168;false;false
pip;169;false;false
pip;170;false;false
pip;171;false;false
pip;172;false;false
pip;173;false;false
pip;174;false;false
pip;175;false;false
pip;176;false;false
pip;177;false;false
pip;178;false;false
pip;179;false;false
pip;180;false;false
pip;181;false;false
pip;182;false;false
pip;183;false;false
pip;184;false;false
pip;185;false;false
pip;186;false;false
pip;187;false;false
pip;188;false;false
pip;189;false;false
pip;190;false;false
pip;191;false;false
pip;192;false;false
pip;193;false;false
pip;194;false;false
pip;195;false;false
pip;196;false;false
pip;197;false;false
pip;198;false;false
pip;199;false;false
pip;200;false;false
pip;201;false;false
pip;202;false;false
pip;203;false;false
pip;204;false;false
pip;205;false;false
pip;206;false;false
pip;207;false;false
pip;208;false;false
pip;209;false;false
pip;210;false;false
pip;211;false;false
pip;212;false;false
pip;213;false;false
pip;214;false;false
pip;215;false;false
pip;216;false;false
pip;217;false;false
pip;218;false;false
pip;219;false;false
pip;220;false;false
pip;221;false;false
pip;222;false;false
pip;223;false;false
pip;224;false;false
pip;225;false;false
pip;226;false;false
pip;227;false;false
pip;228;false;false
pip;229;false;false
pip;230;false;false
pip;231;false;false
pip;232;false;false
pip;233;false;false
pip;234;false;false
pip;235;false;false
pip;236;false;false
pip;237;false;false
pip;238;false;false
pip;239;false;false
pip;240;false;false
pip;241;false;false
pip;242;false;false
pip;243;false;false
pip;244;false;false
pip;245;false;false
pip;246;false;false
pip;247;false;false
pip;248;false;false
pip;249;false;false
pip;250;false;false
pip;251;false;false
pip;252;false;false
pip;253;false;false
pip;254;false;false
pip;255;false;false
pip;256;false;false
pip;257;false;false
pip;258;false;false
pip;259;false;false
pip;260;false;false
pip;261;false;false
pip;262;false;false
pip;263;false;false
pip;264;false;false
pip;265;false;false
pip;266;false;false
pip;267;false;false
pip;268;false;false
pip;269;false;false
pip;270;false;false
pip;271;false;false
pip;272;false;false
pip;273;false;false
pip;274;false;false
pip;275;false;false
pip;276;false;false
pip;277;false;false
pip;278;false;false
pip;279;false;false
pip;280;false;false
pip;281;false;false
pip;282;false;false
pip;283;false;false
pip;284;false;false
pip;285;false;false
pip;286;false;false
pip;287;false;false
pip;288;false;false
pip;289;false;false
pip;290;false;false
pip;291;false;false
pip;292;false;false
pip;293;false;false
pip;294;false;false
pip;295;false;false
pip;296;false;false
pip;297;false;false
pip;298;false;false
pip;299;false;false
pip;300;false;false
pip;301;false;false
pip;302;false;false
pip;303;false;false
pip;304;false;false
pip;305;false;false
pip;306;false;false
pip;307;false;false
pip;308;false;false
pip;309;false;false
pip;310;false;false
pip;311;false;false
pip;312;false;false
pip;313;false;false
pip;314;false;false
pip;315;false;false
pip;316;false;false
pip;317;false;false
pip;318;false;false
pip;319;false;false
pip;320;false;false
pip;321;false;false
pip;322;false;false
pip;323;false;false
pip;324;false;false
pip;325;false;false
pip;326;false;false
pip;327;false;false
pip;328;false;false
pip;329;false;false
pip;330;false;false
pip;331;false;false
pip;332;false;false
pip;333;false;false
pip;334;false;false
pip;335;false;false
pip;336;false;false
pip;337;false;false
pip;338;false;false
pip;339;false;false
pip;340;false;false
pip;341;false;false
pip;342;false;false
pip;343;false;false
pip;344;false;false
pip;345;false;false
pip;346;false;false
pip;347;false;false
pip;348;false;false
pip;349;false;false
pip;350;false;false
pip;351;false;false
pip;352;false;false
pip;353;false;false
pip;354;false;false
pip;355;false;false
pip;356;false;false
pip;357;false;false
pip;358;false;false
pip;359;false;false
pip;360;false;false
pip;361;false;false
pip;362;false;false
pip;363;false;false
pip;364;false;false
pip;365;false;false
pip;366;false;false
pip;367;false;false
pip;368;false;false
pip;369;false;false
pip;370;false;false
pip;371;false;false
pip;372;false;false
pip;373;false;false
pip;374;false;false
pip;375;false;false
pip;376;false;false
pip;377;false;false
pip;378;false;false
pip;379;false;false
pip;380;false;false
pip;381;false;false
pip;382;false;false
pip;383;false;false
pip;384;false;false
pip;385;false;false
pip;386;false;false
pip;387;false;false
pip;388;false;false
pip;389;false;false
pip;390;false;false
pip;391;false;false
pip;392;false;false
pip;393;false;false
pip;394;false;false
pip;395;false;false
pip;396;false;false
pip;397;false;false
pip;398;false;false
pip;399;false;false
pip;400;false;false
pip;401;false;false
pip;402;false;false
pip;403;false;false
pip;404;false;false
pip;405;false;false
pip;406;false;false
pip;407;false;false
pip;408;false;false
pip;409;false;false
pip;410;false;false
pip;411;false;false
pip;412;false;false
pip;413;false;false
pip;414;false;false
pip;415;false;false
pip;416;false;false
pip;417;false;false
pip;418;false;false
pip;419;false;false
pip;420;false;false
pip;421;false;false
pip;422;false;false
pip;423;false;false
pip;424;false;false
pip;425;false;false
pip;426;false;false
pip;427;false;false
pip;428;false;false
pip;429;false;false
pip;430;false;false
pip;431;false;false
pip;432;false;false
pip;433;false;false
pip;434;false;false
pip;435;false;false
pip;436;false;false
pip;437;false;false
pip;438;false;false
pip;439;false;false
pip;440;false;false
pip;441;false;false
pip;442;false;false
pip;443;false;false
pip;444;false;false
pip;445;false;false
pip;446;false;false
pip;447;false;false
pip;448;false;false
pip;449;false;false
pip;450;false;false
pip;451;false;false
pip;452;false;false
pip;453;false;false
pip;454;false;false
pip;455;false;false
pip;456;false;false
pip;457;false;false
pip;458;false;false
pip;459;false;false
pip;460;false;false
pip;461;false;false
pip;462;false;false
pip;463;false;false
pip;464;false;false
pip;465;false;false
pip;466;false;false
pip;467;false;false
pip;468;false;false
pip;469;false;false
pip;470;false;false
pip;471;false;false
pip;472;false;false
pip;473;false;false
pip;474;false;false
pip;475;false;false
pip;476;false;false
pip;477;false;false
pip;478;false;false
pip;479;false;false
pip;480;false;false
pip;481;false;false
pip;482;false;false
pip;483;false;false
pip;484;false;false
pip;485;false;false
pip;486;false;false
pip;487;false;false
pip;488;false;false
pip;489;false;false
pip;490;false;false
pip;491;false;false
pip;492;false;false
pip;493;false;false
pip;494;false;false
pip;495;false;false
pip;496;false;false
pip;497;false;false
pip;498;false;false
pip;499;false;false
pip;500;false;false
pip;501;false;false
pip;502;false;false
pip;503;false;false
pip;504;false;false
pip;505;false;false
pip;506;false;false
pip;507;false;false
pip;508;false;false
pip;509;false;false
pip;510;false;false
pip;511;false;false
pip;512;false;false
pip;513;false;false
pip;514;false;false
pip;515;false;false
pip;516;false;false
pip;517;false;false
pip;518;false;false
pip;519;false;false
pip;520;false;false
pip;521;false;false
pip;522;false;false
pip;523;false;false
pip;524;false;false
pip;525;false;false
pip;526;false;false
pip;527;false;false
pip;528;false;false
pip;529;false;false
pip;530;false;false
pip;531;false;false
pip;532;false;false
pip;533;false;false
pip;534;false;false
pip;535;false;false
pip;536;false;false
pip;537;false;false
pip;538;false;false
pip;539;false;false
pip;540;false;false
pip;541;false;false
pip;542;false;false
pip;543;false;false
pip;544;false;false
pip;545;false;false
pip;546;false;false
pip;547;false;false
pip;548;false;false
pip;549;false;false
pip;550;false;false
pip;551;false;false
pip;552;false;false
pip;553;false;false
pip;554;false;false
pip;555;false;false
