set;number;no_foil;foil
pkhm;1;false;false
pkhm;107p;false;false
pkhm;107s;false;false
pkhm;109p;false;false
pkhm;109s;false;false
pkhm;112s;false;false
pkhm;114s;false;false
pkhm;115p;false;false
pkhm;115s;false;false
pkhm;120p;false;false
pkhm;120s;false;false
pkhm;123s;false;false
pkhm;125p;false;false
pkhm;125s;false;false
pkhm;125★;false;false
pkhm;12p;false;false
pkhm;12s;false;false
pkhm;131p;false;false
pkhm;131s;false;false
pkhm;139p;false;false
pkhm;139s;false;false
pkhm;142p;false;false
pkhm;142s;false;false
pkhm;145p;false;false
pkhm;145s;false;false
pkhm;146p;false;false
pkhm;146s;false;false
pkhm;153p;false;false
pkhm;153s;false;false
pkhm;154s;false;false
pkhm;156p;false;false
pkhm;156s;false;false
pkhm;15s;false;false
pkhm;160p;false;false
pkhm;160s;false;false
pkhm;161p;false;false
pkhm;161s;false;false
pkhm;167p;false;false
pkhm;167s;false;false
pkhm;168s;false;false
pkhm;169p;false;false
pkhm;169s;false;false
pkhm;177p;false;false
pkhm;177s;false;false
pkhm;179s;false;false
pkhm;181s;false;false
pkhm;185p;false;false
pkhm;185s;false;false
pkhm;188p;false;false
pkhm;188s;false;false
pkhm;197p;false;false
pkhm;197s;false;false
pkhm;198p;false;false
pkhm;198s;false;false
pkhm;199p;false;false
pkhm;199s;false;false
pkhm;203p;false;false
pkhm;203s;false;false
pkhm;204p;false;false
pkhm;204s;false;false
pkhm;205p;false;false
pkhm;205s;false;false
pkhm;207p;false;false
pkhm;207s;false;false
pkhm;20p;false;false
pkhm;20s;false;false
pkhm;210p;false;false
pkhm;210s;false;false
pkhm;213p;false;false
pkhm;213s;false;false
pkhm;214p;false;false
pkhm;214s;false;false
pkhm;218p;false;false
pkhm;218s;false;false
pkhm;219p;false;false
pkhm;219s;false;false
pkhm;21s;false;false
pkhm;221p;false;false
pkhm;221s;false;false
pkhm;225p;false;false
pkhm;225s;false;false
pkhm;227p;false;false
pkhm;227s;false;false
pkhm;228p;false;false
pkhm;228s;false;false
pkhm;229p;false;false
pkhm;229s;false;false
pkhm;22p;false;false
pkhm;22s;false;false
pkhm;234p;false;false
pkhm;234s;false;false
pkhm;237p;false;false
pkhm;237s;false;false
pkhm;240p;false;false
pkhm;240s;false;false
pkhm;241p;false;false
pkhm;241s;false;false
pkhm;24p;false;false
pkhm;24s;false;false
pkhm;251s;false;false
pkhm;252s;false;false
pkhm;254s;false;false
pkhm;255p;false;false
pkhm;255s;false;false
pkhm;260s;false;false
pkhm;26p;false;false
pkhm;26s;false;false
pkhm;272p;false;false
pkhm;272s;false;false
pkhm;275p;false;false
pkhm;275s;false;false
pkhm;27p;false;false
pkhm;27s;false;false
pkhm;29p;false;false
pkhm;29s;false;false
pkhm;2★;false;false
pkhm;33p;false;false
pkhm;33s;false;false
pkhm;374★;false;false
pkhm;376★;false;false
pkhm;40s;false;false
pkhm;41p;false;false
pkhm;41s;false;false
pkhm;43p;false;false
pkhm;43s;false;false
pkhm;50s;false;false
pkhm;51p;false;false
pkhm;51s;false;false
pkhm;52p;false;false
pkhm;52s;false;false
pkhm;52★;false;false
pkhm;61p;false;false
pkhm;61s;false;false
pkhm;63p;false;false
pkhm;63s;false;false
pkhm;69p;false;false
pkhm;69s;false;false
pkhm;70p;false;false
pkhm;70s;false;false
pkhm;73p;false;false
pkhm;73s;false;false
pkhm;79p;false;false
pkhm;79s;false;false
pkhm;81p;false;false
pkhm;81s;false;false
pkhm;82p;false;false
pkhm;82s;false;false
pkhm;86p;false;false
pkhm;86s;false;false
pkhm;90p;false;false
pkhm;90s;false;false
pkhm;92s;false;false
pkhm;94p;false;false
pkhm;94s;false;false
pkhm;98p;false;false
pkhm;98s;false;false
pkhm;9p;false;false
pkhm;9s;false;false
