set;number;no_foil;foil
pkld;101s;false;false
pkld;110s;false;false
pkld;112p;false;false
pkld;112s;false;false
pkld;114s;false;false
pkld;121s;false;false
pkld;122s;false;false
pkld;124s;false;false
pkld;130s;false;false
pkld;136s;false;false
pkld;143s;false;false
pkld;15p;false;false
pkld;15s;false;false
pkld;21s;false;false
pkld;32s;false;false
pkld;39s;false;false
pkld;3s;false;false
pkld;41s;false;false
pkld;4s;false;false
pkld;52s;false;false
pkld;56s;false;false
pkld;59p;false;false
pkld;59s;false;false
pkld;5p;false;false
pkld;5s;false;false
pkld;60s;false;false
pkld;62s;false;false
pkld;67s;false;false
pkld;73s;false;false
pkld;78s;false;false
pkld;84p;false;false
pkld;84s;false;false
pkld;88s;false;false
pkld;8s;false;false
pkld;90s;false;false
pkld;92s;false;false
pkld;96p;false;false
pkld;96s;false;false
pkld;9s;false;false
pkld;62;false;false
pkld;80;false;false
pkld;130;false;false
pkld;147s;false;false
pkld;147★;false;false
pkld;151;false;false
pkld;151s;false;false
pkld;152s;false;false
pkld;163p;false;false
pkld;163s;false;false
pkld;165s;false;false
pkld;172s;false;false
pkld;174s;false;false
pkld;178s;false;false
pkld;179s;false;false
pkld;183s;false;false
pkld;184p;false;false
pkld;184s;false;false
pkld;186s;false;false
pkld;192s;false;false
pkld;193s;false;false
pkld;194s;false;false
pkld;199s;false;false
pkld;200;false;false
pkld;203s;false;false
pkld;204s;false;false
pkld;208s;false;false
pkld;210s;false;false
pkld;214s;false;false
pkld;216p;false;false
pkld;216s;false;false
pkld;220s;false;false
pkld;222s;false;false
pkld;223s;false;false
pkld;226s;false;false
pkld;231s;false;false
pkld;234s;false;false
pkld;235s;false;false
pkld;243s;false;false
pkld;244s;false;false
pkld;245s;false;false
pkld;246s;false;false
pkld;247s;false;false
pkld;249s;false;false
