set;number;no_foil;foil
pktk;106s;false;false
pktk;108s;false;false
pktk;113s;false;false
pktk;12s;false;false
pktk;133p;false;false
pktk;133s;false;false
pktk;13s;false;false
pktk;144s;false;false
pktk;154s;false;false
pktk;160s;false;false
pktk;163s;false;false
pktk;164s;false;false
pktk;166s;false;false
pktk;168s;false;false
pktk;171s;false;false
pktk;173s;false;false
pktk;174s;false;false
pktk;176s;false;false
pktk;179s;false;false
pktk;180s;false;false
pktk;182s;false;false
pktk;185s;false;false
pktk;18s;false;false
pktk;190s;false;false
pktk;193s;false;false
pktk;195s;false;false
pktk;199s;false;false
pktk;200s;false;false
pktk;203s;false;false
pktk;206s;false;false
pktk;207p;false;false
pktk;207s;false;false
pktk;209s;false;false
pktk;210p;false;false
pktk;210s;false;false
pktk;211p;false;false
pktk;211s;false;false
pktk;214s;false;false
pktk;34p;false;false
pktk;36p;false;false
pktk;36s;false;false
pktk;42s;false;false
pktk;58s;false;false
pktk;66s;false;false
pktk;73s;false;false
pktk;82s;false;false
pktk;134;false;false
pktk;144;false;false
pktk;164;false;false
pktk;166;false;false
pktk;179;false;false
pktk;193;false;false
pktk;195;false;false
pktk;204;false;false
pktk;210;false;false
pktk;219;false;false
