set;number;no_foil;foil
plc;1;false;false
plc;2;false;false
plc;3;false;false
plc;4;false;false
plc;5;false;false
plc;6;false;false
plc;7;false;false
plc;8;false;false
plc;9;false;false
plc;10;false;false
plc;11;false;false
plc;12;false;false
plc;13;false;false
plc;14;false;false
plc;15;false;false
plc;16;false;false
plc;17;false;false
plc;18;false;false
plc;19;false;false
plc;20;false;false
plc;21;false;false
plc;22;false;false
plc;23;false;false
plc;24;false;false
plc;25;false;false
plc;26;false;false
plc;27;false;false
plc;28;false;false
plc;29;false;false
plc;30;false;false
plc;31;false;false
plc;32;false;false
plc;33;false;false
plc;34;false;false
plc;35;false;false
plc;36;false;false
plc;37;false;false
plc;38;false;false
plc;39;false;false
plc;40;false;false
plc;41;false;false
plc;42;false;false
plc;43;false;false
plc;44;false;false
plc;45;false;false
plc;46;false;false
plc;47;false;false
plc;48;false;false
plc;49;false;false
plc;50;false;false
plc;51;false;false
plc;52;false;false
plc;53;false;false
plc;54;false;false
plc;55;false;false
plc;56;false;false
plc;57;false;false
plc;58;false;false
plc;59;false;false
plc;60;false;false
plc;61;false;false
plc;62;false;false
plc;63;false;false
plc;64;false;false
plc;65;false;false
plc;66;false;false
plc;67;false;false
plc;68;false;false
plc;69;false;false
plc;70;false;false
plc;71;false;false
plc;72;false;false
plc;73;false;false
plc;74;false;false
plc;75;false;false
plc;76;false;false
plc;77;false;false
plc;78;false;false
plc;79;false;false
plc;80;false;false
plc;81;false;false
plc;82;false;false
plc;83;false;false
plc;84;false;false
plc;85;false;false
plc;86;false;false
plc;87;false;false
plc;88;false;false
plc;89;false;false
plc;90;false;false
plc;91;false;false
plc;92;false;false
plc;93;false;false
plc;94;false;false
plc;95;false;false
plc;96;false;false
plc;97;false;false
plc;98;false;false
plc;99;false;false
plc;100;false;false
plc;101;false;false
plc;102;false;false
plc;103;false;false
plc;104;false;false
plc;105;false;false
plc;106;false;false
plc;107;false;false
plc;108;false;false
plc;109;false;false
plc;110;false;false
plc;111;false;false
plc;112;false;false
plc;113;false;false
plc;114;false;false
plc;115;false;false
plc;116;false;false
plc;117;false;false
plc;118;false;false
plc;119;false;false
plc;120;false;false
plc;121;false;false
plc;122;false;false
plc;123;false;false
plc;124;false;false
plc;125;false;false
plc;126;false;false
plc;127;false;false
plc;128;false;false
plc;129;false;false
plc;130;false;false
plc;131;false;false
plc;132;false;false
plc;133;false;false
plc;134;false;false
plc;135;false;false
plc;136;false;false
plc;137;false;false
plc;138;false;false
plc;139;false;false
plc;140;false;false
plc;141;false;false
plc;142;false;false
plc;143;false;false
plc;144;false;false
plc;145;false;false
plc;146;false;false
plc;147;false;false
plc;148;false;false
plc;149;false;false
plc;150;false;false
plc;151;false;false
plc;152;false;false
plc;153;false;false
plc;154;false;false
plc;155;false;false
plc;156;false;false
plc;157;false;false
plc;158;false;false
plc;159;false;false
plc;160;false;false
plc;161;false;false
plc;162;false;false
plc;163;false;false
plc;164;false;false
plc;165;false;false
