set;number;no_foil;foil
plci;113p;false;false
plci;113s;false;false
plci;115p;false;false
plci;115s;false;false
plci;121p;false;false
plci;121s;false;false
plci;122p;false;false
plci;122s;false;false
plci;123p;false;false
plci;123s;false;false
plci;127p;false;false
plci;127s;false;false
plci;12p;false;false
plci;12s;false;false
plci;134p;false;false
plci;134s;false;false
plci;137p;false;false
plci;137s;false;false
plci;14p;false;false
plci;14s;false;false
plci;153p;false;false
plci;153s;false;false
plci;156p;false;false
plci;156s;false;false
plci;157p;false;false
plci;157s;false;false
plci;161p;false;false
plci;161s;false;false
plci;171p;false;false
plci;171s;false;false
plci;176p;false;false
plci;176s;false;false
plci;181p;false;false
plci;181s;false;false
plci;185p;false;false
plci;185s;false;false
plci;191p;false;false
plci;191s;false;false
plci;193p;false;false
plci;193s;false;false
plci;196p;false;false
plci;196s;false;false
plci;1p;false;false
plci;1s;false;false
plci;208p;false;false
plci;208s;false;false
plci;20p;false;false
plci;20s;false;false
plci;211p;false;false
plci;211s;false;false
plci;212p;false;false
plci;212s;false;false
plci;219p;false;false
plci;219s;false;false
plci;221p;false;false
plci;221s;false;false
plci;222p;false;false
plci;222s;false;false
plci;223p;false;false
plci;223s;false;false
plci;225p;false;false
plci;225s;false;false
plci;228p;false;false
plci;228s;false;false
plci;229p;false;false
plci;229s;false;false
plci;231p;false;false
plci;231s;false;false
plci;234p;false;false
plci;234s;false;false
plci;235p;false;false
plci;235s;false;false
plci;237p;false;false
plci;237s;false;false
plci;238p;false;false
plci;238s;false;false
plci;239p;false;false
plci;239s;false;false
plci;240p;false;false
plci;240s;false;false
plci;241p;false;false
plci;241s;false;false
plci;243p;false;false
plci;243s;false;false
plci;244p;false;false
plci;244s;false;false
plci;249p;false;false
plci;249s;false;false
plci;257p;false;false
plci;257s;false;false
plci;258p;false;false
plci;258s;false;false
plci;264p;false;false
plci;264s;false;false
plci;265p;false;false
plci;265s;false;false
plci;269p;false;false
plci;269s;false;false
plci;271p;false;false
plci;271s;false;false
plci;280p;false;false
plci;280s;false;false
plci;281p;false;false
plci;281s;false;false
plci;282p;false;false
plci;282s;false;false
plci;283p;false;false
plci;283s;false;false
plci;284p;false;false
plci;284s;false;false
plci;285p;false;false
plci;285s;false;false
plci;32p;false;false
plci;32s;false;false
plci;34p;false;false
plci;34s;false;false
plci;43p;false;false
plci;43s;false;false
plci;44p;false;false
plci;44s;false;false
plci;52p;false;false
plci;52s;false;false
plci;61p;false;false
plci;61s;false;false
plci;63p;false;false
plci;63s;false;false
plci;80p;false;false
plci;80s;false;false
plci;81p;false;false
plci;81s;false;false
plci;92p;false;false
plci;92s;false;false
plci;94p;false;false
plci;94s;false;false
plci;98p;false;false
plci;98s;false;false
