set;number;no_foil;foil
pls;1;false;false
pls;2;false;false
pls;3;false;false
pls;4;false;false
pls;5;false;false
pls;6;false;false
pls;7;false;false
pls;8;false;false
pls;9;false;false
pls;10;false;false
pls;11;false;false
pls;12;false;false
pls;13;false;false
pls;14;false;false
pls;15;false;false
pls;16;false;false
pls;17;false;false
pls;18;false;false
pls;19;false;false
pls;20;false;false
pls;21;false;false
pls;22;false;false
pls;23;false;false
pls;24;false;false
pls;25;false;false
pls;26;false;false
pls;27;false;false
pls;28;false;false
pls;29;false;false
pls;30;false;false
pls;31;false;false
pls;32;false;false
pls;33;false;false
pls;34;false;false
pls;35;false;false
pls;36;false;false
pls;37;false;false
pls;38;false;false
pls;39;false;false
pls;40;false;false
pls;41;false;false
pls;42;false;false
pls;43;false;false
pls;44;false;false
pls;45;false;false
pls;46;false;false
pls;47;false;false
pls;48;false;false
pls;49;false;false
pls;50;false;false
pls;51;false;false
pls;52;false;false
pls;53;false;false
pls;54;false;false
pls;55;false;false
pls;56;false;false
pls;57;false;false
pls;58;false;false
pls;59;false;false
pls;60;false;false
pls;61;false;false
pls;62;false;false
pls;63;false;false
pls;64;false;false
pls;65;false;false
pls;66;false;false
pls;67;false;false
pls;68;false;false
pls;69;false;false
pls;70;false;false
pls;71;false;false
pls;72;false;false
pls;73;false;false
pls;74;false;false
pls;74★;false;false
pls;75;false;false
pls;76;false;false
pls;77;false;false
pls;78;false;false
pls;79;false;false
pls;80;false;false
pls;81;false;false
pls;82;false;false
pls;83;false;false
pls;84;false;false
pls;85;false;false
pls;86;false;false
pls;87;false;false
pls;88;false;false
pls;89;false;false
pls;90;false;false
pls;91;false;false
pls;92;false;false
pls;93;false;false
pls;94;false;false
pls;95;false;false
pls;96;false;false
pls;97;false;false
pls;98;false;false
pls;99;false;false
pls;100;false;false
pls;101;false;false
pls;102;false;false
pls;103;false;false
pls;104;false;false
pls;105;false;false
pls;106;false;false
pls;107;false;false
pls;107★;false;false
pls;108;false;false
pls;109;false;false
pls;110;false;false
pls;111;false;false
pls;112;false;false
pls;113;false;false
pls;114;false;false
pls;115;false;false
pls;116;false;false
pls;117;false;false
pls;118;false;false
pls;119;false;false
pls;120;false;false
pls;121;false;false
pls;122;false;false
pls;123;false;false
pls;124;false;false
pls;125;false;false
pls;126;false;false
pls;127;false;false
pls;128;false;false
pls;129;false;false
pls;130;false;false
pls;131;false;false
pls;132;false;false
pls;133;false;false
pls;133★;false;false
pls;134;false;false
pls;135;false;false
pls;136;false;false
pls;137;false;false
pls;138;false;false
pls;139;false;false
pls;140;false;false
pls;141;false;false
pls;142;false;false
pls;143;false;false
