set;number;no_foil;foil
plst;2X2-9;false;false
plst;2XM-100;false;false
plst;2XM-114;false;false
plst;2XM-140;false;false
plst;2XM-178;false;false
plst;2XM-180;false;false
plst;2XM-3;false;false
plst;2XM-32;false;false
plst;2XM-52;false;false
plst;2XM-64;false;false
plst;2XM-68;false;false
plst;2XM-77;false;false
plst;2XM-79;false;false
plst;5DN-38;false;false
plst;5DN-43;false;false
plst;5DN-52;false;false
plst;5DN-75;false;false
plst;5DN-80;false;false
plst;5DN-81;false;false
plst;5DN-86;false;false
plst;5DN-97;false;false
plst;7ED-60;false;false
plst;8ED-72;false;false
plst;8ED-86;false;false
plst;AFR-302;false;false
plst;AFR-325;false;false
plst;AFR-343;false;false
plst;AFR-349;false;false
plst;C13-29;false;false
plst;C13-43;false;false
plst;C13-55;false;false
plst;C13-63;false;false
plst;C13-71;false;false
plst;C13-86;false;false
plst;C13-98;false;false
plst;C14-10;false;false
plst;C14-19;false;false
plst;C14-33;false;false
plst;C14-43;false;false
plst;C14-47;false;false
plst;C14-52;false;false
plst;C14-54;false;false
plst;C14-60;false;false
plst;C14-61;false;false
plst;C14-68;false;false
plst;C14-73;false;false
plst;C14-96;false;false
plst;C15-10;false;false
plst;C15-12;false;false
plst;C15-17;false;false
plst;C15-19;false;false
plst;C15-29;false;false
plst;C15-31;false;false
plst;C15-43;false;false
plst;C15-44;false;false
plst;C15-49;false;false
plst;C15-50;false;false
plst;C15-52;false;false
plst;C15-55;false;false
plst;C15-56;false;false
plst;C15-58;false;false
plst;C15-60;false;false
plst;C15-67;false;false
plst;C15-70;false;false
plst;C16-18;false;false
plst;C16-22;false;false
plst;C16-36;false;false
plst;C16-47;false;false
plst;C16-52;false;false
plst;C16-54;false;false
plst;C16-55;false;false
plst;C16-76;false;false
plst;C16-78;false;false
plst;C16-94;false;false
plst;C17-11;false;false
plst;C17-18;false;false
plst;C17-22;false;false
plst;C17-24;false;false
plst;C17-31;false;false
plst;C17-33;false;false
plst;C17-34;false;false
plst;C17-49;false;false
plst;C17-52;false;false
plst;C17-53;false;false
plst;C17-56;false;false
plst;C17-64;false;false
plst;C17-65;false;false
plst;C17-81;false;false
plst;C17-89;false;false
plst;C17-92;false;false
plst;C17-98;false;false
plst;C17-99;false;false
plst;C18-11;false;false
plst;C18-15;false;false
plst;C18-23;false;false
plst;C18-25;false;false
plst;C18-28;false;false
plst;C18-45;false;false
plst;C18-46;false;false
plst;C18-50;false;false
plst;C18-52;false;false
plst;C18-54;false;false
plst;C18-55;false;false
plst;C18-65;false;false
plst;C18-68;false;false
plst;C18-72;false;false
plst;C18-81;false;false
plst;C18-87;false;false
plst;C18-88;false;false
plst;C18-89;false;false
plst;C18-95;false;false
plst;C18-97;false;false
plst;C18-98;false;false
plst;C19-15;false;false
plst;C19-18;false;false
plst;C19-33;false;false
plst;C19-42;false;false
plst;C19-46;false;false
plst;C19-54;false;false
plst;C19-92;false;false
plst;C20-14;false;false
plst;C20-25;false;false
plst;C20-45;false;false
plst;C20-67;false;false
plst;C21-12;false;false
plst;C21-19;false;false
plst;C21-24;false;false
plst;C21-50;false;false
plst;C21-57;false;false
plst;C21-79;false;false
plst;C21-86;false;false
plst;C21-98;false;false
plst;CHK-275;false;false
plst;CHK-276;false;false
plst;CHK-277;false;false
plst;CHK-279;false;false
plst;CHK-280;false;false
plst;CHK-282;false;false
plst;CHK-283;false;false
plst;CLB-285;false;false
plst;CLB-309;false;false
plst;CLB-332;false;false
plst;CLB-345;false;false
plst;CLB-347;false;false
plst;CLB-349;false;false
plst;CLB-350;false;false
plst;CLB-353;false;false
plst;CLB-354;false;false
plst;CLB-356;false;false
plst;CLB-358;false;false
plst;CLB-359;false;false
plst;CLB-658;false;false
plst;CLB-659;false;false
plst;CLB-661;false;false
plst;CLB-691;false;false
plst;CLB-903;false;false
plst;CM2-110;false;false
plst;CM2-122;false;false
plst;CM2-124;false;false
plst;CM2-142;false;false
plst;CM2-161;false;false
plst;CM2-177;false;false
plst;CM2-178;false;false
plst;CM2-179;false;false
plst;CM2-180;false;false
plst;CM2-181;false;false
plst;CM2-183;false;false
plst;CM2-75;false;false
plst;CM2-82;false;false
plst;CM2-90;false;false
plst;CM2-96;false;false
plst;CM2-97;false;false
plst;CMM-376;false;false
plst;CMM-398;false;false
plst;CMM-711;false;false
plst;CMM-896;false;false
plst;CMM-900;false;false
plst;CMM-993;false;false
plst;CMM-997;false;false
plst;CMR-279;false;false
plst;CMR-281;false;false
plst;CMR-284;false;false
plst;CMR-286;false;false
plst;CMR-290;false;false
plst;CMR-305;false;false
plst;CMR-331;false;false
plst;CMR-346;false;false
plst;CMR-350;false;false
plst;CMR-351;false;false
plst;CMR-353;false;false
plst;CMR-358;false;false
plst;CMR-361;false;false
plst;CMR-365;false;false
plst;CMR-390;false;false
plst;CMR-395;false;false
plst;CMR-414;false;false
plst;CMR-417;false;false
plst;CN2-100;false;false
plst;CN2-101;false;false
plst;CN2-103;false;false
plst;CN2-107;false;false
plst;CN2-110;false;false
plst;CN2-119;false;false
plst;CN2-126;false;false
plst;CN2-133;false;false
plst;CN2-139;false;false
plst;CN2-144;false;false
plst;CN2-149;false;false
plst;CN2-159;false;false
plst;CN2-166;false;false
plst;CN2-176;false;false
plst;CN2-181;false;false
plst;CN2-185;false;false
plst;CN2-192;false;false
plst;CN2-197;false;false
plst;CN2-75;false;false
plst;CN2-77;false;false
plst;CN2-78;false;false
plst;CN2-79;false;false
plst;CN2-83;false;false
plst;CN2-87;false;false
plst;CN2-97;false;false
plst;CN2-99;false;false
plst;DMR-271;false;false
plst;ELD-281;false;false
plst;ELD-291;false;false
plst;ELD-295;false;false
plst;ELD-296;false;false
plst;ELD-303;false;false
plst;ELD-309;false;false
plst;ELD-323;false;false
plst;ELD-324;false;false
plst;ELD-326;false;false
plst;ELD-329;false;false
plst;ELD-331;false;false
plst;ELD-332;false;false
plst;GK1-102;false;false
plst;GK1-106;false;false
plst;GK1-115;false;false
plst;GK1-119;false;false
plst;GK2-118;false;false
plst;GK2-119;false;false
plst;GK2-125;false;false
plst;GK2-85;false;false
plst;GK2-88;false;false
plst;GN3-44;false;false
plst;GN3-62;false;false
plst;H09-26;false;false
plst;IKO-285;false;false
plst;IKO-304;false;false
plst;INV-281;false;false
plst;INV-290;false;false
plst;INV-299;false;false
plst;INV-304;false;false
plst;INV-308;false;false
plst;INV-309;false;false
plst;INV-313;false;false
plst;INV-330;false;false
plst;JMP-304;false;false
plst;KHM-274;false;false
plst;KHM-275;false;false
plst;KHM-305;false;false
plst;KHM-380;false;false
plst;KHM-381;false;false
plst;KHM-382;false;false
plst;KLD-272;false;false
plst;LCI-393;false;false
plst;LCI-394;false;false
plst;LCI-395;false;false
plst;LCI-396;false;false
plst;LCI-397;false;false
plst;LCI-398;false;false
plst;LCI-399;false;false
plst;LCI-400;false;false
plst;LCI-401;false;false
plst;LCI-402;false;false
plst;LRW-272;false;false
plst;LRW-277;false;false
plst;LRW-280;false;false
plst;M10-37;false;false
plst;M10-52;false;false
plst;M10-59;false;false
plst;M10-67;false;false
plst;M10-85;false;false
plst;M10-86;false;false
plst;M11-20;false;false
plst;M11-28;false;false
plst;M11-38;false;false
plst;M11-55;false;false
plst;M11-64;false;false
plst;M11-87;false;false
plst;M11-92;false;false
plst;M12-35;false;false
plst;M12-37;false;false
plst;M12-40;false;false
plst;M12-59;false;false
plst;M12-82;false;false
plst;M13-19;false;false
plst;M13-23;false;false
plst;M13-44;false;false
plst;M13-73;false;false
plst;M14-18;false;false
plst;M14-21;false;false
plst;M14-30;false;false
plst;M14-43;false;false
plst;M14-88;false;false
plst;M15-10;false;false
plst;M15-11;false;false
plst;M15-17;false;false
plst;M15-19;false;false
plst;M15-22;false;false
plst;M15-35;false;false
plst;M15-40;false;false
plst;M15-45;false;false
plst;M15-46;false;false
plst;M15-48;false;false
plst;M15-54;false;false
plst;M15-57;false;false
plst;M15-61;false;false
plst;M15-69;false;false
plst;M15-70;false;false
plst;M15-85;false;false
plst;M15-86;false;false
plst;M15-91;false;false
plst;M15-92;false;false
plst;M15-94;false;false
plst;M19-15;false;false
plst;M19-18;false;false
plst;M19-28;false;false
plst;M19-30;false;false
plst;M19-32;false;false
plst;M19-38;false;false
plst;M19-40;false;false
plst;M19-44;false;false
plst;M19-51;false;false
plst;M19-54;false;false
plst;M19-56;false;false
