set;number;no_foil;foil
pltr;102s;false;false
pltr;103s;false;false
pltr;106s;false;false
pltr;107s;false;false
pltr;114s;false;false
pltr;119s;false;false
pltr;120s;false;false
pltr;124s;false;false
pltr;132s;false;false
pltr;136s;false;false
pltr;138s;false;false
pltr;149s;false;false
pltr;151s;false;false
pltr;158s;false;false
pltr;15s;false;false
pltr;160s;false;false
pltr;165s;false;false
pltr;166s;false;false
pltr;172s;false;false
pltr;173s;false;false
pltr;17s;false;false
pltr;184s;false;false
pltr;186s;false;false
pltr;18s;false;false
pltr;191s;false;false
pltr;192s;false;false
pltr;193s;false;false
pltr;195s;false;false
pltr;199s;false;false
pltr;19s;false;false
pltr;200s;false;false
pltr;201s;false;false
pltr;202s;false;false
pltr;203s;false;false
pltr;206s;false;false
pltr;207s;false;false
pltr;209s;false;false
pltr;211s;false;false
pltr;213s;false;false
pltr;215s;false;false
pltr;218s;false;false
pltr;222s;false;false
pltr;223s;false;false
pltr;224s;false;false
pltr;225s;false;false
pltr;228s;false;false
pltr;229s;false;false
pltr;230s;false;false
pltr;231s;false;false
pltr;234s;false;false
pltr;236s;false;false
pltr;239s;false;false
pltr;240s;false;false
pltr;241s;false;false
pltr;245s;false;false
pltr;246s;false;false
pltr;247s;false;false
pltr;248s;false;false
pltr;250s;false;false
pltr;253s;false;false
pltr;256s;false;false
pltr;257s;false;false
pltr;258s;false;false
pltr;259s;false;false
pltr;260s;false;false
pltr;2s;false;false
pltr;36s;false;false
pltr;399s;false;false
pltr;400s;false;false
pltr;401s;false;false
pltr;402s;false;false
pltr;403s;false;false
pltr;404s;false;false
pltr;44s;false;false
pltr;4s;false;false
pltr;52s;false;false
pltr;5s;false;false
pltr;61s;false;false
pltr;65s;false;false
pltr;66s;false;false
pltr;69s;false;false
pltr;72s;false;false
pltr;75s;false;false
pltr;79s;false;false
pltr;91s;false;false
pltr;93s;false;false
