set;number;no_foil;foil
pm21;103p;false;false
pm21;103s;false;false
pm21;104p;false;false
pm21;104s;false;false
pm21;106p;false;false
pm21;106s;false;false
pm21;108p;false;false
pm21;108s;false;false
pm21;110p;false;false
pm21;110s;false;false
pm21;114p;false;false
pm21;114s;false;false
pm21;116p;false;false
pm21;116s;false;false
pm21;117p;false;false
pm21;117s;false;false
pm21;125p;false;false
pm21;125s;false;false
pm21;127p;false;false
pm21;127s;false;false
pm21;127★;false;false
pm21;133p;false;false
pm21;133s;false;false
pm21;135p;false;false
pm21;135s;false;false
pm21;136p;false;false
pm21;136s;false;false
pm21;139p;false;false
pm21;139s;false;false
pm21;13p;false;false
pm21;13s;false;false
pm21;142p;false;false
pm21;142s;false;false
pm21;143p;false;false
pm21;143s;false;false
pm21;146p;false;false
pm21;146s;false;false
pm21;162p;false;false
pm21;162s;false;false
pm21;164p;false;false
pm21;164s;false;false
pm21;167p;false;false
pm21;167s;false;false
pm21;172p;false;false
pm21;172s;false;false
pm21;173p;false;false
pm21;173s;false;false
pm21;179p;false;false
pm21;179s;false;false
pm21;180p;false;false
pm21;180s;false;false
pm21;183p;false;false
pm21;183s;false;false
pm21;185p;false;false
pm21;185s;false;false
pm21;188p;false;false
pm21;188s;false;false
pm21;191p;false;false
pm21;191s;false;false
pm21;197p;false;false
pm21;197s;false;false
pm21;1p;false;false
pm21;1s;false;false
pm21;204p;false;false
pm21;204s;false;false
pm21;208p;false;false
pm21;208s;false;false
pm21;21p;false;false
pm21;21s;false;false
pm21;222p;false;false
pm21;222s;false;false
pm21;224p;false;false
pm21;224s;false;false
pm21;225p;false;false
pm21;225s;false;false
pm21;228p;false;false
pm21;228s;false;false
pm21;232p;false;false
pm21;232s;false;false
pm21;239p;false;false
pm21;239s;false;false
pm21;23p;false;false
pm21;23s;false;false
pm21;240p;false;false
pm21;240s;false;false
pm21;242p;false;false
pm21;242s;false;false
pm21;246p;false;false
pm21;246s;false;false
pm21;252p;false;false
pm21;252s;false;false
pm21;253p;false;false
pm21;253s;false;false
pm21;254p;false;false
pm21;254s;false;false
pm21;255p;false;false
pm21;255s;false;false
pm21;256p;false;false
pm21;256s;false;false
pm21;27p;false;false
pm21;27s;false;false
pm21;28p;false;false
pm21;28s;false;false
pm21;29p;false;false
pm21;29s;false;false
pm21;32p;false;false
pm21;32s;false;false
pm21;38p;false;false
pm21;38s;false;false
pm21;45p;false;false
pm21;45s;false;false
pm21;48p;false;false
pm21;48s;false;false
pm21;52p;false;false
pm21;52s;false;false
pm21;60p;false;false
pm21;60s;false;false
pm21;69p;false;false
pm21;69s;false;false
pm21;6p;false;false
pm21;6s;false;false
pm21;70p;false;false
pm21;70s;false;false
pm21;73p;false;false
pm21;73s;false;false
pm21;74p;false;false
pm21;74s;false;false
pm21;75p;false;false
pm21;75s;false;false
pm21;76p;false;false
pm21;76s;false;false
pm21;7p;false;false
pm21;7s;false;false
pm21;95p;false;false
pm21;95s;false;false
pm21;9p;false;false
pm21;9s;false;false
