set;number;no_foil;foil
pmei;1995-1;false;false
pmei;1995-2;false;false
pmei;1996-1;false;false
pmei;1996-2;false;false
pmei;1996-3;false;false
pmei;1997-1;false;false
pmei;1997-2;false;false
pmei;1997-3;false;false
pmei;1997-4;false;false
pmei;1999-1;false;false
pmei;1999-2;false;false
pmei;2000-1;false;false
pmei;2000-2;false;false
pmei;2000-3;false;false
pmei;2000-4;false;false
pmei;2000-5;false;false
pmei;2000-6;false;false
pmei;2000-7;false;false
pmei;2001-1;false;false
pmei;2001-2;false;false
pmei;2009-1;false;false
pmei;2010-1;false;false
pmei;2010-2;false;false
pmei;2010-3;false;false
pmei;2010-4;false;false
pmei;2010-5;false;false
pmei;2011-1;false;false
pmei;2019-1;false;false
pmei;2019-2;false;false
pmei;2019-3;false;false
pmei;2019-4;false;false
pmei;2019-5;false;false
pmei;2019-6;false;false
pmei;2020-1;false;false
pmei;2020-2;false;false
pmei;2020-3;false;false
pmei;2020-4;false;false
pmei;2020-5;false;false
pmei;2020-6;false;false
pmei;2020-7;false;false
pmei;2020-8;false;false
pmei;2021-1;false;false
pmei;2021-2;false;false
pmei;2021-3;false;false
pmei;2022-1;false;false
pmei;2022-2;false;false
pmei;2022-3;false;false
pmei;2022-4;false;false
pmei;2023-1;false;false
pmei;2023-2;false;false
pmei;2023-3;false;false
pmei;2023-4;false;false
pmei;2023-5;false;false
pmei;2023-6;false;false
pmei;2023-7;false;false
pmei;2023-8;false;false
pmei;2024-1;false;false
pmei;2024-2;false;false
pmei;2024-3;false;false
pmei;2024-4;false;false
pmei;2024-5;false;false
pmei;2024-6;false;false
pmei;2024-7;false;false
pmei;2024-8;false;false
pmei;2025-1;false;false
pmei;2025-10;false;false
pmei;2025-11;false;false
pmei;2025-12;false;false
pmei;2025-13;false;false
pmei;2025-14;false;false
pmei;2025-15;false;false
pmei;2025-16;false;false
pmei;2025-17;false;false
pmei;2025-18;false;false
pmei;2025-2;false;false
pmei;2025-3;false;false
pmei;2025-7;false;false
