set;number;no_foil;foil
pmh2;102s;false;false
pmh2;106p;false;false
pmh2;106s;false;false
pmh2;116s;false;false
pmh2;117s;false;false
pmh2;118s;false;false
pmh2;120s;false;false
pmh2;126s;false;false
pmh2;129p;false;false
pmh2;129s;false;false
pmh2;12s;false;false
pmh2;132s;false;false
pmh2;137s;false;false
pmh2;138s;false;false
pmh2;148s;false;false
pmh2;151s;false;false
pmh2;153s;false;false
pmh2;157s;false;false
pmh2;162s;false;false
pmh2;166p;false;false
pmh2;166s;false;false
pmh2;171s;false;false
pmh2;176s;false;false
pmh2;178s;false;false
pmh2;182s;false;false
pmh2;186s;false;false
pmh2;189s;false;false
pmh2;192s;false;false
pmh2;197s;false;false
pmh2;198s;false;false
pmh2;199s;false;false
pmh2;202s;false;false
pmh2;204s;false;false
pmh2;205s;false;false
pmh2;206s;false;false
pmh2;207s;false;false
pmh2;208s;false;false
pmh2;214s;false;false
pmh2;216s;false;false
pmh2;218s;false;false
pmh2;219s;false;false
pmh2;224s;false;false
pmh2;225s;false;false
pmh2;227s;false;false
pmh2;22s;false;false
pmh2;231s;false;false
pmh2;234s;false;false
pmh2;236s;false;false
pmh2;238s;false;false
pmh2;23p;false;false
pmh2;23s;false;false
pmh2;242s;false;false
pmh2;243s;false;false
pmh2;244s;false;false
pmh2;248s;false;false
pmh2;250s;false;false
pmh2;254s;false;false
pmh2;259s;false;false
pmh2;260s;false;false
pmh2;261s;false;false
pmh2;26s;false;false
pmh2;27s;false;false
pmh2;29s;false;false
pmh2;30s;false;false
pmh2;32s;false;false
pmh2;35s;false;false
pmh2;39s;false;false
pmh2;44s;false;false
pmh2;47s;false;false
pmh2;52p;false;false
pmh2;52s;false;false
pmh2;58s;false;false
pmh2;59s;false;false
pmh2;67s;false;false
pmh2;68s;false;false
pmh2;69s;false;false
pmh2;71s;false;false
pmh2;75s;false;false
pmh2;80p;false;false
pmh2;80s;false;false
pmh2;81s;false;false
pmh2;87s;false;false
pmh2;92s;false;false
pmh2;93s;false;false
pmh2;96s;false;false
pmh2;97s;false;false
