set;number;no_foil;foil
pmid;103p;false;false
pmid;103s;false;false
pmid;104s;false;false
pmid;108p;false;false
pmid;108s;false;false
pmid;109s;false;false
pmid;110p;false;false
pmid;110s;false;false
pmid;111p;false;false
pmid;111s;false;false
pmid;112p;false;false
pmid;112s;false;false
pmid;122p;false;false
pmid;122s;false;false
pmid;124p;false;false
pmid;124s;false;false
pmid;129p;false;false
pmid;129s;false;false
pmid;131p;false;false
pmid;131s;false;false
pmid;134p;false;false
pmid;134s;false;false
pmid;137p;false;false
pmid;137s;false;false
pmid;142p;false;false
pmid;142s;false;false
pmid;146p;false;false
pmid;146s;false;false
pmid;149p;false;false
pmid;149s;false;false
pmid;157s;false;false
pmid;159s;false;false
pmid;15p;false;false
pmid;15s;false;false
pmid;162p;false;false
pmid;162s;false;false
pmid;168p;false;false
pmid;168s;false;false
pmid;172p;false;false
pmid;172s;false;false
pmid;177p;false;false
pmid;177s;false;false
pmid;17s;false;false
pmid;18p;false;false
pmid;18s;false;false
pmid;194p;false;false
pmid;194s;false;false
pmid;197p;false;false
pmid;197s;false;false
pmid;197★;false;false
pmid;1p;false;false
pmid;1s;false;false
pmid;200p;false;false
pmid;200s;false;false
pmid;204s;false;false
pmid;206p;false;false
pmid;206s;false;false
pmid;207p;false;false
pmid;207s;false;false
pmid;208p;false;false
pmid;208s;false;false
pmid;209p;false;false
pmid;209s;false;false
pmid;211s;false;false
pmid;213p;false;false
pmid;213s;false;false
pmid;215p;false;false
pmid;215s;false;false
pmid;217s;false;false
pmid;219p;false;false
pmid;219s;false;false
pmid;223p;false;false
pmid;223s;false;false
pmid;224p;false;false
pmid;224s;false;false
pmid;225p;false;false
pmid;225s;false;false
pmid;227p;false;false
pmid;227s;false;false
pmid;230p;false;false
pmid;230s;false;false
pmid;232p;false;false
pmid;232s;false;false
pmid;232★;false;false
pmid;233s;false;false
pmid;234p;false;false
pmid;234s;false;false
pmid;235p;false;false
pmid;235s;false;false
pmid;236p;false;false
pmid;236s;false;false
pmid;240p;false;false
pmid;240s;false;false
pmid;241p;false;false
pmid;241s;false;false
pmid;242p;false;false
pmid;242s;false;false
pmid;245p;false;false
pmid;245s;false;false
pmid;246s;false;false
pmid;248p;false;false
pmid;248s;false;false
pmid;250p;false;false
pmid;250s;false;false
pmid;252p;false;false
pmid;252s;false;false
pmid;257p;false;false
pmid;257s;false;false
pmid;25p;false;false
pmid;25s;false;false
pmid;260p;false;false
pmid;260s;false;false
pmid;263p;false;false
pmid;263s;false;false
pmid;264s;false;false
pmid;265p;false;false
pmid;265s;false;false
pmid;266p;false;false
pmid;266s;false;false
pmid;267p;false;false
pmid;267s;false;false
pmid;33p;false;false
pmid;33s;false;false
pmid;34p;false;false
pmid;34s;false;false
pmid;37p;false;false
pmid;37s;false;false
pmid;41p;false;false
pmid;41s;false;false
pmid;46p;false;false
pmid;46s;false;false
pmid;57p;false;false
pmid;57s;false;false
pmid;59p;false;false
pmid;59s;false;false
pmid;61s;false;false
pmid;62p;false;false
pmid;62s;false;false
pmid;69p;false;false
pmid;69s;false;false
pmid;69★;false;false
pmid;71s;false;false
pmid;76p;false;false
pmid;76s;false;false
pmid;77p;false;false
pmid;77s;false;false
pmid;7s;false;false
pmid;80s;false;false
pmid;81p;false;false
pmid;81s;false;false
pmid;89p;false;false
pmid;89s;false;false
pmid;91p;false;false
pmid;91s;false;false
pmid;94s;false;false
