set;number;no_foil;foil
pmom;109p;false;false
pmom;109s;false;false
pmom;110p;false;false
pmom;110s;false;false
pmom;114s;false;false
pmom;115s;false;false
pmom;11p;false;false
pmom;11s;false;false
pmom;122p;false;false
pmom;122s;false;false
pmom;125s;false;false
pmom;12s;false;false
pmom;132p;false;false
pmom;132s;false;false
pmom;134p;false;false
pmom;134s;false;false
pmom;135p;false;false
pmom;135s;false;false
pmom;137s;false;false
pmom;144p;false;false
pmom;144s;false;false
pmom;145s;false;false
pmom;146s;false;false
pmom;149s;false;false
pmom;155p;false;false
pmom;155s;false;false
pmom;160p;false;false
pmom;160s;false;false
pmom;169s;false;false
pmom;16p;false;false
pmom;16s;false;false
pmom;171p;false;false
pmom;171s;false;false
pmom;174p;false;false
pmom;174s;false;false
pmom;17s;false;false
pmom;184p;false;false
pmom;184s;false;false
pmom;185p;false;false
pmom;185s;false;false
pmom;187p;false;false
pmom;187s;false;false
pmom;190s;false;false
pmom;191s;false;false
pmom;193s;false;false
pmom;198p;false;false
pmom;198s;false;false
pmom;1s;false;false
pmom;200s;false;false
pmom;211p;false;false
pmom;211s;false;false
pmom;213s;false;false
pmom;217p;false;false
pmom;217s;false;false
pmom;218p;false;false
pmom;218s;false;false
pmom;219p;false;false
pmom;219s;false;false
pmom;221p;false;false
pmom;221s;false;false
pmom;222p;false;false
pmom;222s;false;false
pmom;224p;false;false
pmom;224s;false;false
pmom;225p;false;false
pmom;225s;false;false
pmom;226p;false;false
pmom;226s;false;false
pmom;228p;false;false
pmom;228s;false;false
pmom;229p;false;false
pmom;229s;false;false
pmom;22s;false;false
pmom;230s;false;false
pmom;239s;false;false
pmom;23s;false;false
pmom;241s;false;false
pmom;244p;false;false
pmom;244s;false;false
pmom;245p;false;false
pmom;245s;false;false
pmom;249p;false;false
pmom;249s;false;false
pmom;250p;false;false
pmom;250s;false;false
pmom;252p;false;false
pmom;252s;false;false
pmom;255p;false;false
pmom;255s;false;false
pmom;256p;false;false
pmom;256s;false;false
pmom;257p;false;false
pmom;257s;false;false
pmom;258p;false;false
pmom;258s;false;false
pmom;263p;false;false
pmom;263s;false;false
pmom;265p;false;false
pmom;265s;false;false
pmom;26p;false;false
pmom;26s;false;false
pmom;28p;false;false
pmom;28s;false;false
pmom;32p;false;false
pmom;32s;false;false
pmom;40p;false;false
pmom;40s;false;false
pmom;51p;false;false
pmom;51s;false;false
pmom;52p;false;false
pmom;52s;false;false
pmom;58p;false;false
pmom;58s;false;false
pmom;61s;false;false
pmom;63s;false;false
pmom;65s;false;false
pmom;6p;false;false
pmom;6s;false;false
pmom;75s;false;false
pmom;77p;false;false
pmom;77s;false;false
pmom;83p;false;false
pmom;83s;false;false
pmom;86p;false;false
pmom;86s;false;false
pmom;89p;false;false
pmom;89s;false;false
pmom;90s;false;false
pmom;93p;false;false
pmom;93s;false;false
pmom;94p;false;false
pmom;94s;false;false
pmom;9p;false;false
pmom;9s;false;false
